hymn	latin_incipit	printed_page	ia_leaf	stanza	line	english
victimae-paschali	Victimae Paschali laudes	233	270	1	1	Forth to the paschal Victim, Christians, bring
victimae-paschali	Victimae Paschali laudes	233	270	1	2	Your sacrifice of praise:
victimae-paschali	Victimae Paschali laudes	233	270	2	1	The Lamb redeems the sheep;
victimae-paschali	Victimae Paschali laudes	233	270	2	2	And Christ, the Sinless One,
victimae-paschali	Victimae Paschali laudes	233	270	2	3	Hath to the Father sinners reconcil’d.
victimae-paschali	Victimae Paschali laudes	234	271	3	1	Together, Death and Life
victimae-paschali	Victimae Paschali laudes	234	271	3	2	In a strange conflict strove;
victimae-paschali	Victimae Paschali laudes	234	271	3	3	The Prince of Life, who died,
victimae-paschali	Victimae Paschali laudes	234	271	3	4	Now lives and reigns.
victimae-paschali	Victimae Paschali laudes	234	271	4	1	What thou sawest, Mary, say,
victimae-paschali	Victimae Paschali laudes	234	271	4	2	As thou wentest on the way.
victimae-paschali	Victimae Paschali laudes	234	271	5	1	I saw the tomb wherein the Living One had lain;
victimae-paschali	Victimae Paschali laudes	234	271	5	2	I saw his glory as He rose again;
victimae-paschali	Victimae Paschali laudes	234	271	5	3	Napkin and linen clothes, and Angels twain:
victimae-paschali	Victimae Paschali laudes	234	271	5	4	Yea, Christ is risen, my hope, and He
victimae-paschali	Victimae Paschali laudes	234	271	5	5	Will go before you into Galilee.
victimae-paschali	Victimae Paschali laudes	234	271	6	1	We know that Christ indeed has risen from the grave:
victimae-paschali	Victimae Paschali laudes	234	271	6	2	Hail, thou King of Victory!
victimae-paschali	Victimae Paschali laudes	234	271	6	3	Have mercy, Lord, and save.
veni-sancte-spiritus	Veni Sancte Spiritus	234	271	1	1	Holy Spirit! Lord of light!
veni-sancte-spiritus	Veni Sancte Spiritus	234	271	1	2	From thy clear celestial height,
veni-sancte-spiritus	Veni Sancte Spiritus	234	271	1	3	Thy pure beaming radiance give:
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	2	1	Come, Thou Father of the poor!
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	2	2	Come, with treasures which endure!
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	2	3	Come, Thou Light of all that live!
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	3	1	Thou, of all consolers best,
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	3	2	Visiting the troubled breast,
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	3	3	Dost refreshing peace bestow;
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	4	1	Thou in toil art comfort sweet;
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	4	2	Pleasant coolness in the heat;
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	4	3	Solace in the midst of woe.
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	5	1	Light immortal! light divine!
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	5	2	Visit Thou these hearts of thine,
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	5	3	And our inmost being fill:
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	6	1	If Thou take thy grace away,
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	6	2	Nothing pure in man will stay;
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	6	3	All his good is turn’d to ill.
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	7	1	Heal our wounds — our strength renew;
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	7	2	On our dryness pour thy dew;
veni-sancte-spiritus	Veni Sancte Spiritus	235	272	7	3	Wash the stains of guilt away:
veni-sancte-spiritus	Veni Sancte Spiritus	236	273	8	1	Bend the stubborn heart and will;
veni-sancte-spiritus	Veni Sancte Spiritus	236	273	8	2	Melt the frozen, warm the chill;
veni-sancte-spiritus	Veni Sancte Spiritus	236	273	8	3	Guide the steps that go astray.
veni-sancte-spiritus	Veni Sancte Spiritus	236	273	9	1	Thou, on those who evermore
veni-sancte-spiritus	Veni Sancte Spiritus	236	273	9	2	Thee confess and Thee adore,
veni-sancte-spiritus	Veni Sancte Spiritus	236	273	9	3	In thy sevenfold gifts, descend:
veni-sancte-spiritus	Veni Sancte Spiritus	236	273	10	1	Give them comfort when they die;
veni-sancte-spiritus	Veni Sancte Spiritus	236	273	10	2	Give them life with Thee on high;
veni-sancte-spiritus	Veni Sancte Spiritus	236	273	10	3	Give them joys which never end.
lauda-sion	Lauda Sion Salvatorem	236	273	1	1	Sion, lift thy voice, and sing;
lauda-sion	Lauda Sion Salvatorem	236	273	1	2	Praise thy Saviour and thy King;
lauda-sion	Lauda Sion Salvatorem	236	273	1	3	Praise with hymns thy Shepherd true:
lauda-sion	Lauda Sion Salvatorem	236	273	1	4	Strive thy best to praise Him well;
lauda-sion	Lauda Sion Salvatorem	236	273	1	5	Yet doth He all praise excel;
lauda-sion	Lauda Sion Salvatorem	236	273	1	6	None can ever reach His due.
lauda-sion	Lauda Sion Salvatorem	237	274	2	1	See to-day before us laid
lauda-sion	Lauda Sion Salvatorem	237	274	2	2	The living and life-giving Bread!
lauda-sion	Lauda Sion Salvatorem	237	274	2	3	Theme for praise and joy profound!
lauda-sion	Lauda Sion Salvatorem	237	274	2	4	The same which at the sacred board
lauda-sion	Lauda Sion Salvatorem	237	274	2	5	Was, by our Incarnate Lord,
lauda-sion	Lauda Sion Salvatorem	237	274	2	6	Giv’n to his Apostles round.
lauda-sion	Lauda Sion Salvatorem	237	274	3	1	Let the praise be loud and high;
lauda-sion	Lauda Sion Salvatorem	237	274	3	2	Sweet and tranquil be the joy
lauda-sion	Lauda Sion Salvatorem	237	274	3	3	Felt to-day in every breast;
lauda-sion	Lauda Sion Salvatorem	237	274	3	4	On this Festival divine,
lauda-sion	Lauda Sion Salvatorem	237	274	3	5	Which records the origin
lauda-sion	Lauda Sion Salvatorem	237	274	3	6	Of the glorious Eucharist.
lauda-sion	Lauda Sion Salvatorem	237	274	4	1	On this Table of the King,
lauda-sion	Lauda Sion Salvatorem	237	274	4	2	Our new Paschal offering
lauda-sion	Lauda Sion Salvatorem	237	274	4	3	Brings to end the olden rite;
lauda-sion	Lauda Sion Salvatorem	237	274	4	4	Here, for empty shadows fled,
lauda-sion	Lauda Sion Salvatorem	237	274	4	5	Is Reality instead;
lauda-sion	Lauda Sion Salvatorem	237	274	4	6	Here, instead of darkness, Light.
lauda-sion	Lauda Sion Salvatorem	238	275	5	1	His own act, at supper seated,
lauda-sion	Lauda Sion Salvatorem	238	275	5	2	Christ ordain’d to be repeated,
lauda-sion	Lauda Sion Salvatorem	238	275	5	3	In His Memory divine;
lauda-sion	Lauda Sion Salvatorem	238	275	5	4	Wherefore now, with adoration,
lauda-sion	Lauda Sion Salvatorem	238	275	5	5	We the Host of our salvation
lauda-sion	Lauda Sion Salvatorem	238	275	5	6	Consecrate from bread and wine.
lauda-sion	Lauda Sion Salvatorem	238	275	6	1	Hear what holy Church maintaineth,
lauda-sion	Lauda Sion Salvatorem	238	275	6	2	That the bread its substance changeth
lauda-sion	Lauda Sion Salvatorem	238	275	6	3	Into Flesh, the wine to Blood.
lauda-sion	Lauda Sion Salvatorem	238	275	6	4	Doth it pass thy comprehending?
lauda-sion	Lauda Sion Salvatorem	238	275	6	5	Faith, the law of sight transcending,
lauda-sion	Lauda Sion Salvatorem	238	275	6	6	Leaps to things not understood.
lauda-sion	Lauda Sion Salvatorem	238	275	7	1	Here, beneath these signs, are hidden
lauda-sion	Lauda Sion Salvatorem	238	275	7	2	Priceless things, to sense forbidden;
lauda-sion	Lauda Sion Salvatorem	238	275	7	3	Signs, not things, are all we see;—
lauda-sion	Lauda Sion Salvatorem	238	275	7	4	Flesh from bread, and Blood from wine;
lauda-sion	Lauda Sion Salvatorem	238	275	7	5	Yet is Christ, in either sign,
lauda-sion	Lauda Sion Salvatorem	238	275	7	6	All entire, confess’d to be.
lauda-sion	Lauda Sion Salvatorem	239	276	8	1	They too, who of Him partake,
lauda-sion	Lauda Sion Salvatorem	239	276	8	2	Sever not, nor rend, nor break,
lauda-sion	Lauda Sion Salvatorem	239	276	8	3	But entire, their Lord receive.
lauda-sion	Lauda Sion Salvatorem	239	276	8	4	Whether one or thousands eat,
lauda-sion	Lauda Sion Salvatorem	239	276	8	5	All receive the self-same meat,
lauda-sion	Lauda Sion Salvatorem	239	276	8	6	Nor the less for others leave.
lauda-sion	Lauda Sion Salvatorem	239	276	9	1	Both the wicked and the good
lauda-sion	Lauda Sion Salvatorem	239	276	9	2	Eat of this celestial Food;
lauda-sion	Lauda Sion Salvatorem	239	276	9	3	But with ends how opposite!
lauda-sion	Lauda Sion Salvatorem	239	276	9	4	Here ’tis life; and there ’tis death;
lauda-sion	Lauda Sion Salvatorem	239	276	9	5	The same, yet issuing to each
lauda-sion	Lauda Sion Salvatorem	239	276	9	6	In a difference infinite.
lauda-sion	Lauda Sion Salvatorem	239	276	10	1	Nor a single doubt retain,
lauda-sion	Lauda Sion Salvatorem	239	276	10	2	When they break the Host in twain,
lauda-sion	Lauda Sion Salvatorem	239	276	10	3	But that in each part remains
