cited_locus	resolves_to	kind	note
Ps.115.10	Ps.115.1	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.11	Ps.115.2	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.12	Ps.115.3	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.13	Ps.115.4	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.14	Ps.115.5	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.15	Ps.115.6	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.16	Ps.115.7	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.17	Ps.115.8	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.18	Ps.115.9	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.115.19	Ps.115.10	renumbered	the Vulgate keeps the numbering Psalm 115 had before the Hebrew split and opens it at verse 10; this edition restarts it at 1, so every verse of the psalm answers to a different number here
Ps.147.12	Ps.147.1	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.13	Ps.147.2	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.14	Ps.147.3	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.15	Ps.147.4	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.16	Ps.147.5	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.17	Ps.147.6	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.18	Ps.147.7	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.19	Ps.147.8	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
Ps.147.20	Ps.147.9	renumbered	as at Psalm 115: the Vulgate opens Psalm 147 at verse 12 and this edition restarts it at 1
