book	chapter	verse	text	usfm
Ecclus	1	1	All wisdom is from the Lord God, and hath been always with him, and is before all time.	SIR
Ecclus	1	2	Who hath numbered the sand of the sea, and the drops of rain, and the days of the world? Who hath measured the height of heaven, and the breadth of the earth, and the depth of the abyss?	SIR
Ecclus	1	3	Who hath searched out the wisdom of God that goeth before all things?	SIR
Ecclus	1	4	Wisdom hath been created before all things, and the understanding of prudence from everlasting.	SIR
Ecclus	1	5	The word of God on high is the fountain of wisdom, and her ways are everlasting commandments.	SIR
Ecclus	1	6	To whom hath the root of wisdom been revealed, and who hath known her wise counsels?	SIR
Ecclus	1	7	To whom hath the discipline of wisdom been revealed and made manifest? and who hath understood the multiplicity of her steps?	SIR
Ecclus	1	8	There is one most high Creator Almighty, and a powerful king, and greatly to be feared, who sitteth upon his throne, and is the God of dominion.	SIR
Ecclus	1	9	He created her in the Holy Ghost, and saw her, and numbered her, and measured her.	SIR
Ecclus	1	10	And he poured her out upon all his works, and upon all flesh according to his gift, and hath given her to them that love him.	SIR
Ecclus	1	11	The fear of the Lord is honour, and glory, and gladness, and a crown of joy.	SIR
Ecclus	1	12	The fear of the Lord shall delight the heart, and shall give joy, and gladness, and length of days.	SIR
Ecclus	1	13	With him that feareth the Lord, it shall go well in the latter end, and in the day of his death he shall be blessed.	SIR
Ecclus	1	14	The love of God is honourable wisdom.	SIR
Ecclus	1	15	Ana they to whom she shall shew herself love her by the sight, and by the knowledge of her great works.	SIR
Ecclus	1	16	The fear of the Lord Is the beginning of wisdom, and was created with the faithful in the womb, it walketh with chosen women, and is known with the just and faithful.	SIR
Ecclus	1	17	The fear of the Lord is the religiousness of knowledge.	SIR
Ecclus	1	18	Religiousness shall keep and justify the heart, it shall give joy and gladness.	SIR
Ecclus	1	19	It shall go well with him that feareth the Lord, and in the days of his end he shall be blessed.	SIR
Ecclus	1	20	To fear God is the fulness of wisdom, and fulness is from the fruits thereof.	SIR
Ecclus	1	21	She shall fill all her house with her increase, and the storehouses with her treasures.	SIR
Ecclus	1	22	The fear of the Lord is a crown of wisdom, filling up peace and the fruit of salvation:	SIR
Ecclus	1	23	And it hath seen, and numbered her: but both are the gifts of God.	SIR
Ecclus	1	24	Wisdom shall distribute knowledge, and understanding of prudence: and exalteth the glory of them that hold her.	SIR
Ecclus	1	25	The root of wisdom is to fear the Lord: and the branches thereof are longlived.	SIR
Ecclus	1	26	In the treasures of wisdom is understanding, and religiousness of knowledge: but to sinners wisdom is an abomination.	SIR
Ecclus	1	27	The fear of the Lord driveth out sin:	SIR
Ecclus	1	28	For he that is without fear, cannot be justified: for the wrath of his high spirits is his ruin.	SIR
Ecclus	1	29	A patient man shall bear for a time, and afterwards joy shall be restored to him.	SIR
Ecclus	1	30	A good understanding will hide his words for a time, and the lips of many shall declare his wisdom.	SIR
Ecclus	1	31	In the treasures of wisdom is the signification of discipline:	SIR
Ecclus	1	32	But the worship of God is an abomination to a sinner.	SIR
Ecclus	1	33	Son, if thou desire wisdom, keep justice, and God will give her to thee.	SIR
Ecclus	1	34	For the fear of the Lord is wisdom and discipline: and that which is agreeable to him,	SIR
Ecclus	1	35	Is faith, and meekness: and he will fill up his treasures.	SIR
Ecclus	1	36	Be not incredulous to the fear of the Lord: and come not to him with a double heart.	SIR
Ecclus	1	37	Be not a hypocrite in the sight of men, and let not thy lips be a stumblingblock to thee.	SIR
Ecclus	1	38	Watch over them, lest thou fall, and bring dishonour upon thy soul,	SIR
Ecclus	1	39	And God discover thy secrets, and cast thee down in the midst of the congregation.	SIR
Ecclus	1	40	Because thou camest to the Lord wickedly, and thy heart is full of guile and deceit.	SIR
Ecclus	2	1	Son, when thou comest to the service of God, stand in justice and in fear, and prepare thy soul for temptation.	SIR
Ecclus	2	2	Humble thy heart, and endure: incline thy ear, and receive the words of understanding: and make not haste in the time of clouds.	SIR
Ecclus	2	3	Wait on God with patience: join thyself to God, and endure, that thy life may be increased in the latter end.	SIR
Ecclus	2	4	Take all that shall be brought upon thee: and in thy sorrow endure, and in thy humiliation keep patience.	SIR
Ecclus	2	5	For gold and silver are tried in the fire, but acceptable men in the furnace of humiliation.	SIR
Ecclus	2	6	Believe God, and he will recover thee: and direct thy way, and trust in him. Keep his fear, and grow old therein.	SIR
Ecclus	2	7	Ye that fear the Lord, wait for his mercy: and go not aside from him, lest ye fall.	SIR
Ecclus	2	8	Ye that fear the Lord, believe him: and your reward shall not be made void.	SIR
Ecclus	2	9	Ye that fear the Lord, hope in him: and mercy shall come to you for your delight.	SIR
Ecclus	2	10	Ye that fear the Lord, love him, and your hearts shall be enlightened.	SIR
Ecclus	2	11	My children behold the generations of men: and know ye that no one hath hoped in the Lord, and hath been confounded.	SIR
Ecclus	2	12	For who hath continued in his commandment, and hath been forsaken? or who hath called upon him, and he despised him?	SIR
Ecclus	2	13	For God is compassionate and merciful, and will forgive sins in the day of tribulation: and he is a protector to all that seek him in truth.	SIR
Ecclus	2	14	Woe to them that are of a double heart and to wicked lips, and to the hands that do evil, and to the sinner that goeth on the earth two ways.	SIR
Ecclus	2	15	Woe to them that are fainthearted, who believe not God: and therefore they shall not be protected by him.	SIR
Ecclus	2	16	Woe to them that have lost patience, and that have forsaken the right ways, and have gone aside into crooked ways.	SIR
Ecclus	2	17	And what will they do, when the Lord shall begin to examine?	SIR
Ecclus	2	18	They that fear the Lord, will not be incredulous to his word: and they that love him, will keep his way.	SIR
