book	chapter	verse	text	usfm
Gal	1	1	Paul, an apostle, not of men, neither by man, but by Jesus Christ, and God the Father, who raised him from the dead,	GAL
Gal	1	2	And all the brethren who are with me, to the churches of Galatia.	GAL
Gal	1	3	Grace be to you, and peace from God the Father, and from our Lord Jesus Christ,	GAL
Gal	1	4	Who gave himself for our sins, that he might deliver us from this present wicked world, according to the will of God and our Father:	GAL
Gal	1	5	To whom is glory for ever and ever. Amen.	GAL
Gal	1	6	I wonder that you are so soon removed from him that called you into the grace of Christ, unto another gospel.	GAL
Gal	1	7	Which is not another, only there are some that trouble you, and would pervert the gospel of Christ.	GAL
Gal	1	8	But though we, or an angel from heaven, preach a gospel to you besides that which we have preached to you, let him be anathema.	GAL
Gal	1	9	As we said before, so now I say again: If any one preach to you a gospel, besides that which you have received, let him be anathema.	GAL
Gal	1	10	For do I now persuade men, or God? Or do I seek to please men? If I yet pleased men, I should not be the servant of Christ.	GAL
Gal	1	11	For I give you to understand, brethren, that the gospel which was preached by me is not according to man.	GAL
Gal	1	12	For neither did I receive it of man, nor did I learn it; but by the revelation of Jesus Christ.	GAL
Gal	1	13	For you have heard of my conversation in time past in the Jews’ religion: how that, beyond measure, I persecuted the church of God, and wasted it.	GAL
Gal	1	14	And I made progress in the Jews’ religion above many of my equals in my own nation, being more abundantly zealous for the traditions of my fathers.	GAL
Gal	1	15	But when it pleased him, who separated me from my mother’s womb, and called me by his grace,	GAL
Gal	1	16	To reveal his Son in me, that I might preach him among the Gentiles, immediately I condescended not to flesh and blood.	GAL
Gal	1	17	Neither went I to Jerusalem, to the apostles who were before me: but I went into Arabia, and again I returned to Damascus.	GAL
Gal	1	18	Then, after three years, I went to Jerusalem, to see Peter, and I tarried with him fifteen days.	GAL
Gal	1	19	But other of the apostles I saw none, saving James the brother of the Lord.	GAL
Gal	1	20	Now the things which I write to you, behold, before God, I lie not.	GAL
Gal	1	21	Afterwards I came into the regions of Syria and Cilicia.	GAL
Gal	1	22	And I was unknown by face to the churches of Judea, which were in Christ:	GAL
Gal	1	23	But they had heard only: He, who persecuted us in times past, doth now preach the faith which once he impugned:	GAL
Gal	1	24	And they glorified God in me.	GAL
Gal	2	1	Then, after fourteen years, I went up again to Jerusalem with Barnabas, taking Titus also with me.	GAL
Gal	2	2	And I went up according to revelation; and communicated to them the gospel, which I preach among the Gentiles, but apart to them who seemed to be some thing: lest perhaps I should run, or had run in vain.	GAL
Gal	2	3	But neither Titus, who was with me, being a Gentile, was compelled to be circumcised.	GAL
Gal	2	4	But because of false brethren unawares brought in, who came in privately to spy our liberty, which we have in Christ Jesus, that they might bring us into servitude.	GAL
Gal	2	5	To whom we yielded not by subjection, no not for an hour, that the truth of the gospel might continue with you.	GAL
Gal	2	6	But of them who seemed to be some thing, (what they were some time, it is nothing to me, God accepteth not the person of man,) for to me they that seemed to be some thing added nothing.	GAL
Gal	2	7	But contrariwise, when they had seen that to me was committed the gospel of the uncircumcision, as to Peter was that of the circumcision.	GAL
Gal	2	8	(For he who wrought in Peter to the apostleship of the circumcision, wrought in me also among the Gentiles.)	GAL
Gal	2	9	And when they had known the grace that was given to me, James and Cephas and John, who seemed to be pillars, gave to me and Barnabas the right hands of fellowship: that we should go unto the Gentiles, and they unto the circumcision:	GAL
Gal	2	10	Only that we should be mindful of the poor: which same thing also I was careful to do.	GAL
Gal	2	11	But when Cephas was come to Antioch, I withstood him to the face, because he was to be blamed.	GAL
Gal	2	12	For before that some came from James, he did eat with the Gentiles: but when they were come, he withdrew and separated himself, fearing them who were of the circumcision.	GAL
Gal	2	13	And to his dissimulation the rest of the Jews consented, so that Barnabas also was led by them into that dissimulation.	GAL
Gal	2	14	But when I saw that they walked not uprightly unto the truth of the gospel, I said to Cephas before them all: If thou, being a Jew, livest after the manner of the Gentiles, and not as the Jews do, how dost thou compel the Gentiles to live as do the Jews?	GAL
Gal	2	15	We by nature are Jews, and not of the Gentiles sinners.	GAL
Gal	2	16	But knowing that man is not justified by the works of the law, but by the faith of Jesus Christ; we also believe in Christ Jesus, that we may be justified by the faith of Christ, and not by the works of the law: because by the works of the law no flesh shall be justified.	GAL
Gal	2	17	But if while we seek to be justified in Christ, we ourselves also are found sinners; is Christ then the minister of sin? God forbid.	GAL
Gal	2	18	For if I build up again the things which I have destroyed, I make myself a prevaricator.	GAL
Gal	2	19	For I, through the law, am dead to the law, that I may live to God: with Christ I am nailed to the cross.	GAL
Gal	2	20	And I live, now not I; but Christ liveth in me. And that I live now in the flesh: I live in the faith of the Son of God, who loved me, and delivered himself for me.	GAL
Gal	2	21	I cast not away the grace of God. For if justice be by the law, then Christ died in vain.	GAL
Gal	3	1	O senseless Galatians, who hath bewitched you that you should not obey the truth, before whose eyes Jesus Christ hath been set forth, crucified among you?	GAL
Gal	3	2	This only would I learn of you: Did you receive the Spirit by the works of the law, or by the hearing of faith?	GAL
Gal	3	3	Are you so foolish, that, whereas you began in the Spirit, you would now be made perfect by the flesh?	GAL
Gal	3	4	Have you suffered so great things in vain? If it be yet in vain.	GAL
Gal	3	5	He therefore who giveth to you the Spirit, and worketh miracles among you; doth he do it by the works of the law, or by the hearing of the faith?	GAL
Gal	3	6	As it is written: Abraham believed God, and it was reputed to him unto justice.	GAL
Gal	3	7	Know ye therefore, that they who are of faith, the same are the children of Abraham.	GAL
Gal	3	8	And the scripture, foreseeing, that God justifieth the Gentiles by faith, told unto Abraham before: In thee shall all nations be blessed.	GAL
Gal	3	9	Therefore they that are of faith, shall be blessed with faithful Abraham.	GAL
Gal	3	10	For as many as are of the works of the law, are under a curse. For it is written: Cursed is every one, that abideth not in all things, which are written in the book of the law to do them.	GAL
Gal	3	11	But that in the law no man is justified with God, it is manifest: because the just man liveth by faith.	GAL
Gal	3	12	But the law is not of faith: but, He that doth those things, shall live in them.	GAL
Gal	3	13	Christ hath redeemed us from the curse of the law, being made a curse for us: for it is written: Cursed is every one that hangeth on a tree:	GAL
Gal	3	14	That the blessing of Abraham might come on the Gentiles through Christ Jesus: that we may receive the promise of the Spirit by faith.	GAL
Gal	3	15	Brethren (I speak after the manner of man,) yet a man’s testament, if it be confirmed, no man despiseth, nor addeth to it.	GAL
Gal	3	16	To Abraham were the promises made and to his seed. He saith not, And to his seeds, as of many: but as of one, And to thy seed, which is Christ.	GAL
Gal	3	17	Now this I say, that the testament which was confirmed by God, the law which was made after four hundred and thirty years, doth not disannul, to make the promise of no effect.	GAL
Gal	3	18	For if the inheritance be of the law, it is no more of promise. But God gave it to Abraham by promise.	GAL
Gal	3	19	Why then was the law? It was set because of transgressions, until the seed should come, to whom he made the promise, being ordained by angels in the hand of a mediator.	GAL
Gal	3	20	Now a mediator is not of one: but God is one.	GAL
Gal	3	21	Was the law then against the promises of God? God forbid. For if there had been a law given which could give life, verily justice should have been by the law.	GAL
Gal	3	22	But the scripture hath concluded all under sin, that the promise, by the faith of Jesus Christ, might be given to them that believe.	GAL
Gal	3	23	But before the faith came, we were kept under the law shut up, unto that faith which was to be revealed.	GAL
Gal	3	24	Wherefore the law was our pedagogue in Christ, that we might be justified by faith.	GAL
Gal	3	25	But after the faith is come, we are no longer under a pedagogue.	GAL
Gal	3	26	For you are all the children of God by faith, in Christ Jesus.	GAL
Gal	3	27	For as many of you as have been baptized in Christ, have put on Christ.	GAL
Gal	3	28	There is neither Jew nor Greek: there is neither bond nor free: there is neither male nor female. For you are all one in Christ Jesus.	GAL
Gal	3	29	And if you be Christ’s, then are you the seed of Abraham, heirs according to the promise.	GAL
Gal	4	1	Now I say, as long as the heir is a child, he differeth nothing from a servant, though he be lord of all;	GAL
Gal	4	2	But is under tutors and governors until the time appointed by the father:	GAL
Gal	4	3	So we also, when we were children, were serving under the elements of the world.	GAL
