book	chapter	verse	text	usfm
Col	1	1	Paul, an apostle of Jesus Christ, by the will of God, and Timothy, a brother,	COL
Col	1	2	To the saints and faithful brethren in Christ Jesus, who are at Colossa.	COL
Col	1	3	Grace be to you and peace from God our Father, and from the Lord Jesus Christ. We give thanks to God, and the Father of our Lord Jesus Christ, praying always for you.	COL
Col	1	4	Hearing your faith in Christ Jesus, and the love which you have towards all the saints.	COL
Col	1	5	For the hope that is laid up for you in heaven, which you have heard in the word of the truth of the gospel,	COL
Col	1	6	Which is come unto you, as also it is in the whole world, and bringeth forth fruit and groweth, even as it doth in you, since the day you heard and knew the grace of God in truth.	COL
Col	1	7	As you learned of Epaphras, our most beloved fellow servant, who is for you a faithful minister of Christ Jesus;	COL
Col	1	8	Who also hath manifested to us your love in the spirit.	COL
Col	1	9	Therefore we also, from the day that we heard it, cease not to pray for you, and to beg that you may be filled with the knowledge of his will, in all wisdom, and spiritual understanding:	COL
Col	1	10	That you may walk worthy of God, in all things pleasing; being fruitful in every good work, and increasing in the knowledge of God:	COL
Col	1	11	Strengthened with all might, according to the power of his glory, in all patience and longsuffering with joy,	COL
Col	1	12	Giving thanks to God the Father, who hath made us worthy to be partakers of the lot of the saints in light:	COL
Col	1	13	Who hath delivered us from the power of darkness, and hath translated us into the kingdom of the Son of his love,	COL
Col	1	14	In whom we have redemption through his blood, the remission of sins;	COL
Col	1	15	Who is the image of the invisible God, the firstborn of every creature:	COL
Col	1	16	For in him were all things created in heaven and on earth, visible and invisible, whether thrones, or dominations, or principalities, or powers: all things were created by him and in him.	COL
Col	1	17	And he is before all, and by him all things consist.	COL
Col	1	18	And he is the head of the body, the church, who is the beginning, the firstborn from the dead; that in all things he may hold the primacy:	COL
Col	1	19	Because in him, it hath well pleased the Father, that all fullness should dwell;	COL
Col	1	20	And through him to reconcile all things unto himself, making peace through the blood of his cross, both as to the things that are on earth, and the things that are in heaven.	COL
Col	1	21	And you, whereas you were some time alienated and enemies in mind in evil works:	COL
Col	1	22	Yet now he hath reconciled in the body of his flesh through death, to present you holy and unspotted, and blameless before him:	COL
Col	1	23	If so ye continue in the faith, grounded and settled, and immoveable from the hope of the gospel which you have heard, which is preached in all the creation that is under heaven, whereof I Paul am made a minister.	COL
Col	1	24	Who now rejoice in my sufferings for you, and fill up those things that are wanting of the sufferings of Christ, in my flesh, for his body, which is the church:	COL
Col	1	25	Whereof I am made a minister according to the dispensation of God, which is given me towards you, that I may fulfill the word of God:	COL
Col	1	26	The mystery which hath been hidden from ages and generations, but now is manifested to his saints,	COL
Col	1	27	To whom God would make known the riches of the glory of this mystery among the Gentiles, which is Christ, in you the hope of glory.	COL
Col	1	28	Whom we preach, admonishing every man, and teaching every man in all wisdom, that we may present every man perfect in Christ Jesus.	COL
Col	1	29	Wherein also I labour, striving according to his working which he worketh in me in power.	COL
Col	2	1	For I would have you know, what manner of care I have for you and for them that are at Laodicea, and whosoever have not seen my face in the flesh:	COL
Col	2	2	That their hearts may be comforted, being instructed in charity, and unto all riches of fulness of understanding, unto the knowledge of the mystery of God the Father and of Christ Jesus:	COL
Col	2	3	In whom are hid all the treasures of wisdom and knowledge.	COL
Col	2	4	Now this I say, that no man may deceive you by loftiness of words.	COL
Col	2	5	For though I be absent in body, yet in spirit I am with you; rejoicing, and beholding your order, and the steadfastness of your faith which is in Christ.	COL
Col	2	6	As therefore you have received Jesus Christ the Lord, walk ye in him;	COL
Col	2	7	Rooted and built up in him, and confirmed in the faith, as also you have learned, abounding in him in thanksgiving.	COL
Col	2	8	Beware lest any man cheat you by philosophy, and vain deceit; according to the tradition of men, according to the elements of the world, and not according to Christ:	COL
Col	2	9	For in him dwelleth all the fulness of the Godhead corporeally;	COL
Col	2	10	And you are filled in him, who is the head of all principality and power:	COL
Col	2	11	In whom also you are circumcised with circumcision not made by hand, in despoiling of the body of the flesh, but in the circumcision of Christ:	COL
Col	2	12	Buried with him in baptism, in whom also you are risen again by the faith of the operation of God, who hath raised him up from the dead.	COL
Col	2	13	And you, when you were dead in your sins, and the uncircumcision of your flesh; he hath quickened together with him, forgiving you all offences:	COL
Col	2	14	Blotting out the handwriting of the decree that was against us, which was contrary to us. And he hath taken the same out of the way, fastening it to the cross:	COL
Col	2	15	And despoiling the principalities and powers, he hath exposed them confidently in open shew, triumphing over them in himself.	COL
Col	2	16	Let no man therefore judge you in meat or in drink, or in respect of a festival day, or of the new moon, or of the sabbaths,	COL
Col	2	17	Which are a shadow of things to come, but the body is of Christ.	COL
Col	2	18	Let no man seduce you, willing in humility, and religion of angels, walking in the things which he hath not seen, in vain puffed up by the sense of his flesh,	COL
Col	2	19	And not holding the head, from which the whole body, by joints and bands, being supplied with nourishment and compacted, groweth unto the increase of God.	COL
Col	2	20	If then you be dead with Christ from the elements of this world, why do you yet decree as though living in the world?	COL
Col	2	21	Touch not, taste not, handle not:	COL
Col	2	22	Which all are unto destruction by the very use, according to the precepts and doctrines of men.	COL
Col	2	23	Which things have indeed a shew of wisdom in superstition and humility, and not sparing the body; not in any honour to the filling of the flesh.	COL
Col	3	1	Therefore, if you be risen with Christ, seek the things that are above; where Christ is sitting at the right hand of God:	COL
Col	3	2	Mind the things that are above, not the things that are upon the earth.	COL
Col	3	3	For you are dead; and your life is hid with Christ in God.	COL
Col	3	4	When Christ shall appear, who is your life, then you also shall appear with him in glory.	COL
Col	3	5	Mortify therefore your members which are upon the earth; fornication, uncleanness, lust, evil concupiscence, and covetousness, which is the service of idols.	COL
Col	3	6	For which things the wrath of God cometh upon the children of unbelief,	COL
Col	3	7	In which you also walked some time, when you lived in them.	COL
Col	3	8	But now put you also all away: anger, indignation, malice, blasphemy, filthy speech out of your mouth.	COL
Col	3	9	Lie not one to another: stripping yourselves of the old man with his deeds,	COL
Col	3	10	And putting on the new, him who is renewed unto knowledge, according to the image of him that created him.	COL
Col	3	11	Where there is neither Gentile nor Jew, circumcision nor uncircumcision, Barbarian nor Scythian, bond nor free. But Christ is all, and in all.	COL
Col	3	12	Put ye on therefore, as the elect of God, holy, and beloved, the bowels of mercy, benignity, humility, modesty, patience:	COL
Col	3	13	Bearing with one another, and forgiving one another, if any have a complaint against another: even as the Lord hath forgiven you, so do you also.	COL
Col	3	14	But above all these things have charity, which is the bond of perfection:	COL
Col	3	15	And let the peace of Christ rejoice in your hearts, wherein also you are called in one body: and be ye thankful.	COL
Col	3	16	Let the word of Christ dwell in you abundantly, in all wisdom: teaching and admonishing one another in psalms, hymns, and spiritual canticles, singing in grace in your hearts to God.	COL
Col	3	17	All whatsoever you do in word or in work, do all in the name of the Lord Jesus Christ, giving thanks to God and the Father by him.	COL
Col	3	18	Wives, be subject to your husbands, as it behoveth in the Lord.	COL
Col	3	19	Husbands, love your wives, and be not bitter towards them.	COL
Col	3	20	Children, obey your parents in all things: for this is well pleasing to the Lord.	COL
Col	3	21	Fathers, provoke not your children to indignation, lest they be discouraged.	COL
Col	3	22	Servants, obey in all things your masters according to the flesh, not serving to the eye, as pleasing men, but in simplicity of heart, fearing God.	COL
Col	3	23	Whatsoever you do, do it from the heart, as to the Lord, and not to men:	COL
Col	3	24	Knowing that you shall receive of the Lord the reward of inheritance. Serve ye the Lord Christ.	COL
