locus	vendored_reading	american_edition_reading
Gen.1.11	And he said: let the earth bring forth green herb, and such as may seed, and the fruit tree yielding fruit after its kind, which may have seed in itself upon the earth. And it was so done.	And he said: Let the earth bring forth the green herb, and such as may seed, and the fruit tree yielding fruit after its kind, which may have seed in itself upon the earth. And it was so done.
Gen.4.5	But to Cain and his offerings he had no respect: and Cain was exceeding angry, and his countenance fell.	But to Cain and his offerings he had no respect: and Cain was exceedingly angry, and his countenance fell.
Gen.4.14	Behold thou dost cast me out this day from the face of the earth, and from thy face I shall be hid, and I shall be a vagabond and a fugitive on the earth: every one, therefore, that findeth me, shall kill me.	Behold thou dost cast me out this day from the face of the earth, and I shall be hidden from thy face, and I shall be a vagabond and a fugitive on the earth: every one, therefore, that findeth me, shall kill me.
Gen.4.15	And the Lord said to him: No, it shall not so be: but whosoever shall kill Cain, shall be punished sevenfold. And the Lord set a mark upon Cain, that whosoever found him should not kill him.	And the Lord said to him: No, it shall not be so: but whosoever shall kill Cain, shall be punished sevenfold. And the Lord set a mark upon Cain, that whosoever found him should not kill him.
Gen.5.26	And Mathlusala lived after he begot Lamech, seven hundred and eighty-two years, and begot sons and daughters.	And Mathusala lived after he begot Lamech, seven hundred and eighty-two years, and begot sons and daughters.
Gen.7.11	In the six hundredth year of the life of Noe, in the second month, in the seventeenth day of the month, all the fountains of the great deep were broken up, and the floodgates of heaven were opened:	In the six hundredth year of the life of Noe, in the second month, in the seventeenth day of the month, all the fountains of the great deep were broken up, and the flood gates of heaven were opened:
Gen.8.2	The fountains also of the deep, and the floodgates of heaven, were shut up, and the rain from heaven was restrained.	The fountains also of the deep, and the flood gates of heaven were shut up, and the rain from heaven was restrained.
Gen.10.13	And Mesraim begot Ludim, and Anamim and Laabim, Nephthuim.	And Mesraim begot Ludim, and Anamim, and Laabim, Nepthuim,
Gen.10.17	The Hevite and Aracite: the Sinite,	The Hevite and the Aracite: the Sinite,
Gen.10.23	The sons of Aram: Us, and Hull, and Gether; and Mes.	The sons of Aram: Us and Hull, and Gether, and Mess.
Gen.10.25	And to Heber were born two sons: the name of the one was Phaleg, because in his days was the earth divided: and his brother's name Jectan.	And to Heber were born two sons: the name of the one was Phaleg, because in his days the earth was divided: and his brother's name Jectan.
Gen.10.32	These are the families of Noe, according to their people and nations. By these were the nations divided on the earth after the flood.	These are the families of Noe, according to their peoples and nations. By these were the nations divided on the earth after the flood.
Gen.12.3	I will bless them that bless thee, and curse them that curse thee, and IN THEE shall all the kindreds of the earth be blessed.	I will bless them that bless thee, and curse them that curse thee, and IN THEE shall all the kindred of the earth be blessed:
Gen.12.6	Abram passed through the country unto the place of Sichem, as far as the noble vale: now the Chanaanite was at that time in the land.	Abram passed through the country into the place of Sichem, as far as the noble vale: now the Chanaanite was at that time in the land.
Gen.13.17	Arise and walk through the land in the length, and the breadth thereof: for I will give it to thee.	Arise and walk through the land in the length, and in the breadth thereof: for I will give it to thee.
Gen.14.13	And behold one, that had escaped, told Abram the Hebrew, who dwelt in the vale of Mambre the Amorrhite, the brother of Escol, and the brother of Aner: for these had made a league with Abram.	And behold one that had escaped told Abram the Hebrew, who dwelt in the vale of Mambre the Amorrhite, the brother of Escol, and the brother of Aner: for these had made league with Abram.
Gen.15.9	And the Lord answered, and said: Take me a cow of three years old, and a she-goat of three years, and a ram of three years, a turtle also, and a pigeon.	And the Lord answered, and said: Take me a cow of three years old, and a she goat of three years, and a ram of three years, a turtle also, and a pigeon.
Gen.15.18	That day God made a covenant with Abram, saying: To thy seed will I give this land, from the river to Egypt even to the great river Euphrates.	That day God made a covenant with Abram, saying: To thy seed will I give this land, from the river of Egypt even to the great river Euphrates.
Gen.17.10	This is my covenant which you shall observe between me and you, and thy seed after thee: All the male-kind of you shall be circumcised.	This is my covenant which you shall observe, between me and you, and thy seed after thee: All the male kind of you shall be circumcised:
Gen.17.12	An infant of eight days old shall be circumcised among you, every manchild in your generations: he that is born in the house, as well as the bought servant, shall be circumcised, and whosoever is not of your stock:	An infant of eight days old shall be circumcised among you, every man child in your generations: he that is born in the house, as well as the bought servant shall be circumcised, and whosoever is not of your stock:
Gen.18.2	And when he had lifted up his eyes, there appeared to him three men standing near to him: and as soon as he saw them, he ran to meet them from the door of his tent, and adored down to the ground.	And when he had lifted up his eyes, there appeared to him three men standing near him: and as soon as he saw them he ran to meet them from the door of his tent, and adored down to the ground.
Gen.18.32	I beseech thee, saith he, be not angry, Lord, if I speak yet once more: What if ten shall be found there? And he said: I will not destroy it for the sake of ten.	I beseech thee, saith he, be not angry, Lord, if I speak yet once more: What if ten should be found there? And he said: I will not destroy it for the sake of ten.
Gen.19.15	And when it was morning, the angels pressed him, saying: Arise, take thy wife, and the two daughters that thou hast: lest thou also perish in the wickedness of the city.	And when it was morning, the angels pressed him, saying: Arise, take thy wife, and the two daughters which thou hast: lest thou also perish in the wickedness of the city.
Gen.19.17	And they brought him forth, and set him without the city: and there they spoke to him, saying: Save thy life: look not back, neither stay thou in all the country about: but save thy self in the mountain, lest thou be also consumed.	And they brought him forth, and set him without the city: and there they spoke to him, saying: Save thy life: look not back, neither stay thou in all the country about: but save thyself in the mountain, lest thou be also consumed.
