ordinal	token	file	testament	douay_title	modern_name	missal_latin_abbreviation	alternate_names	chapters	verses	note
1	Gen	01-genesis.tsv	old	The Book of Genesis	Genesis	Gen.	Gn	50	1530	
2	Ex	02-exodus.tsv	old	The Book of Exodus	Exodus	Exod.	Ex	40	1211	
3	Lev	03-leviticus.tsv	old	The Book of Leviticus	Leviticus	Levit.	Lev	27	858	
4	Num	04-numbers.tsv	old	The Book of Numbers	Numbers	Num.	Nm	36	1288	
5	Deut	05-deuteronomy.tsv	old	The Book of Deuteronomy	Deuteronomy	Deut.	Dt	34	959	
6	Jos	06-josue.tsv	old	The Book of Josue	Joshua	Jos.	Josue; Jos	24	658	Douay "Josue" is modern "Joshua"
7	Judg	07-judges.tsv	old	The Book of Judges	Judges	Judic.	Jdg; Judg	21	618	
8	Ruth	08-ruth.tsv	old	The Book of Ruth	Ruth	Ruth	Rt	4	85	
9	1Kings	09-1-kings.tsv	old	The First Book of Samuel, otherwise called the First Book of Kings	1 Samuel	1 Reg.	1 Kings; 1 Samuel; 1 Sm	31	811	TRAP: the Douay "First Book of Kings" is modern 1 Samuel. A modern "1 Kings" citation is Douay 3 Kings.
10	2Kings	10-2-kings.tsv	old	The Second Book of Samuel, otherwise called the Second Book of Kings	2 Samuel	2 Reg.	2 Kings; 2 Samuel; 2 Sm	24	694	TRAP: the Douay "Second Book of Kings" is modern 2 Samuel. A modern "2 Kings" citation is Douay 4 Kings.
11	3Kings	11-3-kings.tsv	old	The Third Book of Kings	1 Kings	3 Reg.	3 Kings; 1 Kings (modern)	22	817	TRAP: Douay 3 Kings is modern 1 Kings.
12	4Kings	12-4-kings.tsv	old	The Fourth Book of Kings	2 Kings	4 Reg.	4 Kings; 2 Kings (modern)	25	719	TRAP: Douay 4 Kings is modern 2 Kings.
13	1Par	13-1-paralipomenon.tsv	old	The First Book of Paralipomenon	1 Chronicles	1 Paral.	1 Paralipomenon; 1 Par	29	940	Douay "Paralipomenon" is modern "Chronicles"
14	2Par	14-2-paralipomenon.tsv	old	The Second Book of Paralipomenon	2 Chronicles	2 Paral.	2 Paralipomenon; 2 Par	36	822	Douay "Paralipomenon" is modern "Chronicles"
15	1Esd	15-1-esdras.tsv	old	The First Book of Esdras	Ezra	1 Esdr.	1 Esdras; Esdras	10	280	Douay 1 Esdras is modern Ezra
16	2Esd	16-2-esdras.tsv	old	The Book of Nehemias, which is called the Second of Esdras	Nehemiah	2 Esdr.	2 Esdras; Nehemias; Neh	13	404	Douay 2 Esdras (Nehemias) is modern Nehemiah
17	Tob	17-tobias.tsv	old	The Book of Tobias	Tobit	Tob.	Tobias; Tb	14	298	deuterocanonical; the Douay follows the Vulgate text, whose chapter and verse division differs from the Greek used by most modern versions
18	Jdt	18-judith.tsv	old	The Book of Judith	Judith	Judith	Jdt	16	345	deuterocanonical; Vulgate chapter and verse division differs from the Greek
19	Esth	19-esther.tsv	old	The Book of Esther	Esther	Esth.	Est	16	275	the Vulgate additions stand at 10:4-16:24; modern versions print them as Greek Esther A-F
20	Job	20-job.tsv	old	The Book of Job	Job	Job	Jb	42	1070	
21	Ps	21-psalms.tsv	old	The Book of Psalms	Psalms	Ps.	Psalmi; Pss	150	2528	Psalm numbers are Vulgate/Septuagint numbers throughout; see psalm-numbering.tsv
22	Prov	22-proverbs.tsv	old	The Book of Proverbs	Proverbs	Prov.	Prv	31	915	
23	Eccles	23-ecclesiastes.tsv	old	Ecclesiastes	Ecclesiastes	Eccle.	Qoheleth; Eccl	12	222	TRAP: the Missal abbreviation "Eccle." is Ecclesiastes; "Eccli." is Ecclesiasticus.
24	Cant	24-canticle-of-canticles.tsv	old	Solomon’s Canticle of Canticles	Song of Songs	Cant.	Canticle of Canticles; Song of Solomon; Sg	8	116	
25	Wis	25-wisdom.tsv	old	The Book of Wisdom	Wisdom	Sap.	Sapientia; Ws	19	439	deuterocanonical
26	Ecclus	26-ecclesiasticus.tsv	old	Ecclesiasticus	Sirach	Eccli.	Ecclesiasticus; Sir	51	1591	deuterocanonical; TRAP: "Eccli." is this book, not Ecclesiastes. Vulgate chapter and verse division differs from the Greek used by modern versions, often by one or more verses.
