left_arrangement	left_book	left_chapter	left_verses	right_arrangement	right_book	right_chapter	right_verses	relation	left_opening	right_opening	note
vulgate	Esth	1	1-22	greek	Esth	1	1-22	one-to-one	in the days of assuerus who reigned	now it came to pass in the	
vulgate	Esth	2	1-23	greek	Esth	2	1-23	one-to-one	after this when the wrath of king	after these things when the wrath of	
vulgate	Esth	3	1-15	greek	Esth	3	1-15	one-to-one	after these things king assuerus advanced aman	after these things did king ahasuerus promote	
vulgate	Esth	4	1-17	greek	Esth	4	1-17	one-to-one	now when mardochai had heard these things	now when mordecai knew all that was	
vulgate	Esth	5	1-14	greek	Esth	5	1-14	one-to-one	and on the third day esther put	now it came to pass on the	
vulgate	Esth	6	1-14	greek	Esth	6	1-14	one-to-one	that night the king passed without sleep	on that night could not the king	
vulgate	Esth	7	1-10	greek	Esth	7	1-10	one-to-one	so the king and aman went in	so the king and haman came to	
vulgate	Esth	8	1-17	greek	Esth	8	1-17	one-to-one	on that day king assuerus gave the	on that day did the king ahasuerus	
vulgate	Esth	9	1-32	greek	Esth	9	1-32	one-to-one	so on the thirteenth day of the	now in the twelfth month which is	
vulgate	Esth	10	1-3	greek	Esth	10	1-3	one-to-one	and king assuerus made all the land	and the king ahasuerus laid a tribute	
vulgate	Esth	10	4-13	greek	EsthGr	10	4-13	one-to-one	then mardochai said god hath done these	then mardocheus said these things are of	the Greek additions stand in a book of their own here, under the numbers the Vulgate gives them
vulgate	Esth	11	1-12	greek	EsthGr	11	1-12	one-to-one	in the fourth year of the reign	in the fourth year of the reign	
vulgate	Esth	12	1-6	greek	EsthGr	12	1-6	one-to-one	and he abode at that time in	and mardocheus took his rest in the	
vulgate	Esth	13	1-18	greek	EsthGr	13	1-18	one-to-one	and this was the copy of the	now this is the copy of the	
vulgate	Esth	14	1-19	greek	EsthGr	14	1-19	one-to-one	queen esther also fearing the danger that	queen esther also being seized as it	
vulgate	Esth	15	1-3	greek				absent-right	and he commanded her no doubt but		Mardochai's charge to Esther, which the Vulgate repeats here from 4:8; the Greek additions begin this chapter at Esther's approach to the king
vulgate	Esth	15	4-12	greek	EsthGr	15	1-9	one-to-one	and on the third day she laid	and upon the third day when she	
vulgate	Esth	15	13-14	greek	EsthGr	15	10	merged-right	thou shalt not die for this law	thou shalt not die for our commandment	the Vulgate divides "thou shalt not die" from "come near then, and touch the sceptre"; the Greek holds both in one verse
vulgate	Esth	15	15	greek	EsthGr	15	11-12	split-right	and as she held her peace he	so he held up his golden sceptre	the Vulgate holds the sceptre, the embrace and "why dost thou not speak to me" in one verse; the Greek divides them
vulgate	Esth	15	16-19	greek	EsthGr	15	13-16	one-to-one	she answered i saw thee my lord	then said she unto him i saw	
vulgate	Esth	16	1-24	greek	EsthGr	16	1-24	one-to-one	the great king artaxerxes from india to	the great king artaxerxes unto the governors	
vulgate	Dan	1	1-21	greek	Dan	1	1-21	one-to-one	in the third year of the reign	in the third year of the reign	
vulgate	Dan	2	1-49	greek	Dan	2	1-49	one-to-one	in the second year of the reign	and in the second year of the	
vulgate	Dan	3	1-23	greek	Dan	3	1-23	one-to-one	king nabuchodonosor made a statue of gold	nebuchadnezzar the king made an image of	
vulgate	Dan	3	24-51	greek	SgThree	1	1-28	one-to-one	and they walked in the midst of	and they walked in the midst of	the Prayer of Azarias, which the Greek prints as a book of its own
vulgate	Dan	3	52	greek	SgThree	1	29-30	split-right	blessed art thou o lord the god	blessed art thou o lord thou god	the Vulgate holds "blessed art thou, O Lord, the God of our fathers" and "blessed is the holy name of thy glory" in one verse; the Greek divides them
vulgate	Dan	3	53	greek	SgThree	1	31	one-to-one	blessed art thou in the holy temple	blessed art thou in the temple of	
