book	chapter	verse	witnesses	rule
1Cor	1	4	king-james-version;world-english-bible-catholic	concurring
1Cor	1	10	king-james-version;world-english-bible-catholic	concurring
1Cor	1	18	king-james-version	disputed
1Cor	1	20	world-english-bible-catholic	disputed
1Cor	1	26	world-english-bible-catholic	disputed
1Cor	2	6	world-english-bible-catholic	disputed
1Cor	2	10	world-english-bible-catholic	disputed
1Cor	3	3	king-james-version	disputed
1Cor	3	5	world-english-bible-catholic	disputed
1Cor	3	10	world-english-bible-catholic	disputed
1Cor	3	16	world-english-bible-catholic	disputed
1Cor	3	18	king-james-version;world-english-bible-catholic	concurring
1Cor	4	6	world-english-bible-catholic	disputed
1Cor	4	8	world-english-bible-catholic	disputed
1Cor	4	14	world-english-bible-catholic	disputed
1Cor	5	6	world-english-bible-catholic	disputed
1Cor	5	9	world-english-bible-catholic	disputed
1Cor	6	9	world-english-bible-catholic	disputed
1Cor	6	12	king-james-version;world-english-bible-catholic	concurring
1Cor	7	6	world-english-bible-catholic	disputed
1Cor	7	8	king-james-version	disputed
1Cor	7	12	world-english-bible-catholic	disputed
1Cor	7	17	world-english-bible-catholic	disputed
1Cor	7	18	world-english-bible-catholic	disputed
1Cor	7	25	king-james-version;world-english-bible-catholic	concurring
1Cor	7	32	world-english-bible-catholic	disputed
1Cor	7	36	world-english-bible-catholic	disputed
1Cor	7	39	world-english-bible-catholic	disputed
1Cor	8	4	world-english-bible-catholic	disputed
1Cor	8	7	world-english-bible-catholic	disputed
1Cor	9	3	world-english-bible-catholic	disputed
1Cor	9	8	world-english-bible-catholic	disputed
1Cor	9	13	world-english-bible-catholic	disputed
1Cor	9	15	world-english-bible-catholic	disputed
1Cor	9	19	world-english-bible-catholic	disputed
1Cor	10	6	world-english-bible-catholic	disputed
1Cor	10	13	world-english-bible-catholic	disputed
1Cor	10	14	king-james-version;world-english-bible-catholic	concurring
1Cor	10	19	world-english-bible-catholic	disputed
1Cor	10	23	world-english-bible-catholic	disputed
1Cor	10	31	world-english-bible-catholic	disputed
1Cor	11	2	king-james-version;world-english-bible-catholic	concurring
1Cor	11	11	world-english-bible-catholic	disputed
1Cor	11	17	king-james-version;world-english-bible-catholic	concurring
1Cor	11	23	world-english-bible-catholic	disputed
1Cor	11	27	world-english-bible-catholic	disputed
1Cor	12	4	world-english-bible-catholic	disputed
1Cor	12	12	world-english-bible-catholic	disputed
1Cor	12	14	world-english-bible-catholic	disputed
1Cor	12	27	world-english-bible-catholic	disputed
1Cor	13	4	world-english-bible-catholic	disputed
1Cor	13	8	world-english-bible-catholic	disputed
1Cor	14	6	world-english-bible-catholic	disputed
1Cor	14	13	world-english-bible-catholic	disputed
1Cor	14	15	world-english-bible-catholic	disputed
1Cor	14	20	world-english-bible-catholic	disputed
1Cor	14	26	world-english-bible-catholic	disputed
1Cor	14	37	world-english-bible-catholic	disputed
1Cor	14	39	world-english-bible-catholic	disputed
1Cor	15	3	world-english-bible-catholic	disputed
1Cor	15	12	world-english-bible-catholic	disputed
1Cor	15	20	world-english-bible-catholic	disputed
1Cor	15	29	world-english-bible-catholic	disputed
1Cor	15	35	king-james-version;world-english-bible-catholic	concurring
1Cor	15	42	world-english-bible-catholic	disputed
1Cor	15	45	world-english-bible-catholic	disputed
1Cor	15	51	world-english-bible-catholic	disputed
1Cor	15	56	world-english-bible-catholic	disputed
1Cor	16	5	world-english-bible-catholic	disputed
1Cor	16	10	world-english-bible-catholic	disputed
1Cor	16	12	world-english-bible-catholic	disputed
1Cor	16	13	world-english-bible-catholic	disputed
1Cor	16	15	world-english-bible-catholic	disputed
1Cor	16	19	king-james-version;world-english-bible-catholic	concurring
1Cor	16	21	world-english-bible-catholic	disputed
