vulgate_psalm	vulgate_verses	hebrew_psalm	hebrew_verses	english_psalm	english_verses	english_offset	english_offset_uniform	printed_douay_rheims	note
1	1-6	1	1-6	1	1-6	0	yes		
2	1-13	2	1-13	2	1-13	0	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 13 verses against 12 in the English convention, so the two systems also divide the body differently
3	1	3	1	3	title	1	yes		psalm inscription; English Bibles leave it unnumbered
3	2-9	3	2-9	3	1-8	1	yes		
4	1	4	1	4	title	1	no		psalm inscription; English Bibles leave it unnumbered
4	2-10	4	2-10	4	1-9	1	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 10 verses against 8 in the English convention, so the two systems also divide the body differently
5	1	5	1	5	title	1	yes		psalm inscription; English Bibles leave it unnumbered
5	2-13	5	2-13	5	1-12	1	yes		
6	1	6	1	6	title	1	yes		psalm inscription; English Bibles leave it unnumbered
6	2-11	6	2-11	6	1-10	1	yes		
7	1	7	1	7	title	1	yes		psalm inscription; English Bibles leave it unnumbered
7	2-18	7	2-18	7	1-17	1	yes		
8	1	8	1	8	title	1	yes		psalm inscription; English Bibles leave it unnumbered
8	2-10	8	2-10	8	1-9	1	yes		
9	1	9	1	9	title	1	yes		psalm inscription; English Bibles leave it unnumbered
9	2-21	9	2-21	9	1-20	1	yes		
9	22-39	10	1-18	10	1-18	0	yes	printed in the Douay-Rheims under the running head "Psalm 10 according to the Hebrews" and renumbered 1-18	
10	1	11	1	11	title	1	yes		psalm inscription; English Bibles leave it unnumbered
10	2-8	11	2-8	11	1-7	1	yes		
11	1	12	1	12	title	1	yes		psalm inscription; English Bibles leave it unnumbered
11	2-9	12	2-9	12	1-8	1	yes		
12	1-6	13	1-6	13	1-6	0	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 6 verses against 6 in the English convention, so the two systems also divide the body differently
13	1-7	14	1-7	14	1-7	0	yes		
14	1-5	15	1-5	15	1-5	0	yes		
15	1-11	16	1-11	16	1-11	0	yes		
16	1-15	17	1-15	17	1-15	0	yes		
17	1	18	1	18	title	1	yes		psalm inscription; English Bibles leave it unnumbered
17	2-51	18	2-51	18	1-50	1	yes		
18	1	19	1	19	title	1	yes		psalm inscription; English Bibles leave it unnumbered
18	2-15	19	2-15	19	1-14	1	yes		
19	1	20	1	20	title	1	no		psalm inscription; English Bibles leave it unnumbered
19	2-9	20	2-9	20	1-8	1	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 9 verses against 9 in the English convention, so the two systems also divide the body differently
20	1	21	1	21	title	1	yes		psalm inscription; English Bibles leave it unnumbered
20	2-14	21	2-14	21	1-13	1	yes		
21	1	22	1	22	title	1	yes		psalm inscription; English Bibles leave it unnumbered
21	2-32	22	2-32	22	1-31	1	yes		
22	1-6	23	1-6	23	1-6	0	yes		
23	1-10	24	1-10	24	1-10	0	yes		
24	1-22	25	1-22	25	1-22	0	yes		
25	1-12	26	1-12	26	1-12	0	yes		
26	1-14	27	1-14	27	1-14	0	yes		
27	1-9	28	1-9	28	1-9	0	yes		
28	1	29	1	29	title	1	no		psalm inscription; English Bibles leave it unnumbered
28	2-10	29	2-10	29	1-9	1	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 10 verses against 11 in the English convention, so the two systems also divide the body differently
29	1	30	1	30	title	1	yes		psalm inscription; English Bibles leave it unnumbered
29	2-13	30	2-13	30	1-12	1	yes		
30	1	31	1	31	title	1	yes		psalm inscription; English Bibles leave it unnumbered
30	2-25	31	2-25	31	1-24	1	yes		
31	1-11	32	1-11	32	1-11	0	yes		
32	1-22	33	1-22	33	1-22	0	yes		
33	1	34	1	34	title	1	yes		psalm inscription; English Bibles leave it unnumbered
33	2-23	34	2-23	34	1-22	1	yes		
34	1-28	35	1-28	35	1-28	0	yes		
35	1	36	1	36	title	1	yes		psalm inscription; English Bibles leave it unnumbered
35	2-13	36	2-13	36	1-12	1	yes		
36	1-40	37	1-40	37	1-40	0	yes		
37	1	38	1	38	title	1	yes		psalm inscription; English Bibles leave it unnumbered
37	2-23	38	2-23	38	1-22	1	yes		
38	1	39	1	39	title	1	yes		psalm inscription; English Bibles leave it unnumbered
38	2-14	39	2-14	39	1-13	1	yes		
39	1	40	1	40	title	1	yes		psalm inscription; English Bibles leave it unnumbered
39	2-18	40	2-18	40	1-17	1	yes		
40	1	41	1	41	title	1	yes		psalm inscription; English Bibles leave it unnumbered
40	2-14	41	2-14	41	1-13	1	yes		
41	1	42	1	42	title	1	yes		psalm inscription; English Bibles leave it unnumbered
41	2-12	42	2-12	42	1-11	1	yes		
42	1-6	43	1-6	43	1-6	0	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 6 verses against 5 in the English convention, so the two systems also divide the body differently
43	1	44	1	44	title	1	no		psalm inscription; English Bibles leave it unnumbered
43	2-26	44	2-26	44	1-25	1	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 26 verses against 26 in the English convention, so the two systems also divide the body differently
44	1	45	1	45	title	1	yes		psalm inscription; English Bibles leave it unnumbered
44	2-18	45	2-18	45	1-17	1	yes		
45	1	46	1	46	title	1	yes		psalm inscription; English Bibles leave it unnumbered
45	2-12	46	2-12	46	1-11	1	yes		
46	1	47	1	47	title	1	yes		psalm inscription; English Bibles leave it unnumbered
46	2-10	47	2-10	47	1-9	1	yes		
47	1	48	1	48	title	1	yes		psalm inscription; English Bibles leave it unnumbered
47	2-15	48	2-15	48	1-14	1	yes		
48	1	49	1	49	title	1	yes		psalm inscription; English Bibles leave it unnumbered
48	2-21	49	2-21	49	1-20	1	yes		
49	1-23	50	1-23	50	1-23	0	yes		
50	1-2	51	1-2	51	title	2	yes		psalm inscription; English Bibles leave it unnumbered
50	3-21	51	3-21	51	1-19	2	yes		
51	1-2	52	1-2	52	title	2	yes		psalm inscription; English Bibles leave it unnumbered
51	3-11	52	3-11	52	1-9	2	yes		
52	1-7	53	1-7	53	1-7	0	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 7 verses against 6 in the English convention, so the two systems also divide the body differently
53	1-2	54	1-2	54	title	2	yes		psalm inscription; English Bibles leave it unnumbered
53	3-9	54	3-9	54	1-7	2	yes		
54	1	55	1	55	title	1	yes		psalm inscription; English Bibles leave it unnumbered
54	2-24	55	2-24	55	1-23	1	yes		
55	1	56	1	56	title	1	no		psalm inscription; English Bibles leave it unnumbered
55	2-13	56	2-13	56	1-12	1	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 13 verses against 13 in the English convention, so the two systems also divide the body differently
56	1	57	1	57	title	1	yes		psalm inscription; English Bibles leave it unnumbered
56	2-12	57	2-12	57	1-11	1	yes		
57	1	58	1	58	title	1	yes		psalm inscription; English Bibles leave it unnumbered
57	2-12	58	2-12	58	1-11	1	yes		
58	1	59	1	59	title	1	yes		psalm inscription; English Bibles leave it unnumbered
58	2-18	59	2-18	59	1-17	1	yes		
59	1-2	60	1-2	60	title	2	yes		psalm inscription; English Bibles leave it unnumbered
59	3-14	60	3-14	60	1-12	2	yes		
60	1	61	1	61	title	1	yes		psalm inscription; English Bibles leave it unnumbered
60	2-9	61	2-9	61	1-8	1	yes		
61	1	62	1	62	title	1	yes		psalm inscription; English Bibles leave it unnumbered
61	2-13	62	2-13	62	1-12	1	yes		
62	1	63	1	63	title	1	yes		psalm inscription; English Bibles leave it unnumbered
62	2-12	63	2-12	63	1-11	1	yes		
63	1	64	1	64	title	1	yes		psalm inscription; English Bibles leave it unnumbered
63	2-11	64	2-11	64	1-10	1	yes		
64	1	65	1	65	title	1	yes		psalm inscription; English Bibles leave it unnumbered
64	2-14	65	2-14	65	1-13	1	yes		
65	1-20	66	1-20	66	1-20	0	yes		
66	1	67	1	67	title	1	yes		psalm inscription; English Bibles leave it unnumbered
66	2-8	67	2-8	67	1-7	1	yes		
67	1	68	1	68	title	1	yes		psalm inscription; English Bibles leave it unnumbered
67	2-36	68	2-36	68	1-35	1	yes		
68	1	69	1	69	title	1	yes		psalm inscription; English Bibles leave it unnumbered
68	2-37	69	2-37	69	1-36	1	yes		
69	1	70	1	70	title	1	yes		psalm inscription; English Bibles leave it unnumbered
69	2-6	70	2-6	70	1-5	1	yes		
70	1-24	71	1-24	71	1-24	0	yes		
71	1	72	1	72	title	1	no		psalm inscription; English Bibles leave it unnumbered
71	2-20	72	2-20	72	1-19	1	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 20 verses against 20 in the English convention, so the two systems also divide the body differently
72	1-28	73	1-28	73	1-28	0	yes		
73	1-23	74	1-23	74	1-23	0	yes		
74	1	75	1	75	title	1	yes		psalm inscription; English Bibles leave it unnumbered
74	2-11	75	2-11	75	1-10	1	yes		
75	1	76	1	76	title	1	yes		psalm inscription; English Bibles leave it unnumbered
75	2-13	76	2-13	76	1-12	1	yes		
76	1	77	1	77	title	1	yes		psalm inscription; English Bibles leave it unnumbered
76	2-21	77	2-21	77	1-20	1	yes		
77	1-72	78	1-72	78	1-72	0	yes		
78	1-13	79	1-13	79	1-13	0	yes		
79	1	80	1	80	title	1	yes		psalm inscription; English Bibles leave it unnumbered
79	2-20	80	2-20	80	1-19	1	yes		
80	1	81	1	81	title	1	yes		psalm inscription; English Bibles leave it unnumbered
80	2-17	81	2-17	81	1-16	1	yes		
81	1-8	82	1-8	82	1-8	0	yes		
82	1	83	1	83	title	1	yes		psalm inscription; English Bibles leave it unnumbered
82	2-19	83	2-19	83	1-18	1	yes		
83	1	84	1	84	title	1	yes		psalm inscription; English Bibles leave it unnumbered
83	2-13	84	2-13	84	1-12	1	yes		
84	1	85	1	85	title	1	yes		psalm inscription; English Bibles leave it unnumbered
84	2-14	85	2-14	85	1-13	1	yes		
85	1-17	86	1-17	86	1-17	0	yes		
86	1-7	87	1-7	87	1-7	0	yes		
87	1	88	1	88	title	1	yes		psalm inscription; English Bibles leave it unnumbered
87	2-19	88	2-19	88	1-18	1	yes		
88	1	89	1	89	title	1	yes		psalm inscription; English Bibles leave it unnumbered
88	2-53	89	2-53	89	1-52	1	yes		
89	1-17	90	1-17	90	1-17	0	yes		
90	1-16	91	1-16	91	1-16	0	yes		
91	1	92	1	92	title	1	yes		psalm inscription; English Bibles leave it unnumbered
91	2-16	92	2-16	92	1-15	1	yes		
92	1-5	93	1-5	93	1-5	0	yes		
93	1-23	94	1-23	94	1-23	0	yes		
94	1-11	95	1-11	95	1-11	0	yes		
95	1-13	96	1-13	96	1-13	0	yes		
96	1-12	97	1-12	97	1-12	0	yes		
97	1-9	98	1-9	98	1-9	0	yes		
98	1-9	99	1-9	99	1-9	0	yes		
99	1	100	1	100	title	1	no		psalm inscription; English Bibles leave it unnumbered
99	2-5	100	2-5	100	1-4	1	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 5 verses against 5 in the English convention, so the two systems also divide the body differently
100	1-8	101	1-8	101	1-8	0	yes		
101	1	102	1	102	title	1	yes		psalm inscription; English Bibles leave it unnumbered
101	2-29	102	2-29	102	1-28	1	yes		
102	1-22	103	1-22	103	1-22	0	yes		
103	1-35	104	1-35	104	1-35	0	yes		
104	1-45	105	1-45	105	1-45	0	yes		
105	1-48	106	1-48	106	1-48	0	yes		
106	1-43	107	1-43	107	1-43	0	yes		
107	1	108	1	108	title	1	yes		psalm inscription; English Bibles leave it unnumbered
107	2-14	108	2-14	108	1-13	1	yes		
108	1	109	1	109	title	1	no		psalm inscription; English Bibles leave it unnumbered
108	2-31	109	2-31	109	1-30	1	no		the English offset holds from the head of the psalm only; the Douay-Rheims has 31 verses against 31 in the English convention, so the two systems also divide the body differently
109	1-7	110	1-7	110	1-7	0	yes		
110	1-10	111	1-10	111	1-10	0	yes		
111	1-10	112	1-10	112	1-10	0	yes		
112	1-9	113	1-9	113	1-9	0	yes		
113	1-8	114	1-8	114	1-8	0	yes		
113	9-26	115	1-18	115	1-18	0	yes	printed in the Douay-Rheims as a second series restarting at 1 and running to 18	
114	1-9	116	1-9	116	1-9	0	yes		
115	10-19	116	10-19	116	10-19	0	yes		
116	1-2	117	1-2	117	1-2	0	yes		
117	1-29	118	1-29	118	1-29	0	yes		
118	1-176	119	1-176	119	1-176	0	yes		
119	1-7	120	1-7	120	1-7	0	yes		
120	1-8	121	1-8	121	1-8	0	yes		
121	1-9	122	1-9	122	1-9	0	yes		
122	1-4	123	1-4	123	1-4	0	yes		
123	1-8	124	1-8	124	1-8	0	yes		
124	1-5	125	1-5	125	1-5	0	yes		
