seq	element_key	printed_title	line	line_class	text	source_url
1	kyrie	Kyrie Eleison	1	p1	Kyrie eleison.	https://www.englishtexts.org/kyrie-eleison
2	kyrie	Kyrie Eleison	2	p1	Christe eleison.	https://www.englishtexts.org/kyrie-eleison
3	kyrie	Kyrie Eleison	3	p1	Kyrie eleison.	https://www.englishtexts.org/kyrie-eleison
4	kyrie	Kyrie Eleison	4	p1	Lord, have mercy.	https://www.englishtexts.org/kyrie-eleison
5	kyrie	Kyrie Eleison	5	p1	Christ, have mercy.	https://www.englishtexts.org/kyrie-eleison
6	kyrie	Kyrie Eleison	6	p1	Lord, have mercy.	https://www.englishtexts.org/kyrie-eleison
7	gloria-in-excelsis	Gloria in Excelsis	1	p1	Glory to God in the highest,	https://www.englishtexts.org/gloria-in-excelsis
8	gloria-in-excelsis	Gloria in Excelsis	2	p1	and peace to God's people on earth.	https://www.englishtexts.org/gloria-in-excelsis
9	gloria-in-excelsis	Gloria in Excelsis	3	p1s	Lord God, heavenly King,	https://www.englishtexts.org/gloria-in-excelsis
10	gloria-in-excelsis	Gloria in Excelsis	4	p1	almighty God and Father,	https://www.englishtexts.org/gloria-in-excelsis
11	gloria-in-excelsis	Gloria in Excelsis	5	p2	we worship you, we give you thanks,	https://www.englishtexts.org/gloria-in-excelsis
12	gloria-in-excelsis	Gloria in Excelsis	6	p2	we praise you for your glory.	https://www.englishtexts.org/gloria-in-excelsis
13	gloria-in-excelsis	Gloria in Excelsis	7	p1s	Lord Jesus Christ, only Son of the Father,	https://www.englishtexts.org/gloria-in-excelsis
14	gloria-in-excelsis	Gloria in Excelsis	8	p1	Lord God, Lamb of God,	https://www.englishtexts.org/gloria-in-excelsis
15	gloria-in-excelsis	Gloria in Excelsis	9	p1	you take away the sin of the world:	https://www.englishtexts.org/gloria-in-excelsis
16	gloria-in-excelsis	Gloria in Excelsis	10	p2	have mercy on us;	https://www.englishtexts.org/gloria-in-excelsis
17	gloria-in-excelsis	Gloria in Excelsis	11	p1	you are seated at the right hand of the Father:	https://www.englishtexts.org/gloria-in-excelsis
18	gloria-in-excelsis	Gloria in Excelsis	12	p2	receive our prayer.	https://www.englishtexts.org/gloria-in-excelsis
19	gloria-in-excelsis	Gloria in Excelsis	13	p1s	For you alone are the Holy One,	https://www.englishtexts.org/gloria-in-excelsis
