seq	element_key	part	kind	speaker	printed_page	ia_leaf	latin_incipit	english	notes
1	canon-heading	canon	heading		xxxiii	43		THE CANON OF THE MASS.	Section head, set in even small capitals across the full measure above both columns.
2	te-igitur	canon	prayer	priest	xxxiii	43	Te igitur, clementissime Pater	WE therefore, humbly pray and beseech thee most merciful Father, thro' Jesus Christ thy Son, our Lord, that thou wouldst vouchsafe to accept and bless these gifts, these presents, these holy unspotted sacrifices, which in the first place we offer thee for thy holy Catholic Church, to which vouchsafe to grant peace; as also to preserve, unite, and govern it throughout the world: together with thy servant N. our pope N. our Bishop,	Two-line drop W. The book prints no cross signs anywhere in its English column; the three signs the Latin rite prescribes here are absent from both columns of this printing.
3	te-igitur-cultoribus	canon	prayer	priest	xxxiii	43	et omnibus Orthodoxis	as also all orthodox believers and professors of the catholic and apostolic Faith.	The book sets this as a separate unindented block after the Bishop's N., matching the Latin column's own break at `et omnibus Orthodoxis`. Scan damage: `orthodox` prints as `ortnodox`, the h having lost its ascender; read at 1600 dpi and controlled against the facing Latin `Orthodoxis`.
4	commemoratio-vivorum-heading	canon	heading		xxxiii	43		COMMEMORATION OF THE LIVING.	Set in small capitals across the full measure.
5	memento-domine	canon	prayer	priest	xxxiii	43	Memento Domine famulorum	Be mindful O Lord of thy servants, men and women, N. and N.	The book prints no comma after `mindful`.
6	rubrica-oratio-silens	canon	rubric		xxxiii	43		He prays silently for those he intends to pray for.	Italic, set across the full measure.
7	et-omnium-circumstantium	canon	prayer	priest	xxxiii-xxxiv	43-44	Et omnium circumstantium	And of all here present, whose Faith and Devotion is known unto thee, for whom we offer. or who offer up to thee this sacrifice of praise for themselves, their families, and friends: for the redemption of their souls, for the health and salvation they hope for, and for which they now pay their vows to thee, the eternal, living, and true God.	Runs over the page break at xxxiii/xxxiv. The book prints a full stop, not a comma, after `for whom we offer`, and sets a space before it; the lower-case `or` following is the book's own.
8	communicantes	canon	prayer	priest	xxxiv	44	Communicantes, et memoriam venerantes	COMMUNICATING with, and honouring in the first place, the memory of the ever glorious Virgin Mary, Mother of our Lord and God Jesus Christ: as also of the blessed Apostles and Martyrs, Peter and Paul, Andrew, James, John, Thomas, James, Philip, Bartholomew, Matthew, Simon and Thadeus, Linus, Cletus, Clement, Xystus, Cornelius, Cyprian, Lawrence, Chrysogonus, John and Paul, Cosmas and Damian, and of all thy Saints; by whose merits and prayers grant that we may be always defended by the help of thy protection. Thro' the same Christ our Lord. Amen.	`COMMUNICATING` set in small capitals. This printing has NO clause naming Saint Joseph: it passes from `Jesus Christ` to `as also of the blessed Apostles`, the name having been inserted only by the decree of 13 November 1962. `Thadeus` is the book's spelling. Right-margin ink loss on this leaf: `by the`, `protection` and `Christ` each lose their last character; all three read against the facing Latin.
9	rubrica-manus-expansae	canon	rubric		xxxiv	44		Spreading his Hands over the Oblation he says,	Italic.
10	hanc-igitur	canon	prayer	priest	xxxiv-xxxv	44-45	Hanc igitur oblationem	We therefore beseech thee, O Lord, graciously to accept this oblation of our servitude, as also of thy whole family; dispose our days in thy peace, preserve us from eternal damnation, and rank us in the number of thine Elect. Through Christ our Lord. Amen.	`We therefore` set in italic. Runs over the page break at xxxiv/xxxv. The conclusion is set out in full as `Through Christ our Lord`, not abbreviated to `Thro'` as the temporal orations of the same book usually are.
11	quam-oblationem	canon	prayer	priest	xxxv	45	Quam oblationem tu, Deus	Which oblation do thou, O God, vouchsafe in all respects, to bless, approve, ratify, and accept; that it may be made for us the body and blood of thy most beloved Son Jesus Christ our Lord.	
12	qui-pridie	canon	prayer	priest	xxxv	45	Qui pridie quam pateretur	Who the day before he suffered, took bread into his holy and venerable hands, and with his eyes lifted up towards heaven, giving thanks to thee, Almighty God, his Father; he blessed it, brake it, and gave it to his disciples, saying: Take and eat ye all of this,	Ends with a comma, the consecratory form following in the same paragraph.
13	forma-corporis	canon	form	priest	xxxv	45	Hoc est enim Corpus meum	FOR THIS IS MY BODY.	Set in small capitals, beginning at `FOR`. The Latin column sets `Hoc est enim Corpus meum` in the same small capitals and adds nothing after it: this printing has no counterpart to the postconciliar `quod pro vobis tradetur`.
14	rubrica-elevatio-hostiae	canon	rubric		xxxv	45		After pronouncing the Words of Consecration, the Priest kneeling, adores and elevates the sacred Host.	Italic, set across the full measure and turned over two lines.
15	simili-modo	canon	prayer	priest	xxxv-xxxvi	45-46	Simili modo postquam coenatum est	In like manner, after he had supped, taking also this excellent chalice into his holy and venerable hands, giving thee also thanks, he blessed, and gave it to his disciples, saying:	Runs over the page break at xxxv/xxxvi.
16	forma-sanguinis	canon	form	priest	xxxvi	46	Hic est enim Calix Sanguinis mei	TAKE AND DRINK YE ALL OF THIS FOR THIS IS THE CHALICE OF MY BLOOD OF THE NEW AND ETERNAL TESTAMENT: THE MYSTERY OF FAITH: WHICH SHALL BE SHED FOR YOU, AND FOR MANY, TO THE REMISSION OF SINS.	Set in small capitals beginning at `TAKE`, so the caps extent differs from the form over the bread, which begins at `FOR`. `THE MYSTERY OF FAITH` stands INSIDE the form, as it does in the 1962 typical edition and as it does not in the 2002 Prex eucharistica I. Right-margin ink loss on this leaf: the hyphens of `CHA-LICE` and `MYS-TERY` are lost, `OF` after `MY BLOOD` loses its F, and `ETERNAL` loses its L; all read against the facing Latin.
17	haec-quotiescumque	canon	prayer	priest	xxxvi	46	Haec quotiescumque feceritis	As often as you do these things, ye shall do them in remembrance of me.	Printed as a separate paragraph after the form, not within it. Not in small capitals.
18	rubrica-elevatio-calicis	canon	rubric		xxxvi	46		Here also kneeling, he adores and elevates the Chalice.	Italic, set across the full measure.
19	unde-et-memores	canon	prayer	priest	xxxvi	46	Unde et memores, Domine	Wherefore, O Lord, we thy servants, as also thy holy people, calling to mind the blessed passion of the same Christ thy Son our Lord, his resurrection from the dead, and admirable ascension into heaven, offer unto thy most excellent Majesty of thy gifts bestowed upon us, a pure Host, a holy Host, an unspotted Host, the holy bread of eternal life, and chalice of everlasting salvation.	Right-margin dropout in `salvation`, which prints `salva.ion`; read against the facing Latin `Calicem salutis perpetuae`.
20	supra-quae	canon	prayer	priest	xxxvi-xxxvii	46-47	Supra quae propitio ac sereno vultu	Upon which vouchsafe to look, with a propitious and serene countenance, and to accept them, as thou wert graciously pleased to accept the gifts of thy just servant Abel, and the sacrifice of our Patriarch Abraham, and that which thy High Priest Melchisedech offered to thee, a holy sacrifice and unspotted victim.	Runs over the page break at xxxvi/xxxvii.
21	supplices	canon	prayer	priest	xxxvii-xxxviii	47-48	Supplices te rogamus	We most humbly beseech thee, Almighty God, command these things to be carried by the hands of thy holy angels to thy altar on high, in the sight of thy divine Majesty, that as many as shall partake of the most sacred body and blood of thy Son at this altar, may be filled with every heavenly grace and blessing. Thro' the same Christ our Lord. Amen.	Runs over the page break at xxxvii/xxxviii. The conclusion renders `Per eumdem Christum` as `Thro' the same Christ`; the 2002 Prex eucharistica I drops `eundem` and parenthesises the whole conclusion.
22	commemoratio-defunctorum-heading	canon	heading		xxxviii	48		COMMEMORATION OF THE DEAD.	Set in small capitals across the full measure.
23	memento-etiam	canon	prayer	priest	xxxviii	48	Memento etiam, Domine	Be mindful, O Lord, of thy servants N. and N. who are gone before us with the sign of Faith, and rest in the sleep of peace.	
24	rubrica-mentio-defunctorum	canon	rubric		xxxviii	48		Here particular mention is silently made of such of the Dead as are to be prayed for.	Italic, set across the full measure and turned over two lines.
25	ipsis-domine	canon	prayer	priest	xxxviii	48	Ipsis, Domine, et omnibus in Christo	To these, O Lord, and to all that sleep in Christ grant, we beseech thee, a place of refreshment, light, and peace: through the same Christ our Lord. Amen.	Runs over the page break at xxxviii; the catchword `D` stands at the foot of xxxvii and the signature `D 2` at the foot of xxxix. The conclusion is set out in full and in lower case, `through`, where the same book abbreviates elsewhere.
26	rubrica-percussio-pectoris	canon	rubric		xxxviii	48		Here striking his Breast, the Priest says,	Italic, set across the full measure.
