seq	element_key	part	printed_page	ia_leaf	latin	notes
2	te-igitur	canon	xxxiii	43	TE igitur, clementissime Pater, per Jesum Christum Filium tuum Dominum nostrum, supplices rogamus ac petimus, uti accepta habeas, et benedicas, hæc dona, hæc munera, hæc sancta sacrificia illibata, imprimis quæ tibi offerimus pro Ecclesia tua sancta catholica: quam pacificare, custodire, adunare, et regere digneris toto orbe terrarum: una cum famulo tuo Papa nostro N. et Antistite nostro N.	Two-line drop T with `E` in capitals, given here as TE. The book prints NO cross signs in this Latin column: the three the Roman rite marks over `hæc dona, hæc munera, hæc sancta sacrificia` are absent from both columns of this printing. `imprimis` here with m, against `inprimis` with n at seq 8; both are transcribed as printed.
3	te-igitur-cultoribus	canon	xxxiii	43	et omnibus Orthodoxis, atque Catholicæ et Apostolicæ Fidei Cultoribus.	A separate printed block, opening lower-case, as the sibling English row does.
5	memento-domine	canon	xxxiii	43	Memento Domine famulorum famularumque tuarum N. et N.	The book prints no comma after `Memento`.
7	et-omnium-circumstantium	canon	xxxiii-xxxiv	43-44	Et omnium circumstantium, quorum tibi fides cognita est, et nota devotio, pro quibus tibi offerimus: vel qui tibi offerunt hoc sacrificium laudis, pro se, suisque omnibus: pro redemptione animarum suarum, pro spe salutis et incolumitatis suæ: tibique reddunt vota sua æterno Deo, vivo et vero.	Runs over the page break xxxiii/xxxiv, breaking at `pro redemp-` / `tione`.
8	communicantes	canon	xxxiv	44	COMMUNICANTES, et memoriam venerantes, inprimis gloriosæ semper Virginis Mariæ, Genitricis Dei et Domini nostri Jesu Christi: sed et beatorum Apostolorum ac Martyrum tuorum, Petri et Pauli, Andreæ Jacobi, Joannis, Thomæ, Jacobi, Philippi, Bartholomæi, Matthæi, Simonis et Thadæi: Lini, Cleti, Clementis, Xysti, Cornelii, Cypriani, Laurentii, Chrysogoni, Joannis et Pauli, Cosmæ et Damiani, et omnium Sanctorum tuorum: quorum meritis precibusque concedas, ut in omnibus protectionis tuæ muniamur auxilio. Per eumdem Christum Dominum nostrum. Amen.	DIFFERS FROM 1962 PRACTICE: this Canon has NO clause naming Saint Joseph. The list passes straight from `Jesu Christi` to `sed et beatorum Apostolorum`, the clause `sed et beati Joseph, ejusdem Virginis Sponsi` having been inserted into the Canon by later legislation, after this printing and after the 1962 typical edition itself was declared; what is being said here is that the text differs from 1962 practice, not that it differs from the 1962 book, and no dated decree is asserted from this witness. `COMMUNICANTES` is set in small capitals and given here in capitals. The book prints `inprimis` with n here and `imprimis` with m at seq 2; `Thadæi` is its spelling; and no comma follows `Andreæ`, which stands at a line end.
10	hanc-igitur	canon	xxxiv-xxxv	44-45	Hanc igitur oblationem servitutis nostræ, sed et cunctæ familiæ tuæ, quæsumus Domine, ut placatus accipias: diesque nostros in tua pace disponas, atque ab æterna damnatione nos eripi, et in Electorum tuorum jubeas grege numerari. Per Christum Dominum nostrum. — Amen.	`Hanc igitur` is set in italic, the rest in roman. Runs over the page break xxxiv/xxxv, breaking at `ut placatus accipias:` / `diesque`. An em rule stands between `nostrum.` and `Amen.`, as printed. `Amen.` italic.
11	quam-oblationem	canon	xxxv	45	Quam oblationem tu Deus in omnibus, quæsumus benedictam, adscriptam, ratam, rationabilem, acceptabilemque facere digneris; ut nobis Corpus et Sanguis fiat dilectissimi Filii tui Domini nostri Jesu Christi.	The book prints no comma after `tu` in `Quam oblationem tu Deus`, and no cross signs over the five adjectives, which the Roman rite marks. `adscriptam` with d, as printed.
12	qui-pridie	canon	xxxv	45	Qui pridie quam pateretur, accepit panem in sanctas ac venerabiles manus suas, et elevatis oculis in cœlum, ad te Deum Patrem suum omnipotentem: tibi gratias agens, benedixit, fregit, deditque discipulis suis dicens: Accipite et manducate ex hoc omnes,	Ends with a comma, the consecratory form following in the same paragraph as a separate block. `Accipite et manducate ex hoc omnes,` is NOT set in small capitals in the Latin column, where the corresponding English is; the Latin's capitals begin at the form itself. `cœlum` with the oe-ligature.
13	forma-corporis	canon	xxxv	45	HOC EST ENIM CORPUS MEUM.	Set in small capitals in the Latin column and given here in capitals, as the sibling English row gives its own. The printing adds nothing after `MEUM.`: there is no counterpart to the postconciliar `quod pro vobis tradetur`.
15	simili-modo	canon	xxxv-xxxvi	45-46	Simili modo postquam cœnatum est, accipiens et hunc præclarum calicem in sanctas ac venerabiles manus suas, item tibi gratias agens benedixit, deditque discipulis suis dicens:	Runs over the page break xxxv/xxxvi, breaking at `in sanctas ac venerabiles` / `manus suas`. `cœnatum` with the oe-ligature. The block ends at `dicens:`, the small capitals of the form beginning with `ACCIPITE` in the next block.
