mass	form_id	proper	latin_incipit	printed_page	ia_leaf_range	pdf_artifact_page_range	english
commune-dedicationis-ecclesiae	main	Gradual	Locus iste a Deo factus est	505	513-513	514-514	This place was made by God, a mystery above all value: it is without reproof. V. O God, on whom choirs of angels attend, hear the prayers of thy servants.
commune-festorum-bmv	main	Gradual	Benedicta et venerabilis es, Virgo Maria	507	515-515	516-516	Thou art blessed, and worthy of our respects, O Mary, the Virgin, who, without prejudice to thy virginity, didst become the mother of the Saviour. V. O Virgin-mother of God! he whom the whole world cannot contain, became man, and was shut up in thy womb.
commune-festorum-bmv	main	Alleluia	Post partum, Virgo	510	518-518	519-519	After child-birth thou remainedst still a pure Virgin: O Mother of God, intercede for us. Alleluia.
commune-festorum-bmv	main	Tract	Gaude, Maria Virgo	510	518-518	519-519	Rejoice, O Virgin Mary, thou alone hast destroyed all heresies. V. Who didst believe the words of Gabriel the archangel. V. Whilst a Virgin, thou didst bring forth him that was God and man; and after child-birth didst remain a pure Virgin. V. O Mother of God, intercede for us.
commune-virginum-4	main	Alleluia	Haec est virgo sapiens	500	508-508	509-509	This is a wise virgin, and one of the number of the prudent. Alleluia.
missa-de-s-maria-in-sabbato-2	main	Offertory	Felix namque es	508	516-516	517-517	Thou art truly happy, O sacred Virgin Mary, and most worthy of praise: for out of thee arose the Sun of righteousness, Christ our God.
missa-de-s-maria-in-sabbato-2	main	Communion	Beata viscera Mariae Virginis	509	517-517	518-518	Blessed is the womb of Mary, the Virgin which bore the Son of the eternal Father.
missa-de-s-maria-in-sabbato-3	main	Introit	Salve, sancta parens	507	515-515	516-516	Hail, Holy Mother, who didst bring forth the King who reigns over heaven and earth forevermore.
missa-de-s-maria-in-sabbato-3	main	Alleluia	Virga Iesse floruit	507-508	515-516	516-517	A sucker of Jesse hath budded: a Virgin hath brought forth him, who is God and man: God hath restored peace by reconciling in his person the highest things with the lowest. Alleluia.
missa-de-s-maria-in-sabbato-4	main	Offertory	Beata es, Virgo Maria	508	516-516	517-517	Blessed art thou, O Virgin Mary, who didst bear the Creator of all things: thou didst bring forth him, who made thee, and remainest a Virgin for ever. Alleluia.
