seq	element_key	part	kind	speaker	printed_page	ia_leaf	latin_incipit	english	notes
1	oremus-ante-pater-noster	communio	dialogue	priest	xxxix	49	Oremus	Let us pray.	Italic and centred in both columns, on the line immediately after the `Per omnia saecula saeculorum / R. Amen` versicle that closes the Canon. No response printed. Entered as kind dialogue for want of a closer value, following the same treatment given `Oremus` before the Offertory.
2	praeceptis-salutaribus	communio	prayer	priest	xxxix	49	Præceptis salutaribus moniti	BEing instructed by thy saving precepts, and following thy divine directions, we presume to say:	Two-line drop B, the rest of the first word set `Eing`; the facing Latin has the matching two-line drop P with `Ræceptis`. Transcribed as the page prints it.
3	pater-noster	communio	prayer	priest	xxxix	49	Pater noster, qui es in cœlis	Our Father, who art in heaven, hallowed be thy name: thy kingdom come: thy will be done on earth, as it is in heaven: give us this day our daily bread; and forgive us our trespasses, as we forgive them that trespass against us. And lead us not into temptation: R. But deliver us from evil. P. Amen.	Set as one block in both columns with the response embedded, exactly as given here; `Amen.` is italic in both columns. The facing Latin prints `panem nostrum quotidianum da nobis hodie` — QUOTIDIANUM with a `qu`, read at 1600 dpi and unambiguous; not `cotidianum`. The Latin also prints `dimittimus` and `tentationem`. Right margin sound on this leaf; no repairs needed.
4	libera-nos	communio	prayer	priest	xxxix-xl	49-50	Libera nos, quæsumus, Domine	Deliver us, we beseech thee, O Lord, from all evils, past, present, and to come; and by the intercession of the blessed and ever glorious Virgin Mary Mother of God, and of the holy apostles Peter and Paul, and of Andrew, and of all the saints, mercifully grant peace in our days: that thro' the assistance of thy mercy, we may be always free from sin, and secure from all disturbance. Through the same Jesus Christ, thy Son our Lord, who with thee and the Holy Ghost liveth and reigneth, God.	Runs over the page break at xxxix/xl, breaking within `disturb-ance`. `thro'` is the book's own contraction here while `Through` is set out in full four words later. No comma after `Mary`. This printing names only Peter, Paul and Andrew, and has no `and of all thy saints` clause beyond `and of all the saints`. Scan damage at the right margin of xl: the `t` of `Ghost` is blotted into the `s`, and the `d` of the closing `God` has lost the right of its bowl, leaving `Go` + ascender + full stop; both read at 1600 dpi against the facing Latin `Spiritus Sancti, Deus.` The book prints no cross sign in either column.
5	per-omnia-saecula-post-libera-nos	communio	dialogue	priest	xl	50	P. Per omnia sæcula sæculorum	P. World without end. R. Amen.	`Amen.` italic in both columns. Note that the identical Latin versicle at the head of xxxix is Englished `P. For ever and ever.` — the same formula is rendered two different ways eleven lines apart.
6	pax-domini	communio	dialogue	priest	xl	50	P. Pax Domini sit semper vobiscum	P. May the peace of the Lord be always with you. R. And with thy spirit.	One block. The Latin column leaves a blank line before `R. Et cum spiritu tuo.` so that the response lines up with the third line of the English; the English sets the response immediately after `you.` The terminal `t` of `spirit.` is blotted into the stop but legible at 1600 dpi.
7	rubrica-commixtio	communio	rubric		xl	50		Breaking the Host, he puts a Particle thereof into the Chalice saying, May this mixture, and consecration of the body and blood of our Lord Jesus Christ, be to us that receive it effectual to eternal life. Amen.	Set across the full measure, so there is no facing Latin at all: this printing gives the commixture prayer (Haec commixtio) in English only, embedded in its rubric. `Breaking the Host, he puts a Particle thereof into the Chalice saying,` and the closing `Amen.` are italic; the prayer between them is roman. Entered as kind rubric because the block opens and is governed as one; the roman part is the priest's prayer.
8	rubrica-agnus-dei	communio	rubric		xl	50		Then bowing and striking his Breast, he says:	Italic, centred on its own line across the full measure. Ends with a colon.
9	agnus-dei	communio	prayer	priest	xl	50	Agnus Dei, qui tollis peccata mundi	Lamb of God, who takest away the sins of the world, * have mercy upon us, * have mercy upon us, * give us peace.	Three asterisks, marking where the invocation is resumed. The Latin column sets them at the head of three separate short lines (`* miserere nobis,` twice, then `* dona nobis pacem.`); the English runs them inline. The third petition reads exactly `* give us peace.` — not `grant us peace`.
10	rubrica-agnus-dei-in-missis-defunctorum	communio	rubric		xl	50		In Masses for the DEAD he says twice, Give them rest; and lastly, * Give them eternal rest.	Full measure, turned over two lines. `DEAD` is set in small capitals; the small-capital run is that word only. Italic for `In Masses for the`, `he says twice,` and `and lastly,`; the quoted responses `Give them rest;` and `* Give them eternal rest.` are roman.
11	rubrica-oratio-omittenda	communio	rubric		xl	50		The following Prayer is then also omitted.	Italic, centred on its own line across the full measure. `Prayer` capitalised.
12	domine-jesu-christe-qui-dixisti	communio	prayer	priest	xl-xli	50-51	Domine Jesu Christe, qui dixisti	Lord Jesus Christ, who saidst to thy apostles, I leave you peace, I give you my peace, regard not my sins, but the faith of thy church; and grant her that peace and unity which is agreeable to thy will: who livest and reignest for ever and ever. Amen.	Runs over the page break at xl/xli. The English conclusion has no counterpart to the Latin's `Deus`: the Latin closes `qui vivis et regnas Deus, per omnia saecula saeculorum. Amen.` Heavy right-margin ink loss on xl, all read at 1600 dpi against the facing Latin: `who` prints with the ascender of its `h` eaten (`wr o`), read against `qui dixisti`; the `I` of `apostles, I` has lost its upper serif and stands as a bare stroke, read against `pacem relinquo vobis`; the `d` of `regard` has lost its bowl, read against `ne respicias peccata mea`. `church` is lower case in the book. The Latin column prints `.untatem` for `voluntatem`, its `vol-` having been broken across the line as `vo-`. On the carry-over line at the head of xli the `r` of `for ever` has lost its shoulder and prints as `foi`; mid-line, not at the margin, read at 1600 dpi against the Latin `per omnia saecula saeculorum`.
13	domine-jesu-christe-fili-dei-vivi	communio	prayer	priest	xli	51	Domine Jesu Christe, Fili Dei vivi	Lord Jesus Christ, Son of the living God, who, according to the will of thy Father, hast by thy death, thro' the co-operation of the Holy Ghost, given life to the world, deliver me by this thy most sacred body and blood from all my iniquities, and from all evils; and make me always adhere to thy commandments, and never suffer me to be separated from thee: who livest and reignest with God the Father, &c. Amen.	`co-operation` is broken as `co-ope-` / `ration`; the word's own hyphen is the one kept here. The conclusion is abbreviated `&c.` in the English while the Latin sets it out in full to `in saecula saeculorum`. No rubric separates this prayer from the one before it or from the one after.
14	perceptio-corporis-tui	communio	prayer	priest	xli	51	Perceptio corporis tui, Domine	Let not the participation of thy body, O Lord Jesus Christ, which I, though unworthy, presume to receive, turn to my judgment and condemnation, but thro' thy mercy, may it be a safeguard and remedy, both to soul and body; who with God the Father, in the unity of the Holy Ghost, livest and reignest God for ever and ever. Amen.	The book sets a full space before the comma in `condemnation , but`; normalised here and noted, as elsewhere in this artifact. `safeguard` is broken `safe-` / `guard`. `judgment` without the medial `e`.
15	rubrica-panem-coelestem	communio	rubric		xli	51		Taking the Host in his Hands, he says,	Italic, centred on its own line across the full measure, at the foot of xli.
16	panem-coelestem	communio	prayer	priest	xli-xlii	51-52	Panem cœlestem accipiam	I will take the bread of heaven, and call upon the name of our Lord.	Runs over the page break at xli/xlii, the Latin breaking within `ac-cipiam`. The English says `our Lord` where the Latin has `nomen Domini`.
17	rubrica-domine-non-sum-dignus	communio	rubric		xlii	52		Striking his Breast, with Humility and Devotion, he says thrice,	Italic, full measure, turned over two lines. This is the book's own statement that the following prayer is said three times; it prints the prayer once only.
