seq	element_key	part	printed_page	ia_leaf	latin	notes
1	oremus-ante-pater-noster	communio	xxxix	49	Oremus.	Italic and centred in both columns, standing between the close of the Canon and the Pater noster.
2	praeceptis-salutaribus	communio	xxxix	49	PRæceptis salutaribus moniti, et divina institutione formati, audemus dicere:	Two-line drop P; the letters that follow are `Ræceptis`, with a capital R and the rest lower-case, and are given here as printed. `Ræ` with the ae-ligature.
3	pater-noster	communio	xxxix	49	Pater noster, qui es in cœlis, sanctificetur nomen tuum: adveniat regnum tuum: fiat voluntas tua sicut in cœlo, et in terra: panem nostrum quotidianum da nobis hodie; et dimitte nobis debita nostra, sicut et nos dimittimus debitoribus nostris: et ne nos inducas in tentationem: R. Sed libera nos a malo. P. Amen.	`cœlis` and `cœlo` with the oe-ligature. The response and the priest's `Amen.` are run into the same block, as the sibling English row runs them. `Amen.` italic.
4	libera-nos	communio	xxxix-xl	49-50	Libera nos, quæsumus, Domine, ab omnibus malis, præteritis, præsentibus et futuris; et intercedente beata et gloriosa semper Virgine Dei Genitrice Maria, cum beatis apostolis tuis Petro et Paulo, atque Andrea, et omnibus sanctis, da propitius pacem in diebus nostris: ut ope misericordiæ tuæ adjuti, et a peccato simus semper liberi, et ab omni perturbatione securi. Per eumdem Dominum nostrum Jesum Christum Filium tuum, qui tecum vivit et regnat, in unitate Spiritus Sancti, Deus.	Runs over the page break xxxix/xl, breaking at `Per` / `eumdem`. Heavy inking on the last line of xxxix damages the middle of `securi`, which is read from the surviving strokes on the leaf. No cross signs are printed in this block.
5	per-omnia-saecula-post-libera-nos	communio	xl	50	P. Per omnia sæcula sæculorum. R. Amen.	`Amen.` italic.
6	pax-domini	communio	xl	50	P. Pax Domini sit semper vobiscum. R. Et cum spiritu tuo.	The versicle and its response are separated on the page by the width of a blank line, the response standing alone; they are joined here as one block, as the sibling English row joins them. No cross signs are printed.
9	agnus-dei	communio	xl	50	Agnus Dei, qui tollis peccata mundi, * miserere nobis, * miserere nobis, * dona nobis pacem.	The Latin sets the three asterisks at the head of three separate short lines, `* miserere nobis,` twice and then `* dona nobis pacem.`, the asterisk marking where the invocation is resumed; they are run in here, as the sibling English row runs them.
12	domine-jesu-christe-qui-dixisti	communio	xl-xli	50-51	Domine Jesu Christe, qui dixisti apostolis tuis, pacem relinquo vobis, pacem meam do vobis, ne respicias peccata mea, sed fidem Ecclesiæ tuæ; eamque secundum voluntatem tuam pacificare et coadunare digneris qui vivis et regnas Deus, per omnia sæcula sæculorum. Amen.	Runs over the page break xl/xli, breaking at `digne-` / `ris`. The l of `voluntatem` is a failed sort at the line turn `vo-` / `luntatem`, printing as a raised mark; the word is given whole and the damage named here. The book prints no comma after `regnas`. `Amen.` italic.
13	domine-jesu-christe-fili-dei-vivi	communio	xli	51	Domine Jesu Christe, Fili Dei vivi, qui ex voluntate Patris, co-operante Spiritu Sancto, per mortem tuam mundum vivificasti, libera me per hoc sacro-sanctum corpus et sanguinem tuum ab omnibus iniquitatibus meis, et universis malis: et fac me tuis, semper inhærere mandatis, et a te nunquam separari permittas: qui cum eodem Deo Patre et Spiritu Sancto vivis et regnas Deus in sæcula sæculorum. Amen.	`co-operante` and `sacro-sanctum` are printed with their own hyphens. `inhærere` with the ae-ligature. `Amen.` italic.
14	perceptio-corporis-tui	communio	xli	51	Perceptio corporis tui, Domine Jesu Christe, quod ego indignus sumere præsumo, non mihi proveniat in judicium et condemnationem; sed pro tua pietate prosit mihi ad tutamentum mentis et corporis, et ad medelam percipiendam: qui vivis et regnas cum Deo Patre, in unitate Spiritus Sancti, Deus, per omnia sæcula sæculorum. Amen.	`judicium` with j. `Amen.` italic.
16	panem-coelestem	communio	xli-xlii	51-52	Panem cœlestem accipiam, et nomen Domini invocabo.	Runs over the page break xli/xlii, the Latin breaking within `ac-` / `cipiam`. `cœlestem` with the oe-ligature, against the `cælesti` of the Canon's Supplices on xxxvii; both are transcribed as printed.
18	domine-non-sum-dignus	communio	xlii	52	Domine, non sum dignus ut intres sub tectum meum; sed tantum dic verbo, et sanabitur anima mea.	Printed once, under a rubric that directs it to be said three times. There is no `Ecce Agnus Dei` and no Communion of the people anywhere on this opening, in either column.
20	corpus-domini-nostri	communio	xlii	52	Corpus Domini nostri Jesu Christi custodiat animam meam in vitam æternam. Amen.	No cross sign is printed in either column. `Amen.` italic.
22	quid-retribuam-domino	communio	xlii	52	Quid retribuam Domino pro omnibus quæ retribuit mihi? Calicem salutaris accipiam, et nomen Domini invocabo. Laudans invocabo Dominum, et ab inimicis meis salvus ero.	
24	sanguis-domini-nostri	communio	xlii	52	Sanguis Domini nostri Jesu Christi custodiat animam meam in vitam æternam. Amen.	The Latin is identical with seq 20 but for the opening word, though the facing English differs in word order between the two blocks. No cross sign is printed. `Amen.` italic.
