seq	element_key	part	printed_page	ia_leaf	latin	notes
1	quod-ore-sumpsimus	conclusio	xlii-xliii	52-53	Quod ore sumpsimus, Domine, pura mente capiamus, et de munere temporali, fiat nobis remedium sempiternum.	Runs over the page break xlii/xliii, breaking at `fiat nobis re-` / `medium`.
3	corpus-tuum-domine	conclusio	xliii	53	Corpus tuum Domine, quod sumpsi, et sanguis quem potavi, adhæreat visceribus meis; et præsta ut in me non remaneat scelerum macula, quem pura et sancta refecerunt sacramenta. Qui vivis et regnas in sæcula sæculorum. Amen.	`adhæreat` and `præsta` with the ae-ligature. `Amen.` italic.
5	dominus-vobiscum-ante-postcommunionem	conclusio	xliii	53	Dominus vobiscum. R. Et cum spiritu tuo. Oremus.	Three lines set as one block in both columns; only the response carries `R.`, the priest's parts being unmarked. `Oremus.` is centred on its own line within the same block and is italic.
12	dominus-vobiscum-ite-missa-est	conclusio	xliv	54	Dominus vobiscum. R. Et cum spiritu tuo. Ite missa est (vel) Benedicamus Domino. R. Deo gratias.	The book sets the greeting and the dismissal as ONE block with no break, and prints no rubric governing the choice between `Ite missa est` and `Benedicamus Domino`; the parenthesis `(vel)` is its own. The regime of the Ite and the Benedicamus is not that of the 1960 code, which the inventory's advisory already carries.
14	requiescant-in-pace	conclusio	xliv	54	P. Requiescant in pace. R. Amen.	Both columns print `P.` and `R.` here, unlike the two preceding dialogues. `Amen.` italic.
16	placeat-tibi-sancta-trinitas	conclusio	xliv	54	Placeat tibi sancta Trinitas, obsequium servitutis meæ; et præsta, ut sacrificium quod oculis tuæ Majestatis indignus obtuli, tibi sit acceptabile, mihique, et omnibus pro quibus illud obtuli, sit te miserante, propitiabile. Per Christum Dominum nostrum. Amen.	The book prints a comma after `Trinitas` which the received text does not carry, and is transcribed as printed. `meæ` with the ae-ligature. `Amen.` italic.
19	initium-sancti-evangelii	conclusio	xliv-xlv	54-55	P. Dominus vobiscum. R. Et cum spiritu tuo. P. Initium sancti Evangelii, secundum Joannem. R. Gloria tibi, Domine.	Runs over the page break xliv/xlv, breaking at `sancti Evange-` / `lii`. A comma stands after `Evangelii`. The book prints no rubric for signing the book, the forehead, the lips or the breast, and no cross glyph.
20	in-principio-erat-verbum	conclusio	xlv	55	IN principio erat Verbum, et Verbum erat apud Deum: et Deus erat Verbum: hoc erat in principio apud Deum. Omnia per ipsum facta sunt, et sine ipso factum est nihil, quod factum est: in ipso vita erat, et vita erat lux hominum: et lux in tenebris lucet, et tenebræ eam non comprehenderunt.	Two-line drop I with `N` an ordinary capital, given here as IN. `tenebræ` with the ae-ligature.
21	fuit-homo-missus-a-deo	conclusio	xlv	55	Fuit homo missus a Deo, cui nomen erat Joannes. Hic venit in testimonium, ut testimonium perhiberet de lumine, ut omnes crederent per illum. Non erat ille lux; sed ut testimonium perhiberet de lumine. Erat lux vera quæ illuminat omnem hominem venientem in hunc mundum.	`Joannes` with J. `quæ` with the ae-ligature.
22	in-mundo-erat	conclusio	xlv-xlvi	55-56	In mundo erat, et mundus per ipsum factus est, et mundus eum non cognovit. In propria venit, et sui eum non receperunt. Quotquot autem receperunt eum, dedit eis potestatem filios Dei fieri: his qui credunt in nomine ejus, qui non ex sanguinibus, neque ex voluntate carnis, neque ex voluntate viri, sed ex Deo nati sunt: Et VERBUM CARO FACTUM EST, et habitavit in nobis; et vidimus gloriam ejus, gloriam quasi unigeniti a Patre, plenum gratiæ et veritatis.	Runs over the page break xlv/xlvi, breaking at `potestatem filios` / `Dei fieri`. `VERBUM CARO FACTUM EST` is set in small capitals in the Latin column and given here in capitals; `Et` before it stands in ordinary roman. The book prints no rubric for genuflecting there.
23	deo-gratias	conclusio	xlvi	56	R. Deo gratias.	The last thing printed above the rule that closes the Ordinary; set as its own block after a blank line. Immediately below it a thick-and-thin double rule runs across the full measure, and xlvi is blank below it to the foot of the page: this witness prints nothing after the Last Gospel, no Leonine prayers among the rest, and the 1962 Ordo Missae likewise ends here.
