seq	element_key	part	kind	speaker	printed_page	ia_leaf	latin_incipit	english	notes
1	rubrica-post-collectam	oblatio	rubric		xx	30		After the COLLECT (which may be found in its proper place) the following is the second Collect from Candlemas day to Passion Sunday, and from the III. Sunday after Pentecost till Advent, except on Doubles or within Octaves; the third is at the choice of the Priest, and may be found amongst the Occasional Prayers, page	Opens with a printed pointing-hand ornament (manicule) which the English column itself does not reproduce as text. Set in italic with roman for the emphasised words; COLLECT is small capitals. IMPORTANT: printed page xx carries NO facing Latin column at all - the whole page is set to the full measure in English only - so latin_incipit is empty for every block on xx. The rubric ends with the bare word `page` and no number: the cross-reference was never set in type. Right-margin ink loss: `from` prints as `f.om` (the r has lost its arm) and `except` as `ex.ept` (the c has lost its bowl); both read at 1600 dpi and controlled against the parallel rubric on xxvii, which prints the same clause whole.
2	a-cunctis	oblatio	prayer	priest	xx	30		II. COLLECT. A cunctis. Preserve us, O Lord, we beseech thee, from all dangers of body and soul: and by the intercession of glorious and blessed Mary, the ever Virgin Mother of God, of the blessed apostles Peter and Paul, of blessed N. and of all the saints, grant us, in thy mercy, health, and peace that all adversities and errors being removed, thy Church may serve thee with a pure and undisturbed devotion. Through.	NOT IN THE 1962 ORDO MISSAE: the 1962 Ordo prints no collect text at all, and the seasonal second-collect regime this block belongs to (Candlemas to Passion Sunday, III Sunday after Pentecost to Advent, except on Doubles and within Octaves) was abolished by the 1960 code of rubrics. The block carries its own printed label `II. COLLECT.` in roman capitals followed by the Latin incipit tag `A cunctis` in italic; the element key is taken from that tag, no facing Latin column being printed. The book sets NO comma after `peace`: the terminal e of `peace` is undamaged at 1600 dpi, so the omission is the printing's own and not scan loss. Conclusion abbreviated to `Through.`
3	rubrica-collecta-concede	oblatio	rubric		xx	30		From Low Sunday inclusively till the Ascension, instead of the foregoing, is said the COLLECT, Concede; with its corresponding Secret and P. Com. as in the Votive Mass, SALVE, of the B. V. M. page 507.	NOT IN THE 1962 ORDO MISSAE: a seasonal substitution rule for the second collect, which the 1962 Ordo does not carry. Italic with roman for the emphasised words; COLLECT in full capitals, SALVE in small capitals. `P. Com.` (Post Communion): the m has lost its right arch and prints as `Coni.`; read at 1600 dpi, where no i-dot stands over the last stroke, so the letter is a broken m.
4	rubrica-epistola	oblatio	rubric		xx	30		After the Collect or Collects, the EPISTLE is read. At the end whereof the Assistants answer Deo gratias; then follows the GRADUAL or the TRACT, either of which may be seen in their proper places.	Italic, turned over four lines to the full measure. EPISTLE, GRADUAL and TRACT are set in small capitals. `Deo gratias` is in roman. The book prints no text of Epistle, Gradual or Tract here.
5	rubrica-munda-cor-meum	oblatio	rubric		xx	30		The Prayer, Munda cor meum, before the Gospel.	Italic, with the Latin incipit `Munda cor meum` in roman. It does the work of a heading but is set as an indented italic rubric line like the others on this page, so kind is rubric rather than heading.
6	munda-cor-meum	oblatio	prayer	priest	xx	30		CLEANSE my heart and my lips, O Almighty God, who didst cleanse the lips of the prophet Isaiah with a burning coal: and vouchsafe, through thy gracious mercy, so to purify me, that I may worthily attend to thy holy Gospel. Through Christ our Lord. Amen.	Two-line drop capital C, the following LEANSE in small capitals, transcribed here as ordinary capitals. `Amen` in italic. No Latin is printed for this prayer.
7	dominus-sit-in-corde-meo	oblatio	prayer	priest	xx	30		May the Lord be in my heart, and on my lips, that I may worthily, and in a becoming manner attend to his holy Gospel. Amen.	DIFFERS FROM THE 1962 ORDO MISSAE: this printing gives the blessing formula `Dominus sit in corde meo` alone and omits the petition `Jube, Domine, benedicere` that precedes it in the Ordo Missae. The element key is taken from the received Latin incipit, which this page does not print. `Amen` in italic.
8	dominus-vobiscum-ante-evangelium	oblatio	dialogue	priest	xxi	31	P. Dominus vobiscum	P. The Lord be with you. R. And with thy spirit. P. The continuation (or the beginning) of the holy Gospel according to, &c. R. Glory be to thee, O Lord.	Facing Latin and English columns resume at the head of xxi. One printed block containing both P. and R.; speaker given as priest on the precedent of the Canon file. Right-margin ink loss on this leaf: `holy` prints as `ho ly`, the l reduced to a fragment, and the final `&c.` has lost the bowl of its c; both read at 1600 dpi and controlled against the facing Latin `P. Sequentia (vel initium) sancti Evangelii secundum, &c.`
9	rubrica-evangelium-proprium	oblatio	rubric		xxi	31		The Gospel may be seen in its proper place.	Italic across the full measure, with `Gospel` in roman. The book prints no Gospel text here.
10	rubrica-post-evangelium	oblatio	rubric		xxi	31		At the end of the Gospel, the Assistants answer,	Italic across the full measure, with `Gospel` in roman.
11	laus-tibi-christe	oblatio	dialogue	server	xxi	31	R. Laus tibi, Christe	R. Praise be to thee, O Christ.	Set in the facing columns, the Latin occupying one line and the English two.
12	rubrica-cum-sacerdote	oblatio	rubric		xxi	31		Then they say with the Priest, in a low voice,	Italic across the full measure, with `Priest` in roman. DIFFERS FROM THE 1962 ORDO MISSAE: there the words that follow are the priest's own, said silently while he kisses the book; here the assistants are directed to say them with him.
