seq	element_key	part	printed_page	ia_leaf	latin	notes
8	dominus-vobiscum-ante-evangelium	oblatio	xxi	31	P. Dominus vobiscum. R. Et cum spiritu tuo. P. Sequentia (vel initium) sancti Evangelii secundum, &c. R. Gloria tibi Domine.	Facing Latin and English columns resume at the head of xxi after the full-measure English of xx. One printed block containing the greeting and the announcement of the Gospel; the Latin abbreviates the evangelist's name by `&c.` as the English does.
11	laus-tibi-christe	oblatio	xxi	31	R. Laus tibi, Christe.	The Latin occupies one line where the English takes two.
15	credo-in-unum-deum	oblatio	xxi	31	CREDO in unum Deum Patrem omnipotentem, factorem cœli et terræ, visibilium omnium et invisibilium.	Two-line drop C with `REDO` in capitals, given here as CREDO. The book prints no speaker for the Creed. `cœli` with the oe-ligature and `terræ` with the ae-ligature.
16	et-in-unum-dominum	oblatio	xxi-xxii	31-32	Et in unum Dominum Jesum Christum, Filium Dei unigenitum, et ex Patre natum ante omnia sæcula. Deum de Deo: Lumen de Lumine; Deum verum de Deo vero; genitum non factum; consubstantialem Patri, per quem omnia facta sunt. Qui propter nos homines, et propter nostram salutem descendit de cœlis. Et incarnatus est de Spiritu Sancto, ex Maria Virgine: ET HOMO FACTUS EST*. Crucifixus etiam pro nobis sub Pontio Pilato, passus et sepultus est. Et resurrexit tertia die secundum Scripturas. Et ascendit in cœlum, sedet ad dexteram Patris. Et iterum venturus est cum gloria judicare vivos et mortuos; cujus regni non erit finis.	Runs over the page break xxi/xxii, breaking in the Latin at `ex Maria Vir-` / `gine`. `ET HOMO FACTUS EST` is set in full capitals, matching the English column; the asterisk after it is the book's own and keys the footnote at the foot of xxii. Heavy inking at the head of xxii fills the s and e of `sepultus`, which is read from the surviving strokes and not repaired from any other book.
17	et-in-spiritum-sanctum	oblatio	xxii	32	Et in Spiritum Sanctum, Dominum et vivificantem, qui ex Patre Filioque procedit: qui cum Patre et Filio simul adoratur, et conglorificatur; qui locutus est per prophetas. Et unam sanctam Catholicam et Apostolicam Ecclesiam. Confiteor unum Baptisma in remissionem peccatorum. Et expecto resurrectionem mortuorum, et vitam venturi sæculi. Amen.	This printing carries the Filioque: `qui ex Patre Filioque procedit`. It prints `Et expecto`, with expecto and not exspecto, the word standing whole and unbroken on its own line. `sæculi` with the ae-ligature. `Amen.` italic.
18	dominus-vobiscum-ante-offertorium	oblatio	xxii	32	P. Dominus vobiscum. R. Et cum spiritu tuo.	Set in the facing columns immediately after the Creed. The `Oremus` that completes this greeting is carried over to the head of xxiii and is entered separately at seq 20.
20	oremus-ante-offertorium	oblatio	xxiii	33	Oremus.	Italic in both columns, set as the first line of xxiii. No response is printed; the block completes the greeting at the foot of xxii.
23	suscipe-sancte-pater	oblatio	xxiii	33	Suscipe, sancte Pater, omnipotens æterne Deus, hanc immaculatam Hostiam, quam ego indignus famulus tuus offero tibi Deo meo vivo et vero, pro innumerabilibus peccatis, offensionibus et negligentiis meis, et pro omnibus circumstantibus; sed et pro omnibus fidelibus Christianis, vivis atque defunctis; ut mihi et illis proficiat ad salutem in vitam æternam. Amen.	`æterne`, `æternam` with the ae-ligature. `Hostiam` capitalised as printed. `Amen.` italic.
25	deus-qui-humanae-substantiae	oblatio	xxiii	33	Deus qui humanæ substantiæ dignitatem mirabiliter condidisti, et mirabilius reformasti; da nobis per hujus Aquæ et Vini Mysterium, ejus divinitatis esse consortes, qui humanitatis nostræ fieri dignatus est particeps, Jesus Christus Filius tuus Dominus noster: qui tecum vivit et regnat in unitate Spiritus sancti Deus; per omnia sæcula sæculorum. Amen.	`Aquæ`, `Vini` and `Mysterium` capitalised as printed; `sancti` lower-case in `Spiritus sancti Deus`. `hujus`, `ejus` with j. `Amen.` italic.
27	offerimus-tibi-domine	oblatio	xxiv	34	Offerimus tibi, Domine, calicem, salutaris, tuam deprecantes clementiam: ut in conspectu divinæ Majestatis tuæ, pro nostra et totius mundi salute cum odore suavitatis ascendat. Amen.	The Latin column prints a comma after `calicem` which the received text does not carry, and it is transcribed as printed. The u of `tuam` is a failed sort, printing as a raised mark between t and am; the word is given whole and the damage named here rather than repaired from another book. `Amen.` italic.
29	in-spiritu-humilitatis	oblatio	xxiv	34	In spiritu humilitatis, et in animo contrito suscipiamur a te, Domine: et sic fiat sacrificium nostrum in conspectu tuo nodie, ut placeat tibi, Domine Deus.	The Latin column misprints `nodie` for `hodie`: the letter is an n, with no ascender, read at 200 per cent magnification against the h of `hoc` on the same page. Transcribed as printed and not corrected.
31	veni-sanctificator	oblatio	xxiv	34	Veni, sanctificator, omnipotens æterne Deus, et benedic hoc sacrificium tuo sancto nomini præparatum.	`æterne` and `præparatum` with the ae-ligature. No cross glyph is printed in this Latin block.
