seq	element_key	part	kind	speaker	printed_page	ia_leaf	latin_incipit	english	notes
1	ordinarium-missae-heading	praeparatio	heading		xv	25		THE ORDINARY OF THE MASS.	Section head, set across the full measure above both columns in letterspaced roman capitals (not small capitals) on two lines, `THE ORDINARY` / `OF THE MASS.`, with a short centred rule beneath. The running head on every following page of this lane is `THE ORDINARY` (verso) / `OF THE MASS.` (recto), in small capitals.
2	rubrica-sacerdos-ad-pedes-altaris	praeparatio	rubric		xv	25		The Priest at the Foot of the Altar, beginning, saith,	Italic, set across the full measure above both columns, so it has no facing Latin counterpart. Ends with a comma, not a full stop.
3	in-nomine-patris	praeparatio	prayer	priest	xv	25	In Nomine Patris, et Filii	IN the Name of the Father, and of the Son, and of the Holy Ghost. Amen.	Two-line drop I in both columns; the following `N` is an ordinary capital. `Amen.` italic. The Latin column prints a cross between `Patris,` and `et Filii`; the English column prints no cross.
4	introibo-ad-altare-dei	praeparatio	dialogue	priest	xv	25	Introibo ad altare Dei	Anth. I will go unto the Altar of God. R. To God, who rejoiceth my youth.	The Latin marks the antiphon `Ant.`, the English `Anth.`, both italic; the two are separate paragraphs, joined here as one versicle-and-response block. Read at 1600 dpi: this first occurrence prints a comma after `God` and reads `rejoiceth`, NOT `giveth joy`. `Altar` capitalised here, lower-case `altar` at the repetition on xvi.
5	psalmus-xlii-heading	praeparatio	heading		xv	25		Psalm xlii.	Set across the full measure above both columns; `Psalm` italic, `xlii.` roman. The book numbers the psalm xlii (Vulgate), as the 1962 typical edition does.
6	judica-me-deus	praeparatio	dialogue	priest	xv	25	Judica me Deus, et discerne	JUDGE me O God, and distinguish my cause from the nation that is not holy: deliver me from the unjust and deceitful man. R. For thou art God my strength, why hast thou cast me off? and why do I go sorrowful whilst the enemy afflicteth me?	Two-line drop J in both columns; `UDGE` (and Latin `UDICA`) set in capitals. The opening verse carries no `P.` marker, the response does. The Latin prints `Judica`, with J, and `erue`, not `eripe`. Right-margin ink loss on this leaf costs the hyphens of `sorrow-ful` and `af-flicteth`; both read against the facing Latin `tristis incedo` and `affligit me`.
7	emitte-lucem-tuam	praeparatio	dialogue	priest	xv-xvi	25-26	Emitte lucem tuam, et veritatem	P. Send forth thy light and thy truth: they have conducted me, and brought me unto the holy Hill, and into thy Tabernacles. R. And I will go unto the Altar of God: to God who giveth joy to my youth.	Runs over the page break at xv/xvi: the response breaks after `God: to`, and `God who giveth joy to my youth.` opens xvi. THIS is the block that reads `giveth joy`; the antiphon itself reads `rejoiceth` in both its occurrences. `Hill` and `Tabernacles` capitalised. Right-margin ink loss at the foot of xv: the hyphen of `Ta-bernacles` survives only as a dot, and `unto` and `to` each lose their final `o`; all three read against the facing Latin `Tabernacula tua` and `ad Deum qui`.
8	confitebor-tibi-in-cithara	praeparatio	dialogue	priest	xvi	26	Confitebor tibi in cithara Deus	P. To thee, O God, my God I will give praise upon the harp: why art thou sad, O my soul; and why dost thou disquiet me? R. Hope in God, for I will still give praise to him, the salvation of my countenance and my God.	The book prints a semicolon, not a comma, after `O my soul`. The Latin sets `Deus Deus meus` without a comma between.
9	gloria-patri	praeparatio	dialogue	priest	xvi	26	Gloria Patri, et Filio	P. Glory be to the Father, and to, &c. R. As it was in the beginning, is now, and ever shall be, world without end. Amen.	The English abbreviates the first half of the doxology to `and to, &c.` while the facing Latin sets `Gloria Patri, et Filio, et Spiritui Sancto.` in full. `Amen.` italic. The Latin prints `sæcula sæculorum` with the ae-ligature, not `seculorum`.
10	introibo-ad-altare-dei-repetitio	praeparatio	dialogue	priest	xvi	26	Introibo ad altare Dei	P. I will go unto the altar of God. R. To God who rejoiceth my youth.	The antiphon repeated after the psalm. Read at 1600 dpi: this second occurrence reads `rejoiceth`, as the first does, but prints NO comma after `God` and sets `altar` lower-case where xv sets `Altar`. Right-margin ink loss costs the hyphen of `rejoic-eth`, read against the facing Latin `lætificat`.
