seq	element_key	part	printed_page	ia_leaf	latin	notes
3	in-nomine-patris	praeparatio	xv	25	IN Nomine Patris, et Filii, et Spiritus Sancti. Amen.	Two-line drop I in the Latin column; the following N is an ordinary capital, given here as IN. The Latin column prints a cross between `Patris,` and `et Filii`; the cross glyph is not reproduced. `Amen.` italic.
4	introibo-ad-altare-dei	praeparatio	xv	25	Ant. Introibo ad altare Dei. R. Ad Deum, qui lætificat juventutem meam.	The Latin marks the antiphon `Ant.` in italic; antiphon and response are separate paragraphs, joined here as one block to match the sibling English row. This first occurrence prints a comma after `Ad Deum` which the repetition on xvi does not.
6	judica-me-deus	praeparatio	xv	25	JUDICA me Deus, et discerne causam meam de gente non sancta: ab homine iniquo et doloso erue me. R. Quia tu es Deus, fortitudo mea, quare me repulisti? et quare tristis incedo, dum affligit me inimicus?	Two-line drop J with `UDICA` in capitals, given here as JUDICA. The book prints `Judica`, with J, and `erue`, not `eripe`; both are transcribed as printed and no comparison with the 1962 typical edition is asserted here. The opening verse carries no speaker mark, the response does.
7	emitte-lucem-tuam	praeparatio	xv-xvi	25-26	P. Emitte lucem tuam, et veritatem tuam: ipsa me deduxerunt, et adduxerunt in Montem sanctum tuum, et in Tabernacula tua. R. Et introibo ad altare Dei: ad Deum qui lætificat juventutem meam.	Runs over the page break xv/xvi: the response breaks after `ad Deum qui` at the foot of xv and `lætificat juventutem meam.` opens xvi. `Montem` and `Tabernacula` capitalised as printed.
8	confitebor-tibi-in-cithara	praeparatio	xvi	26	P. Confitebor tibi in cithara Deus Deus meus: quare tristis es, anima mea, et quare conturbas me? R. Spera in Deo, quoniam adhuc confitebor illi: salutare vultus mei, et Deus meus.	The Latin sets `Deus Deus meus` with no comma between. The word breaks `ci-thara` at the line end and the `c` of `thara` is thinned by heavy inking on this leaf; the word is whole.
9	gloria-patri	praeparatio	xvi	26	P. Gloria Patri, et Filio, et Spiritui Sancto. R. Sicut erat in principio, et nunc, et semper, et in sæcula sæculorum. Amen.	The Latin sets the doxology in full where the facing English abbreviates its first half to `and to, &c.` `sæcula sæculorum` with the ae-ligature, not `secula`. `Amen.` italic.
10	introibo-ad-altare-dei-repetitio	praeparatio	xvi	26	P. Introibo ad altare Dei. R. Ad Deum qui lætificat juventutem meam.	The antiphon repeated after the psalm, marked `P.` here where the first occurrence on xv is marked `Ant.`, and printing no comma after `Ad Deum` where the first occurrence prints one.
11	adjutorium-nostrum	praeparatio	xvi	26	P. Adjutorium nostrum in nomine Domini. R. Qui fecit cœlum et terram.	`Adjutorium` with j, and `cœlum` with the oe-ligature, not `caelum`.
12	confiteor-sacerdotis	praeparatio	xvi	26	P. Confiteor Deo omnipotenti, &c.	The priest's Confiteor is abbreviated by `&c.` in the Latin column exactly as in the English; the full prayer is NOT obtainable from this element, and nothing is supplied. Only the ministers' form at seq 14 is set out in full.
13	misereatur-tui	praeparatio	xvi	26	R. Misereatur tui omnipotens Deus, et dimissis peccatis tuis, perducat te ad vitam æternam. P. Amen.	The ministers' response to the priest's Confiteor. The Latin sets `P. Amen.` on a line of its own, with `Amen.` italic.
14	confiteor-ministrorum	praeparatio	xvi-xvii	26-27	R. Confiteor Deo omnipotenti, beatæ Mariæ semper Virgini, beato Michaeli Archangelo, beato, Joanni Baptistæ, sanctis Apostolis Petro et Paulo, omnibus sanctis, et tibi Pater, quia peccavi nimis cogitatione, verbo et opere, mea culpa, mea culpa, mea maxima culpa. Ideo precor beatam Mariam semper Virginem, beatum Michaelem Archangelum, beatum Joannem Baptistam, sanctos Apostolos Petrum et Paulum, omnes sanctos, et te Pater, orare pro me ad Dominum Deum nostrum.	Runs over the page break xvi/xvii, breaking after `sanctis Apostolis Petro`. The Latin prints a spurious comma in `beato, Joanni Baptistæ`, transcribed as printed. No word `Catholicam` or `Catholicum` occurs: the list runs from `sanctis Apostolis Petro et Paulo` straight to `omnibus sanctis, et tibi Pater`. `mea culpa, mea culpa, mea maxima culpa` is italic. Heavy inking at the head of xvii fills the e of `et` in `et Paulo` and breaks the m of `omnibus`; both words are whole and are read from the surviving strokes, not repaired from any other book.
15	misereatur-vestri	praeparatio	xvii	27	P. Misereatur vestri omnipotens Deus, et dimissis peccatis vestris, perducat vos ad vitam æternam. R. Amen.	The priest's form of the Misereatur, answered `R. Amen.` where the ministers' form at seq 13 is answered `P. Amen.` `Amen.` italic.
16	indulgentiam	praeparatio	xvii	27	P. Indulgentiam, absolutionem, et remissionem peccatorum nostrorum, tribuat nobis onmipotens et misericors Dominus. R. Amen.	The Latin column misprints `onmipotens` for `omnipotens`, the m and n transposed; it is transcribed as printed and not corrected. `Amen.` italic.
17	deus-tu-conversus	praeparatio	xvii	27	P. Deus tu conversus vivificabis nos. R. Et plebs tua lætabitur in te.	`lætabitur` with the ae-ligature.
