entry_key	mass	form_id	cycle	occurrence	proper	english
pc-71	ot-5	main	all	1	Collect	Preserve, we beseech thee, O Lord, thy family by thy constant mercy, that we, who confide solely in the support of thy heavenly grace, may be always defended by thy protection. Thro'.
pc-72	ot-3	main	all	1	Prayer after Communion	Grant, we beseech thee, O Almighty God, that, receiving from thee the grace of life, we may always glory in thy gift. Thro'.
pc-73	ot-2	main	all	1	Prayer over the Offerings	Grant us, O Lord, we beseech thee, frequently and worthily to celebrate these mysteries: for as many times as this commemorative sacrifice is celebrated, so often is the work of our redemption performed. Thro'.
pc-76	ot-6	main	all	1	Prayer after Communion	Being fed, O Lord, with heavenly dainties, we beseech thee, that we may always hunger after them, as they preserve our life. Thro'.
pc-91	most-holy-name-jesus	main	all	1	Collect	O God, who didst appoint thy only begotten Son the Saviour of mankind, and commandest that his name should be called JESUS: mercifully grant, that we who venerate his holy name on earth, may also enjoy his sight in heaven. Thro'.
pc-92	most-holy-name-jesus	main	all	1	Prayer over the Offerings	May thy blessing, O most merciful God, by which every creature is enlivened and subsists, sanctify this our sacrifice, which we offer thee in honour of the name of thy Son, our Lord Jesus Christ: that it may be acceptable to the praise of thy majesty, and available to our salvation. Thro' the same.
pc-93	most-holy-name-jesus	main	all	1	Prayer after Communion	O almighty and eternal God, who didst both create and redeem us, mercifully hear our prayers, and vouchsafe, with a pleasing and kind countenance, to receive the sacrifice of this victim of our salvation, which we have offered to thy divine majesty, in honor of the name of thy Son, our Lord Jesus Christ; that thy grace being poured on us, thro' the glorious name of Jesus, as a pledge of our eternal predestination, we may rejoice that our names are written in heaven. Thro' the same.
pc-103	saints-sixtus-ii-pope-companions-martyrs	main	all	1	Prayer over the Offerings	We bring thee, O Lord, the offerings of our devotion ; and may they be acceptable to thee in honour of thy saints, and, by thy mercy, available to our salvation. Thro'.
pc-107	saint-wenceslaus-martyr	main	all	1	Collect	O God, who by a glorious martyrdom, was pleased to remove blessed Wenceslaus from an earthly government to the kingdom of heaven: grant, that by his prayers, we may be preserved from all adversity, and at length admitted to partake of the same glory. Thro'.
pc-108	saint-hedwig-religious	main	all	1	Collect	O God, who didst teach blessed Hedwiges to fly from the pomps of the world and with her whole heart to embrace the humility of the cross: grant, by her merits and example, that we also may learn to tread under our feet the fading pleasures of this world, and to overcome all that standeth in the way of our salvation, by embracing thy cross. Who livest.
pc-109	saint-margaret-scotland	main	all	1	Collect	O God, who didst render blessed Margaret Queen of the Scots, truly wonderful for her charities towards the poor: grant by her prayers and example, that thy charity may continually increase in our hearts. Thro'.
pc-110	epiphany-lord	main	all	1	Collect	O God, who by the direction of a star didst this day manifest thy only Son to the Gentiles; mercifully grant that we, who now know thee by faith, may come at length to see the glory of thy Majesty. Thro' the same.
pc-111	epiphany-lord	main	all	1	Prayer over the Offerings	Mercifully look down, O Lord, we beseech thee, on the offerings of thy church: among which gold, frankincense, and myrrh are no longer offered; but what was signified by those offerings is sacrificed and received, Jesus Christ, thy Son our Lord. Who liveth.
pc-112	epiphany-lord	main	all	1	Prayer after Communion	Grant, we beseech thee, O Almighty God, that our minds may be so purified, as to understand what we celebrate on this great solemnity. Thro'.
pc-113	saint-george-martyr	main	all	1	Collect	O God, who by the merits and prayers of blessed George, thy Martyr, fillest the hearts of thy people with joy mercifully grant, through his intercession, that the blessing we ask, we may happily obtain by means of thy grace. Thro'.
pc-114	saint-george-martyr	main	all	1	Prayer over the Offerings	Sanctify, O Lord, the offerings we have made; and, through the intercession of blessed George, thy Martyr, by them cleanse us from the stains of our sins. Thro'.
pc-115	saint-george-martyr	main	all	1	Prayer after Communion	We humbly beseech thee, O Almighty God, that those whom thou hast refreshed with thy sacraments, may, by the intercession of blessed George, thy Martyr, by a life well-pleasing to thee, worthily serve thee. Thro'.
pc-116	saint-jerome-emiliani	main	all	1	Collect	O God, the Father of mercies: grant, by the merits and intercession of blessed Jerome, whom thou wast pleased to make a helper and father to poor orphans, that we may faithfully preserve the spirit of adoption, by which we are called, and are in reality thy children Thro'.
pc-117	saint-jerome-emiliani	main	all	1	Prayer over the Offerings	Most merciful God, who destroying the old man, didst vouchsafe to form a new one in blessed Jerome: grant, by his merits, that we also, putting on the new man, may offer thee this sacrifice of propitiation as a most sweet odour. Thro'.
