mass	form_id	proper	cycle	occurrence	antecedent_formulary	antecedent_oration	printed_page	ia_leaf_range	pdf_artifact_page_range	english
mass-of-the-lords-supper	main	Prayer over the Offerings	all	1	post-pentecosten-09	secret	415	423-423	424-424	Grant us, O Lord, we beseech thee, frequently and worthily to celebrate these mysteries: for as many times as this commemorative sacrifice is celebrated, so often is the work of our redemption performed. Thro’.
most-holy-trinity	main	Prayer after Communion	all	1	ssmae-trinitatis	postcommunion	394	402-402	403-403	May the receiving of this sacrament, O Lord our God, avail us to the salvation of body and soul: together with the confession of an everlasting Holy Trinity, and of the undivided unity thereof. Thro’.
ot-7	main	Prayer after Communion	all	1	epiph-05	postcommunion	102	112-112	113-113	We beseech thee, O Almighty God, that we may one day receive the effects of that salvation, of which we have received the pledge in these mysteries. Thro’.
ot-24	main	Prayer over the Offerings	all	1	post-pentecosten-05	secret	406	414-414	415-415	Be appeased, O Lord, by our humble prayers, and mercifully receive these offerings of thy servants: that what each hath offered to the honour of thy name, may avail to the salvation of all.
advent-3	main	Prayer after Communion	all	1	adv-03	postcommunion	57	67-67	68-68	We implore, O Lord, thy mercy, that these divine helps having cleansed us from sin, may prepare us for the ensuing solemnity.
easter-3	main	Prayer over the Offerings	all	1	dom-in-albis	secret	348	356-356	357-357	Receive, we beseech thee, O Lord, the offerings of thy joyful Church: and as thou hast given occasion to this great joy, grant she may receive the fruits of that joy, which will never end. Thro’.
easter-7	main	Prayer over the Offerings	all	1	post-pascha-05	secret	356-357	364-365	365-366	Receive, O Lord, we beseech thee, the prayers of the faithful, together with these oblations; that by these duties of piety we may obtain eternal life. Thro’.
ot-28	main	Prayer over the Offerings	all	1	post-pascha-05	secret	356-357	364-365	365-366	Receive, O Lord, we beseech thee, the prayers of the faithful, together with these oblations; that by these duties of piety we may obtain eternal life. Thro’.
corpus-christi	main	Collect	all	1	ssmi-corporis-christi	collect	395	403-403	404-404	O God, who in this wonderful sacrament, has left us a perpetual memorial of thy Passion; grant us, we beseech thee, so to reverence the sacred mysteries of thy body and blood, that in our souls we may always be sensible of the fruit of the redemption thou hast purchased for us. Who livest.
corpus-christi	main	Prayer over the Offerings	all	1	ssmi-corporis-christi	secret	398	406-406	407-407	Mercifully grant thy Church, O Lord, we beseech thee, the gifts of Unity and Peace, which are mystically represented in these offerings. Thro
corpus-christi	main	Prayer after Communion	all	1	ssmi-corporis-christi	postcommunion	398	406-406	407-407	Grant us, O Lord, we beseech thee, the everlasting possession of thyself, as a pledge of which we have received thy body and blood. Who livest.
