seq	element_key	part	kind	speaker	printed_page	ia_leaf	latin_incipit	english	notes
1	praefatio-communis-heading	praefatio	heading		xxviii	38		The PREFACE on Festivals and other Days that have none proper, and in Masses for the Dead.	Centred across the full measure above both columns, in two lines. PREFACE is small capitals; the rest alternates italic and roman word by word: italic The, roman PREFACE, italic on, roman Festivals, italic and other Days that have none, roman proper, italic and in, roman Masses, italic for the, roman Dead. The running head over this page and over pp. xxix-xxxii is PREFACES. in small capitals, with the page number in the outer corner.
2	rubrica-nota-asterisci	praefatio	rubric		xxviii	38		N. B. This mark* refers to the subsequent part of the proper Prefaces.	Centred across the full measure between the heading and the columns; N. B. roman, the rest italic except the closing words proper Prefaces. which are roman. The asterisk is set close up to mark with no space. This note governs the whole apparatus of pp. xxviii-xxxii: no Latin heading is printed anywhere in this section, the headings are English and span both columns.
3	praefatio-communis	praefatio	prayer	priest	xxviii	38	Vere dignum et justum est	IT is truly meet and just, right and available to salvation, that we should always, and in all places, give thanks to thee, O holy Lord, Father Almighty, eternal God. * Thro' Christ our Lord: by whom the angels praise thy majesty, the dominations adore it, the powers tremble before it, the heavens, the heavenly virtues, and blessed seraphim, with common jubilee glorify it. Together with whom we beseech thee, that we may be admitted to join our humble voices, saying:	Two-line drop I in IT; the Latin column has the matching two-line drop V in VERE. HOW THE ASTERISK WORKS: the asterisk stands inside this common Preface at the seam, immediately before Thro' Christ our Lord (Latin * Per Christum Dominum nostrum), i.e. between eternal God. and Thro'. Every proper Preface on pp. xxviii-xxxii opens with an asterisk and is printed as the clause alone; the reader inserts it at this point, then resumes here at the second asterisk. A proper Preface that ends * Thro' &c. or * Per Christum, &c. or * By whom, &c. or * And, &c. resumes the common text at exactly this asterisk; one that ends with a dagger instead resumes at the conclusion of the Christmas Preface (see praefatio-de-nativitate). Scan damage: in seraphim the terminal m has broken strokes and reads seraphiin at 1600 dpi; read against the facing Latin seraphim and against the same word printed sound in the English column of p. xxix. The book uses French spacing, a thin space before colon and semicolon (agere : dicentes :); that spacing is not reproduced here.
4	sanctus	praefatio	prayer	priest	xxviii	38	Sanctus, sanctus, sanctus, Dominus Deus	Holy, holy, holy, Lord God of Sabaoth. Heaven and earth are full of thy glory. Hosanna in the highest. Blessed is he that cometh in the name of the Lord, Hosanna in the highest.	Set as a separate indented paragraph after a blank line in both columns; the book prints no speaker attribution and no rubric over it. The Sanctus is printed ONCE only, here; it is never reprinted after any proper Preface, which are cued Holy, &c. in English and Sanctus, &c. in Latin.
5	praefatio-de-ss-trinitate-heading	praefatio	heading		xxviii	38		On TRINITY-SUNDAY, and every other Sunday in the Year that has no proper Preface.	Centred across the full measure in two lines. TRINITY-SUNDAY in small capitals; On italic, and every other italic, Sunday roman, in the Year that has italic, no proper italic, Preface. roman.
6	praefatio-de-ss-trinitate	praefatio	prayer	priest	xxviii-xxix	38-39	Qui cum unigenito Filio tuo	* Who together with thy only begotten Son and the Holy Ghost, art one God, and one Lord not in a singularity of one Person, but in a Trinity of one substance. For what we believe of thy glory, as thou hast revealed, the same we believe of thy Son, and of the Holy Ghost, without any difference or distinction. So that in the confession of the true and eternal Deity, we adore a distinction in the Persons, an unity in the essence, and an equality in the Majesty. Whom the angels and archangels, the cherubim also and seraphim praise: and cease not daily to cry out with one voice saying, Holy, &c.	The clause only, not a whole Preface: it opens with the asterisk and is inserted at the asterisk of praefatio-communis. Runs over the page break, breaking at art / one God between p. xxviii and p. xxix. No comma after one Lord, as printed. Scan damage at the right margin of p. xxix, all controlled at 1600 dpi against the facing Latin: believe of loses the f (prints as believe o, Latin hoc de Filio tuo); reveal- keeps only a blot where the hyphen was (revealed, Latin revelante); the end-of-line hyphen of Dei-ty is eaten entirely, the page printing Dei at the end of one line and ty, at the start of the next (Latin Deitatis); begotten at the foot of p. xxviii reads begotteu, the n having lost its right shoulder. The Latin column here prints Quam laudant angeli where the Roman text has Quem, and sets no full stop after æqualitas.
7	praefatio-de-nativitate-heading	praefatio	heading		xxix	39		From CHRISTMAS-DAY till the Epiphany; on Corpus Christi; and on our Lord's Transfiguration.	Centred across the full measure in two lines. CHRISTMAS-DAY in small capitals; From, till the, on, and on in italic, the rest roman. The book sets a thin space before the first semicolon (Epiphany ; on); not reproduced.
8	rubrica-nota-obeli	praefatio	rubric		xxix	39		N. B. Prefaces thus marked † are concluded in the same manner as this.	Centred across the full measure between the heading and the columns, in two lines; N. B. Prefaces roman, the rest italic. The mark is an obelus (dagger) used as a reference mark, printed in the English column itself and so kept here; it is not a cross of blessing. Its force: a proper Preface whose text ends at a dagger takes the conclusion of THIS Christmas Preface from its dagger onward, i.e. And therefore with the angels and archangels ... saying, Holy, &c., instead of rejoining the common Preface at the asterisk.
9	praefatio-de-nativitate	praefatio	prayer	priest	xxix-xxx	39-40	Quia per incarnati Verbi mysterium	* Since by the mystery of the Word made flesh, a new ray of thy glory has appeared to the eyes of our souls: that while we behold God visibly, we may be carried by him to the love of things invisible. † And therefore with the angels and archangels, with the thrones and dominations; and with all the heavenly host, we sing an everlasting hymn to thy glory, saying, Holy, &c.	The clause plus a conclusion: asterisk at the head, dagger before And therefore. Not a whole Preface; the opening Vere dignum is not reprinted. Runs over the page break, breaking at with the / thrones between p. xxix and p. xxx. Scan damage: the end-of-line hyphen of everlast-ing is eaten entirely at the right margin of p. xxx, the page printing everlast at the end of one line and ing at the start of the next; read at 1600 dpi against the facing Latin hymnum gloriæ tuæ canimus. The hyphen of ap-peared is present but clipped. The Latin column of p. xxix has two broken sorts before invisibilium amorem where the Roman text reads in invisibilium amorem.
10	praefatio-de-epiphania-heading	praefatio	heading		xxx	40		On the Epiphany and during its Octave.	Centred across the full measure on one line. No small capitals in this heading, unlike its neighbours: On the italic, Epiphany roman, and during its italic, Octave. roman.
