seq	element_key	part	printed_page	ia_leaf	latin	notes
3	praefatio-communis	praefatio	xxviii	38	VERE dignum et justum est, æquum et salutare, nos tibi semper, et ubique gratias agere: Domine sancte, Pater omnipotens, æterne Deus. * Per Christum Dominum nostrum. Per quem majestatem tuam laudant angeli, adorant dominationes, tremunt potestates; Cœli cœlorumque virtutes, ac beata seraphim, socia exultatione concelebrant. Cum quibus et nostras voces, ut admitti jubeas deprecamur, supplici confessione dicentes:	Two-line drop V with `ERE` in capitals, given here as VERE. The asterisk inside the Preface is the book's own and marks the seam at which a proper Preface is inserted; it stands between `æterne Deus.` and `Per Christum Dominum nostrum.` and is transcribed as printed. `Cœli cœlorumque` with the oe-ligature and the first word capitalised.
4	sanctus	praefatio	xxviii	38	Sanctus, sanctus, sanctus, Dominus Deus Sabaoth. Pleni sunt cœli et terra gloria tua. Hosanna in excelsis. Benedictus qui venit in nomine Domini, Hosanna in excelsis.	No cross glyph is printed before `Benedictus` in this column. `cœli` with the oe-ligature.
6	praefatio-de-ss-trinitate	praefatio	xxviii-xxix	38-39	* Qui cum unigenito Filio tuo et Spiritu Sancto unus es Deus, unus es Dominus: non in unius singularitate Personæ, sed in unius Trinitate substantiæ. Quod enim de tua gloria, revelante te credimus, hoc de Filio tuo, hoc de Spiritu Sancto, sine differentia discretionis sentimus. Ut in confessione veræ, sempiternæque Deitatis, et in Personis proprietas, et in essentia Unitas, et in Majestate adoretur æqualitas Quam laudant angeli atque archangeli, cherubim quoque ac seraphim: qui non cessant clamare quotidie, una voce dicentes, Sanctus, &c.	The clause only, not a whole Preface: it opens with the asterisk and is inserted at the asterisk of praefatio-communis. Runs over the page break xxviii/xxix, breaking at `unus es` / `Dominus`. The book prints NO full stop after `æqualitas`, running straight on to `Quam laudant`; transcribed as printed.
9	praefatio-de-nativitate	praefatio	xxix-xxx	39-40	* Quia per incarnati Verbi mysterium, nova mentis nostræ oculis lux tuæ claritatis infusit: ut dum visibiliter Deum cognoscimus per hunc in invisibilium amorem rapiamur. † Et ideo cum angelis et archangelis, cum thronis et dominationibus; cumque omni militia cœlestis exercitus, hymnum gloriæ tuæ canimus, sine fine dicentes, Sanctus, Sanctus, &c.	The clause plus a conclusion: asterisk at the head, obelus before `Et ideo`, both the book's own reference marks and transcribed as printed. Runs over the page break xxix/xxx, breaking at `cumque` / `omni militia`. The book prints no comma after `cognoscimus`. The n of `in` before `invisibilium` has lost its right leg to a failed sort at the head of a line; the word is given whole and the damage named here.
11	praefatio-de-epiphania	praefatio	xxx	40	* Quia cum unigenitus tuus in substantia nostræ mortalitatis apparuit, nova nos immortalitatis suæ luce reparavit. † Et ideo, &c.	The clause only, closing at an obelus, so it takes the conclusion of the Christmas Preface.
13	praefatio-de-quadragesima	praefatio	xxx	40	* Qui corporali jejunio vitia comprimis, mentem elevas, virtutem largiris et præmia. * Per Christum, &c.	The clause only, closing with an asterisk cue and so rejoining the common Preface. `jejunio` with j; `præmia` with the ae-ligature.
15	praefatio-de-sancta-cruce	praefatio	xxx	40	* Qui salutem humam generis in ligno Crucis constituisti: ut unde mors oriebatur, inde vita resurgeret: et qui in ligno vincebat, in ligno quoque vinceretur. * Per Christum. &c.	The Latin column prints `humam generis` for `humani generis`: a misprint of the book, read here at 100 and at 200 per cent on leaf n40 with the word whole and undamaged, and transcribed as printed. The closing cue prints a full stop, `Per Christum. &c.`, where a comma is wanted; also transcribed as printed. The sibling English artifact's latin_incipit reproduces the same misprint, so its apparatus is correct and needs no change.
17	praefatio-paschalis	praefatio	xxx-xxxi	40-41	VEre dignum et justum est, æquum et salutare, te quidem Domine omni tempore, sed [ in hoc potissimum nocte vel die, vel ] in hoc gloriosius prædicare, cum Pascha nostrum immolatus est Christus. Ipse enim verus est Agnus, qui abstulit peccata mundi. Qui mortem nostram moriendo destruxit, et vitam resurgendo reparavit. † Et ideo, &c.	NOT a clause: this Preface is printed whole, from `Vere dignum`, with a two-line drop V. The drop capital is followed by `Ere` in ordinary upper and lower case, unlike the common Preface on xxviii, which sets `ERE` in capitals; given here as VEre, as printed. The square brackets and the italic `vel` are the book's own. Runs over the page break xxx/xxxi, breaking at `æquum et` / `salutare`.
19	praefatio-de-ascensione	praefatio	xxxi	41	* Per Christum Dominum nostrum. Qui post resurrectionem suam omnibus discipulis suis manifestus apparuit, et ipsis cernentibus est elevatus in cœlum, ut nos divinitatis suæ tribueret esse participes. † Et ideo, &c.	The clause only, closing at an obelus. `cœlum` with the oe-ligature.
21	praefatio-de-spiritu-sancto	praefatio	xxxi-xxxii	41-42	* Per Christum Dominum nostrum. Qui ascendens super omnes cœlos, sedensque ad dexteram tuam, promissum Spiritum sanctum [ hodierna die ] in filios adoptionis effudit. Quapropter profusis gaudiis totus in orbe terrarum mundus exultat. Sed et supernæ virtutes atque angelicæ potestates, hymnum gloriæ tuæ concinunt, sine fine dicentes, Sanctus, &c.	The clause with its own conclusion, closing at `Sanctus, &c.` and not at an obelus. The square brackets round `hodierna die` are the book's own. Runs over the page break xxxi/xxxii, breaking at `angelicæ po` / `testates`, the page printing `po` with no hyphen at the foot of xxxi.
