formulary	oration	latin_incipit	printed_page	ia_leaf	english
adv-01	collect	Excita, quæs.	50	60	Exert, we beseech thee, O Lord, thy power, and come: that by thy protection we may be freed from the imminent dangers of our sins, and be saved by thy mercy, who liveth and reigneth, &c.
adv-01	secret		52	62	Grant, O Lord, that these sacred mysteries may cleanse us by their powerful virtue, and bring us with greater purity to him, who was the author and institutor of them. Thro’.
adv-01	postcommunion	Suscipiamus	52	62	May we receive, O Lord, thy mercy in the midst of thy temple, that with due honour we may prepare for the approaching solemnity of our reparation. Thro’.
adv-02	collect	Excita, Domine	53	63	Stir up, O Lord, our hearts to prepare the ways of thy only begotten Son: that by his coming we may be enabled to serve thee with pure minds. Who livest.
adv-02	secret		55	65	Be appeased, O Lord, we beseech thee, by our humble prayers and sacrifices; and although we can allege no deserts on our part, grant us thy protection. Thro’.
adv-02	postcommunion	Repleti	55	65	Being filled, O Lord, with this spiritual food, we humbly beseech thee, to teach us, by partaking of this mystery, to despise earthly things, and to love such as are heavenly.
adv-03	collect	Aurem tuam	56	66	Bend thine ear, O Lord, we beseech thee, to our prayers, and enlighten the darkness of our minds by the grace of thy visitation. Who livest.
adv-03	secret		57	67	May we always, O Lord, offer thee this sacrifice of our devotion, both to comply with the institution of these sacred mysteries, and wonderfully to procure ourselves that salvation which thou designest us. Thro’.
adv-03	postcommunion	Imploramus	57	67	We implore, O Lord, thy mercy, that these divine helps having cleansed us from sin, may prepare us for the ensuing solemnity.
adv-04	collect	Excita quæsumus	69	79	Exert, we beseech thee, O Lord, thy power, and come: and succour us by thy great might: that by the assistance of thy grace, thy indulgent mercy may hasten what is delayed by our sins. Who livest.
adv-04	secret		70	80	Hear us, O Lord, we beseech thee, and being appeased by these offerings, grant they may increase our devotion, and advance our salvation.
adv-04	postcommunion	Sumptis	70	80	Having received what has been offered to thee, O Lord, grant, we beseech thee, that the more frequently we partake of these sacred mysteries, the more our devotion may increase.
nativitas-vigilia	collect	Deus qui nos	70	80	O God, who makest us rejoice in the yearly expectation of the feast of our redemption: grant, that we who cheerfully receive thy only begotten Son as a redeemer, may behold without fear the same Lord Jesus Christ coming as our judge. Who livest.
nativitas-vigilia	secret		71	81	Grant, we beseech thee, O Almighty God, that as we celebrate the eve of the adorable birth of thy Son, we may one day receive with joy his eternal rewards. Who liveth.
nativitas-vigilia	postcommunion		72	82	Grant us, we beseech thee, O Lord, relief by celebrating the birth of thy only Son, whose sacred mysteries are our meat and drink. Thro’.
nativitas-in-nocte	collect	Deus, qui hanc	72	82	O God, who hast enlightened this most sacred night by the brightness of him who is the true light; grant, we beseech thee, that we who have known the mysteries of this light on earth, may likewise come to the enjoyment of it in heaven. Who liveth.
nativitas-in-nocte	secret		74	84	Receive, O Lord, the offerings we make to thee on this present solemnity, that by thy grace, through the intercourse of these sacred mysteries, we may be conformable to him, in whom our nature is united to thine. Who liveth.
nativitas-in-nocte	postcommunion	Da nobis	74	84	Grant, we beseech thee, O Lord our God, that we who celebrate with joy the birth of our Lord Jesus Christ, by partaking several times of these sacred mysteries, may, by a worthy conduct of life, come to be united with him. Who liveth.
