hymn	hymn_number	printed_page	ia_leaf	stanza	line	set_to_music	english
dies-irae	398	307	322	1	1	yes	Day of Wrath! O day of mourning!
dies-irae	398	307	322	1	2	yes	See fulfill’d the prophets’ warning!
dies-irae	398	307	322	1	3	yes	Heav’n and earth in ashes burning!
dies-irae	398	307	322	1	4	yes	Oh, what fear man’s bosom rendeth
dies-irae	398	307	322	1	5	yes	When from Heav’n the Judge descendeth,
dies-irae	398	307	322	1	6	yes	On Whose sentence all dependeth!
dies-irae	398	307	322	2	1	no	Wondrous sound the trumpet flingeth,
dies-irae	398	307	322	2	2	no	Through earth’s sepulchres it ringeth,
dies-irae	398	307	322	2	3	no	All before the Throne it bringeth.
dies-irae	398	307	322	2	4	no	Death is struck, and nature quaking,
dies-irae	398	307	322	2	5	no	All creation is awaking,
dies-irae	398	307	322	2	6	no	To its Judge an answer making.
dies-irae	398	307	322	3	1	no	Lo! the Book exactly worded,
dies-irae	398	307	322	3	2	no	Wherein all hath been recorded;
dies-irae	398	307	322	3	3	no	Thence shall judgment be awarded.
dies-irae	398	307	322	3	4	no	When the Judge His seat attaineth,
dies-irae	398	307	322	3	5	no	And each hidden deed arraigneth,
dies-irae	398	307	322	3	6	no	Nothing unavenged remaineth.
dies-irae	398	307	322	4	1	no	What shall I, frail man, be pleading,
dies-irae	398	307	322	4	2	no	Who for me be interceding,
dies-irae	398	307	322	4	3	no	When the just are mercy needing?
dies-irae	398	307	322	4	4	no	King of Majesty tremendous,
dies-irae	398	307	322	4	5	no	Who dost free salvation send us,
dies-irae	398	307	322	4	6	no	Fount of pity, then befriend us!
dies-irae	398	307	322	5	1	no	Think, good Jesu, my salvation
dies-irae	398	307	322	5	2	no	Caused Thy wondrous Incarnation;
dies-irae	398	307	322	5	3	no	Leave me not to reprobation.
dies-irae	398	307	322	5	4	no	Faint and weary Thou hast sought me,
dies-irae	398	307	322	5	5	no	On the Cross of suffering bought me;
dies-irae	398	307	322	5	6	no	Shall such grace be vainly brought me?
dies-irae	398	307	322	6	1	no	Righteous Judge! for sin’s pollution
dies-irae	398	307	322	6	2	no	Grant Thy gift of absolution,
dies-irae	398	307	322	6	3	no	Ere that day of retribution.
dies-irae	398	307	322	6	4	no	Guilty, now I pour my moaning,
dies-irae	398	307	322	6	5	no	All my shame with anguish owning;
dies-irae	398	307	322	6	6	no	Spare, O God, Thy suppliant groaning.
dies-irae	398	307	322	7	1	no	Thou the sinful woman savedst;
dies-irae	398	307	322	7	2	no	Thou the dying thief forgavest;
dies-irae	398	307	322	7	3	no	And to me a hope vouchsafest.
dies-irae	398	307	322	7	4	no	Worthless are my prayers and sighing;
dies-irae	398	307	322	7	5	no	Yet, good Lord, in grace complying,
dies-irae	398	307	322	7	6	no	Rescue me from fires undying.
dies-irae	398	308	323	8	1	yes	With Thy favour’d sheep O place me,
dies-irae	398	308	323	8	2	yes	Nor among the goats abase me,
dies-irae	398	308	323	8	3	yes	But to Thy right hand upraise me.
dies-irae	398	308	323	8	4	yes	While the wicked are confounded,
dies-irae	398	308	323	8	5	yes	Doom’d to flames of woe unbounded,
dies-irae	398	308	323	8	6	yes	Call me with Thy Saints surrounded.
dies-irae	398	308	323	9	1	yes	Low I kneel, with heart submission,
dies-irae	398	308	323	9	2	yes	See, like ashes, my contrition;
dies-irae	398	308	323	9	3	yes	Help me in my last condition.
dies-irae	398	309	324	10	1	yes	Ah! that day of tears and mourning!
dies-irae	398	309	324	10	2	yes	From the dust of earth returning
dies-irae	398	309	324	10	3	yes	Man for judgment must prepare him:
dies-irae	398	309	324	10	4	yes	Spare, O God, in mercy spare him!
dies-irae	398	309	324	10	5	yes	Lord, all-pitying, Jesu Blest,
dies-irae	398	309	324	10	6	yes	Grant them Thine eternal rest.
dies-irae	398	309	324	10	7	yes	Amen.
