seq	element_key	text
1	benedictio	Then the dismissal takes place. The Priest, facing the people and extending his hands, sings:
2	benedictio	The Lord be with you.
3	benedictio	And with your spirit.
4	benedictio	The Priest blesses the people, singing:
5	benedictio	May almighty God bless you,
6	benedictio	the Father, and the Son, ✠ and the Holy Spirit.
7	benedictio	Amen.
8	benedictio	In a Pontifical Mass, the Celebrant receives the miter and, extending his hands, sings:
9	benedictio	The Lord be with you.
10	benedictio	And with your spirit.
11	benedictio	Blessed be the name of the Lord.
12	benedictio	Now and for ever.
13	benedictio	Our help is in the name of the Lord.
14	benedictio	Who made heaven and earth.
15	benedictio	The Celebrant receives the pastoral staff, if he uses it, and sings:
16	benedictio	May almighty God bless you,
17	benedictio	Making the Sign of the Cross over the people three times, he adds:
18	benedictio	the Father, ✠ and the Son, ✠ and the Holy ✠ Spirit.
19	benedictio	Amen.
20	benedictio	The Deacon or, in his absence, the Priest himself, sings the invitation:
21	benedictio	Bow down for the blessing.
