seq	element_key	text
1	symbolum-nicaenum	I believe in one God,
2	symbolum-nicaenum	the Father almighty,
3	symbolum-nicaenum	maker of heaven and earth,
4	symbolum-nicaenum	of all things visible and invisible.
5	symbolum-nicaenum	I believe in one Lord Jesus Christ,
6	symbolum-nicaenum	the Only Begotten Son of God,
7	symbolum-nicaenum	born of the Father before all ages.
8	symbolum-nicaenum	God from God, Light from Light,
9	symbolum-nicaenum	true God from true God,
10	symbolum-nicaenum	begotten, not made, consubstantial with the Father;
11	symbolum-nicaenum	through him all things were made.
12	symbolum-nicaenum	For us men and for our salvation
13	symbolum-nicaenum	he came down from heaven,
14	symbolum-nicaenum	At the words that follow, up to and including and became man, all bow.
15	symbolum-nicaenum	and by the Holy Spirit was incarnate of the Virgin Mary,
16	symbolum-nicaenum	and became man.
17	symbolum-nicaenum	For our sake he was crucified under Pontius Pilate,
18	symbolum-nicaenum	he suffered death and was buried,
19	symbolum-nicaenum	and rose again on the third day
20	symbolum-nicaenum	in accordance with the Scriptures.
21	symbolum-nicaenum	He ascended into heaven
22	symbolum-nicaenum	and is seated at the right hand of the Father.
23	symbolum-nicaenum	He will come again in glory
24	symbolum-nicaenum	to judge the living and the dead
25	symbolum-nicaenum	and his kingdom will have no end.
26	symbolum-nicaenum	I believe in the Holy Spirit, the Lord, the giver of life,
27	symbolum-nicaenum	who proceeds from the Father and the Son,
28	symbolum-nicaenum	who with the Father and the Son is adored and glorified,
29	symbolum-nicaenum	who has spoken through the prophets.
30	symbolum-nicaenum	I believe in one, holy, catholic and apostolic Church.
31	symbolum-nicaenum	I confess one Baptism for the forgiveness of sins
32	symbolum-nicaenum	and I look forward to the resurrection of the dead
33	symbolum-nicaenum	and the life of the world to come. Amen.
