seq	element_key	text
1	dimissio	Then the Deacon, or the Priest himself, with hands joined and facing the people, sings:
2	dimissio	Go forth, the Mass is ended.
3	dimissio	Thanks be to God.
4	dimissio	Or:
5	dimissio	Go and announce the Gospel of the Lord.
6	dimissio	Thanks be to God.
7	dimissio	Or:
8	dimissio	Go in peace, glorifying the Lord by your life.
9	dimissio	Thanks be to God.
10	dimissio	Or:
11	dimissio	Go in peace.
12	dimissio	Thanks be to God.
13	dimissio	The following dismissal is used on Easter Sunday, the Octave of Easter, and in the Mass during the Day on Pentecost Sunday.
14	dimissio	Go forth, the Mass is ended, alleluia, alleluia.
15	dimissio	Or:
16	dimissio	Go in peace, alleluia, alleluia.
17	dimissio	Thanks be to God, alleluia, alleluia.
