seq	element_key	text
1	gloria-in-excelsis	Glory to God in the highest,
2	gloria-in-excelsis	and on earth peace to people of good will.
3	gloria-in-excelsis	We praise you,
4	gloria-in-excelsis	we bless you,
5	gloria-in-excelsis	we adore you,
6	gloria-in-excelsis	we glorify you,
7	gloria-in-excelsis	we give you thanks for your great glory,
8	gloria-in-excelsis	Lord God, heavenly King,
9	gloria-in-excelsis	O God, almighty Father.
10	gloria-in-excelsis	Lord Jesus Christ, Only Begotten Son,
11	gloria-in-excelsis	Lord God, Lamb of God, Son of the Father,
12	gloria-in-excelsis	you take away the sins of the world,
13	gloria-in-excelsis	have mercy on us;
14	gloria-in-excelsis	you take away the sins of the world,
15	gloria-in-excelsis	receive our prayer;
16	gloria-in-excelsis	you are seated at the right hand of the Father,
17	gloria-in-excelsis	have mercy on us.
18	gloria-in-excelsis	For you alone are the Holy One,
19	gloria-in-excelsis	you alone are the Lord,
20	gloria-in-excelsis	you alone are the Most High,
21	gloria-in-excelsis	Jesus Christ,
22	gloria-in-excelsis	with the Holy Spirit,
23	gloria-in-excelsis	in the glory of God the Father.
24	gloria-in-excelsis	Amen.
