seq	element_key	text
1	introitus	All make the Sign of the Cross as the Priest says:
2	introitus	In the name of the Father, and of the Son,
3	introitus	and of the Holy Spirit.
4	introitus	Amen.
5	salutatio	The grace of our Lord Jesus Christ,
6	salutatio	and the love of God,
7	salutatio	and the communion of the Holy Spirit
8	salutatio	be with you all.
9	salutatio	Or:
10	salutatio	Grace to you and peace from God our Father
11	salutatio	and the Lord Jesus Christ.
12	salutatio	Or:
13	salutatio	The Lord be with you.
14	salutatio	In this first greeting, a Bishop, in place of The Lord be with you, says:
15	salutatio	Peace be with you.
16	salutatio	And with your spirit.
