seq	element_key	text
1	lectio-prima	To indicate the end of the reading, the reader acclaims:
2	lectio-prima	The word of the Lord.
3	lectio-prima	Thanks be to God.
4	lectio-secunda	To indicate the end of the reading, the reader acclaims:
5	lectio-secunda	The word of the Lord.
6	lectio-secunda	Thanks be to God.
7	evangelium	The Lord be with you.
8	evangelium	And with your spirit.
9	evangelium	A reading from the holy Gospel according to N.
10	evangelium	Glory to you, O Lord.
11	evangelium	At the end of the Gospel, the Deacon, or the Priest, acclaims:
12	evangelium	The Gospel of the Lord.
13	evangelium	Praise to you, Lord Jesus Christ.
