seq	element_key	text
1	pater-noster	After the chalice and paten have been set down, the Priest, with hands joined, sings:
2	pater-noster	At the Savior's command
3	pater-noster	and formed by divine teaching,
4	pater-noster	we dare to say:
5	pater-noster	He extends his hands and, together with the people, continues:
6	pater-noster	Our Father, who art in heaven,
7	pater-noster	hallowed be thy name;
8	pater-noster	thy kingdom come,
9	pater-noster	thy will be done
10	pater-noster	on earth as it is in heaven.
11	pater-noster	Give us this day our daily bread,
12	pater-noster	and forgive us our trespasses,
13	pater-noster	as we forgive those who trespass against us;
14	pater-noster	and lead us not into temptation,
15	pater-noster	but deliver us from evil.
16	libera-nos	With hands extended, the Priest alone continues, singing:
17	libera-nos	Deliver us, Lord, we pray, from every evil,
18	libera-nos	graciously grant peace in our days,
19	libera-nos	that, by the help of your mercy,
20	libera-nos	we may be always free from sin
21	libera-nos	and safe from all distress,
22	libera-nos	as we await the blessed hope
23	libera-nos	and the coming of our Savior, Jesus Christ.
24	libera-nos	He joins his hands.
25	libera-nos	The people conclude the prayer, acclaiming:
26	libera-nos	For the kingdom,
27	libera-nos	the power and the glory are yours
28	libera-nos	now and for ever.
