seq	element_key	text
1	mysterium-fidei	The mystery of faith.
2	mysterium-fidei	We proclaim your Death, O Lord,
3	mysterium-fidei	and profess your Resurrection
4	mysterium-fidei	until you come again.
5	mysterium-fidei	Or:
6	mysterium-fidei	When we eat this Bread and drink this Cup,
7	mysterium-fidei	we proclaim your Death, O Lord,
8	mysterium-fidei	until you come again.
9	mysterium-fidei	Or:
10	mysterium-fidei	Save us, Savior of the world,
11	mysterium-fidei	for by your Cross and Resurrection
12	mysterium-fidei	you have set us free.
