seq	element_key	text
1	actus-paenitentialis-ii	Brethren (brothers and sisters), let us acknowledge our sins,
2	actus-paenitentialis-ii	and so prepare ourselves to celebrate the sacred mysteries.
3	actus-paenitentialis-ii	A brief pause for silence follows.
4	actus-paenitentialis-ii	Have mercy on us, O Lord.
5	actus-paenitentialis-ii	For we have sinned against you.
6	actus-paenitentialis-ii	Show us, O Lord, your mercy.
7	actus-paenitentialis-ii	And grant us your salvation.
8	actus-paenitentialis-ii	The absolution by the Priest follows:
9	actus-paenitentialis-ii	May almighty God have mercy on us,
10	actus-paenitentialis-ii	forgive us our sins,
11	actus-paenitentialis-ii	and bring us to everlasting life.
12	actus-paenitentialis-ii	Amen.
13	actus-paenitentialis-iii	Brethren (brothers and sisters), let us acknowledge our sins,
14	actus-paenitentialis-iii	and so prepare ourselves to celebrate the sacred mysteries.
15	actus-paenitentialis-iii	There follows a brief pause for silence. The Priest, or a Deacon or another minister, then says the following or other invocations with Kyrie, eleison (Lord, have mercy):
16	actus-paenitentialis-iii	You were sent to heal the contrite of heart:
17	actus-paenitentialis-iii	Lord, have mercy. Or: Kyrie, eleison.
18	actus-paenitentialis-iii	Lord, have mercy. Or: Kyrie, eleison.
19	actus-paenitentialis-iii	You came to call sinners:
20	actus-paenitentialis-iii	Christ, have mercy. Or: Christe, eleison.
21	actus-paenitentialis-iii	Christ, have mercy. Or: Christe, eleison.
22	actus-paenitentialis-iii	You are seated at the right hand of the Father to intercede for us:
23	actus-paenitentialis-iii	Lord, have mercy. Or: Kyrie, eleison.
24	actus-paenitentialis-iii	Lord, have mercy. Or: Kyrie, eleison.
25	actus-paenitentialis-iii	The absolution by the Priest follows:
26	actus-paenitentialis-iii	May almighty God have mercy on us,
27	actus-paenitentialis-iii	forgive us our sins,
28	actus-paenitentialis-iii	and bring us to everlasting life.
29	actus-paenitentialis-iii	Amen.
