seq	element_key	text
1	domine-iesu-christe-qui-dixisti	Then the Priest, with hands extended, sings aloud:
2	domine-iesu-christe-qui-dixisti	Lord Jesus Christ,
3	domine-iesu-christe-qui-dixisti	who said to your Apostles:
4	domine-iesu-christe-qui-dixisti	Peace I leave you, my peace I give you,
5	domine-iesu-christe-qui-dixisti	look not on our sins,
6	domine-iesu-christe-qui-dixisti	but on the faith of your Church,
7	domine-iesu-christe-qui-dixisti	and graciously grant her peace and unity
8	domine-iesu-christe-qui-dixisti	in accordance with your will.
9	domine-iesu-christe-qui-dixisti	He joins his hands.
10	domine-iesu-christe-qui-dixisti	Who live and reign for ever and ever.
11	domine-iesu-christe-qui-dixisti	Amen.
12	pax-domini	The peace of the Lord be with you always.
13	pax-domini	And with your spirit.
14	pax-domini	Then, if appropriate, the Deacon, or the Priest, adds:
15	pax-domini	Let us offer each other the sign of peace.
16	pax-domini	And all offer one another a sign, in keeping with local customs, that expresses peace, communion, and charity. The Priest gives the sign of peace to a Deacon or minister.
