book	chapter	verse	text	usfm
PrMan	1	1	O Lord Almighty, the God of our fathers Abraham and Isaac and Jacob and of their righteous seed;	MAN
PrMan	1	2	that hast made the heaven and the earth with all their adornment;	MAN
PrMan	1	3	that hast bound the sea with the word of thy commandment; that hast closed the abyss and sealed it with thy fearful and glorious name;	MAN
PrMan	1	4	whom all things revere and tremble before the face of thy power,	MAN
PrMan	1	5	because the magnificence of thy glory is unendurable and irresistible the wrath of thy threatening against sinners:	MAN
PrMan	1	6	the mercy of thy promise is both immeasurable and inscrutable;	MAN
PrMan	1	7	for thou art the Lord most high, compassionate, longsuffering, and most merciful, repenting of the evils of men. Thou, Lord, according to the abundance of thy goodness, hast proclaimed repentance and forgiveness to those that have sinned against thee, and in the multitude of thy kindnesses thou hast decreed for sinners repentance unto salvation.	MAN
PrMan	1	8	Surely thou, O Lord, the God of the just, hast not appointed repentance for the just, for Abraham and Isaac and Jacob who have not sinned against thee; but thou hast appointed repentance for me a sinner:	MAN
PrMan	1	9	for I have sinned above the number of the sand of the sea. My transgressions are multiplied, O Lord, they are multiplied, and I am not worthy to look at or see the height of heaven, for the multitude of my iniquities,	MAN
PrMan	1	10	being bowed down by many iron bonds, so that I cannot uplift my head, and there is no release for me, because I have provoked thy anger, and have done evil before thee, not doing thy will, nor keeping thy commandments, but setting up abominations and multiplying offences.	MAN
PrMan	1	11	And now I bend the knee of my heart, beseeching thy goodness:	MAN
PrMan	1	12	I have sinned, Lord, I have sinned, and I acknowledge my transgressions:	MAN
PrMan	1	13	but I pray and beseech thee, release me, Lord, release me, and destroy me not with my transgressions; keep not evils for me in anger for ever, nor condemn me to the lowest parts of the earth: because thou art God, the God of the repenting;	MAN
PrMan	1	14	and in me thou wilt shew all thy benevolence, for that me unworthy thou wilt save, according to thy great mercy:	MAN
PrMan	1	15	and I will praise thee continually all the days of my life: for all the host of the heavens sings to thee, and thine is the glory for ever and ever. Amen.	MAN
