book	chapter	verse	text	usfm
Job	1	1	There was a certain man in the land of Ausis, whose name was Job; and that man was true, blameless, righteous, and godly, abstaining from everything evil.	JOB
Job	1	2	And he had seven sons and three daughters.	JOB
Job	1	3	And his cattle consisted of seven thousand sheep, three thousand camels, five hundred yoke of oxen, five hundred she-asses in the pastures, and a very great household, and he had a great husbandry on the earth; and that man was most noble of the men of the east.	JOB
Job	1	4	And his sons visiting one another prepared a banquet every day, taking with them also their three sisters to eat and drink with them.	JOB
Job	1	5	And when the days of the banquet were completed, Job sent and purified them, having risen up in the morning, and offered sacrifices for them, according to their number, and one calf for a sin-offering for their souls: for Job said, Lest peradventure my sons have thought evil in their minds against God. Thus then Job did continually.	JOB
Job	1	6	And it came to pass on a day, that, behold, the angels of God came to stand before the Lord, and the devil came with them.	JOB
Job	1	7	And the Lord said to the devil, Whence art thou come? And the devil answered the Lord, and said, I am come from compassing the earth, and walking up and down in the world.	JOB
Job	1	8	And the Lord said to him, Hast thou diligently considered my servant Job, that there is none like him on the earth, a man blameless, true, godly, abstaining from everything evil?	JOB
Job	1	9	Then the devil answered, and said before the Lord, Does Job worship the Lord for nothing?	JOB
Job	1	10	Hast thou not made a hedge about him, and about his household, and all his possessions round about? and hast thou not blessed the works of his hands, and multiplied his cattle upon the land?	JOB
Job	1	11	But put forth thine hand, and touch all that he has: verily he will bless thee to thy face.	JOB
Job	1	12	Then the Lord said to the devil, Behold, I give into thine hand all that he has, but touch not himself. So the devil went out from the presence of the Lord.	JOB
Job	1	13	And it came to pass on a certain day, that Job's sons and his daughters were drinking wine in the house of their elder brother.	JOB
Job	1	14	And, behold, there came a messenger to Job, and said to him, The yokes of oxen were ploughing, and the she-asses were feeding near them;	JOB
Job	1	15	and the spoilers came and took them for a prey, and slew the servants with the sword; and I having escaped alone am come to tell thee.	JOB
Job	1	16	While he was yet speaking, there came another messenger, and said to Job, Fire has fallen from heaven, and burnt up the sheep, and devoured the shepherds likewise; and I having escaped alone am come to tell thee.	JOB
Job	1	17	While he was yet speaking, there came another messenger, and said to Job, The horsemen formed three companies against us, and surrounded the camels, and took them for a prey, and slew the servants with the sword; and I only escaped, and am come to tell thee.	JOB
Job	1	18	While he is yet speaking, another messenger comes, saying to Job, While thy sons and thy daughters were eating and drinking with their elder brother,	JOB
