book	chapter	verse	text	usfm
Num	1	1	And the Lord spoke to Moses in the desert of Sinai, in the tabernacle of the covenant, on the first day of the second month, in the year after their departure from Egypt, saying:	OT-04_Numbers
Num	1	2	“Take a total of the entire assembly of the sons of Israel, by their families and houses, and the names of each one, of whomever is of the male sex,	OT-04_Numbers
Num	1	3	from twenty years and above, of all the able-bodied men out of Israel, and you shall number them by their companies, you and Aaron.	OT-04_Numbers
Num	1	4	And there shall be with you the leaders of the tribes, as well as of the houses, in their kinships,	OT-04_Numbers
Num	1	5	the names of whom are these: of Ruben, Elizur the son of Shedeur;	OT-04_Numbers
Num	1	6	of Simeon, Shelumiel the son of Zurishaddai;	OT-04_Numbers
Num	1	7	of Judah, Nahshon the son of Amminadab;	OT-04_Numbers
Num	1	8	of Issachar, Nathanael the son of Zuar;	OT-04_Numbers
Num	1	9	of Zebulon, Eliab the son of Helon.	OT-04_Numbers
Num	1	10	And from the sons of Joseph: of Ephraim, Elishama the son of Ammihud; of Manasseh, Gamaliel the son of Pedahzur;	OT-04_Numbers
Num	1	11	of Benjamin, Abidan the son of Gideoni;	OT-04_Numbers
Num	1	12	of Dan, Ahiezer the son of Ammishaddai;	OT-04_Numbers
Num	1	13	of Asher, Pagiel the son of Ochran;	OT-04_Numbers
Num	1	14	of Gad, Eliasaph the son of Reuel;	OT-04_Numbers
Num	1	15	of Naphtali, Ahira the son of Enan.”	OT-04_Numbers
Num	1	16	These are the very noble leaders of the multitude, by their tribes and kinships, and the heads of the army of Israel.	OT-04_Numbers
Num	1	17	Moses and Aaron took these, with all the multitude of the common people,	OT-04_Numbers
Num	1	18	and they gathered them together on the first day of the second month, taking a census of them by kinships, and houses, and families, and heads, and the names of each one from twenty years and above,	OT-04_Numbers
Num	1	19	just as the Lord had instructed Moses. And they were numbered in the desert of Sinai.	OT-04_Numbers
Num	1	20	Of Ruben, the firstborn of Israel, by their generations and families and houses, and the names of each head, of all who were of the male sex, from twenty years and above, capable of going to war,	OT-04_Numbers
Num	1	21	there were forty-six thousand five hundred.	OT-04_Numbers
Num	1	22	Of the sons of Simeon, by their generations and families, and the houses of their kinships, having been counted by the names and heads of each one, of all who were of the male sex, from twenty years and above, capable of going to war,	OT-04_Numbers
Num	1	23	there were fifty-nine thousand three hundred.	OT-04_Numbers
Num	1	24	Of the sons of Gad, by their generations and families, and the houses of their kinships, having been counted by the names of each one, from twenty years and above, of all who could go forth to war,	OT-04_Numbers
Num	1	25	there were forty-five thousand six hundred fifty.	OT-04_Numbers
Num	1	26	Of the sons of Judah, by their generations and families, and the houses of their kinships, by the names of each one, from twenty years and above, of all who were able to go forth to war,	OT-04_Numbers
Num	1	27	there were counted seventy-four thousand six hundred.	OT-04_Numbers
Num	1	28	Of the sons of Issachar, by their generations and families, and the houses of their kinships, by the names of each one, from twenty years and above, of all who could go forth to war,	OT-04_Numbers
Num	1	29	there were counted fifty-four thousand four hundred.	OT-04_Numbers
Num	1	30	Of the sons of Zebulon, by their generations and families, and the houses of their kinships, having been counted by the names of each one, from twenty years and above, of all who were able to go forth to war,	OT-04_Numbers
Num	1	31	there were fifty-seven thousand four hundred.	OT-04_Numbers
Num	1	32	From the sons of Joseph, of the sons of Ephraim, by their generations and families, and the houses of their kinships, having been counted by the names of each one, from twenty years and above, of all who were able to go forth to war,	OT-04_Numbers
Num	1	33	there were forty thousand five hundred.	OT-04_Numbers
Num	1	34	Furthermore, of the sons of Manasseh, by their generations and families, and the houses of their kinships, having been counted by the names of each one, from twenty years and above, of all who were able to go forth to war,	OT-04_Numbers
Num	1	35	there were thirty-two thousand two hundred.	OT-04_Numbers
Num	1	36	Of the sons of Benjamin, by their generations and families, and the houses of their kinships, having been counted by the names of each one, from twenty years and above, of all who were able to go forth to war,	OT-04_Numbers
Num	1	37	there were thirty-five thousand four hundred.	OT-04_Numbers
Num	1	38	Of the sons of Dan, by their generations and families, and the houses of their kinships, having been counted by the names of each one, from twenty years and above, of all who were able to go forth to war,	OT-04_Numbers
Num	1	39	there were sixty-two thousand seven hundred.	OT-04_Numbers
Num	1	40	Of the sons of Asher, by their generations and families, and the houses of their kinships, having been counted by the names of each one, from twenty years and above, of all who were able to go forth to war,	OT-04_Numbers
Num	1	41	there were forty thousand and one thousand five hundred.	OT-04_Numbers
Num	1	42	Of the sons of Naphtali, by their generations and families, and the houses of their kinships, having been counted by the names of each one, from twenty years and above, of all who were able to go forth to war,	OT-04_Numbers
Num	1	43	there were fifty-three thousand four hundred.	OT-04_Numbers
Num	1	44	These are the ones who were numbered by Moses and Aaron and the twelve leaders of Israel, each one by the houses of their kinships.	OT-04_Numbers
Num	1	45	And the entire number of the sons of Israel by their houses and families, from twenty years and above, who were able to go forth to war, were	OT-04_Numbers
Num	1	46	six hundred three thousand five hundred fifty men.	OT-04_Numbers
Num	1	47	But the Levites in the tribes of their families were not numbered with them.	OT-04_Numbers
Num	1	48	And the Lord spoke to Moses, saying:	OT-04_Numbers
Num	1	49	“Do not number the tribe of Levi, neither shall you take a total of them with the sons of Israel.	OT-04_Numbers
Num	1	50	But appoint them over the tabernacle of the testimony, and all its vessels, and whatever pertains to the ceremonies. They shall carry the tabernacle and all its articles. And they shall be for the ministry, and they shall encamp all around the tabernacle.	OT-04_Numbers
Num	1	51	When you would depart, the Levites shall take down the tabernacle. When you are to make camp, they shall set it up. Any outsider who will approach it shall be killed.	OT-04_Numbers
Num	1	52	Now the sons of Israel shall make camp, each one by his companies and bands, as well as his army.	OT-04_Numbers
Num	1	53	Moreover, the Levites shall fix their tents all around the tabernacle, lest there be an indignation over the multitude of the sons of Israel. And they shall stand watch as guardians over the tabernacle of the testimony.”	OT-04_Numbers
Num	1	54	Therefore, the sons of Israel acted according to everything that the Lord had instructed Moses. [ Numbers 2 ]	OT-04_Numbers
Num	2	1	And the Lord spoke to Moses and Aaron, saying:	OT-04_Numbers
Num	2	2	“Each one shall make camp, by their troops, as well as by their insignia and standards, and by the houses of their kinships, all around the tabernacle of the covenant.”	OT-04_Numbers
Num	2	3	To the east, Judah shall fix his tents, by the companies of his army. And the leader of his sons shall be Nahshon the son of Amminadab.	OT-04_Numbers
Num	2	4	And the entire total of the fighting men from his stock was seventy-four thousand six hundred.	OT-04_Numbers
Num	2	5	Beside him, those of the tribe of Issachar were encamped, whose leader was Nathanael the son of Zuar.	OT-04_Numbers
Num	2	6	And the entire number of his fighting men was fifty-four thousand four hundred.	OT-04_Numbers
Num	2	7	In the tribe of Zebulon, the leader was Eliab the son of Helon.	OT-04_Numbers
Num	2	8	All the army of fighting men from his stock were fifty-seven thousand four hundred.	OT-04_Numbers
Num	2	9	All who were numbered in the camp of Judah were one hundred eighty-six thousand four hundred. And these, by their companies, shall go forth first.	OT-04_Numbers
Num	2	10	In the camp of the sons of Ruben, toward the south side, the leader shall be Elizur the son of Shedeur.	OT-04_Numbers
Num	2	11	And the entire army of his fighting men, who were numbered, were forty-six thousand five hundred.	OT-04_Numbers
Num	2	12	Beside him, those of the tribe of Simeon were encamped, whose leader was Shelumiel the son of Zurishaddai.	OT-04_Numbers
Num	2	13	And the entire army of his fighting men, who were numbered, were fifty-nine thousand three hundred.	OT-04_Numbers
Num	2	14	In the tribe of Gad, the leader was Eliasaph the son of Reuel.	OT-04_Numbers
Num	2	15	And the entire army of his fighting men, who were numbered, were forty-five thousand six hundred fifty.	OT-04_Numbers
Num	2	16	All who were counted in the camp of Ruben were one hundred fifty thousand and one thousand four hundred fifty, by their companies. These shall advance in the second place.	OT-04_Numbers
Num	2	17	But the tabernacle of the testimony shall be lifted up by the officers of the Levites and their companies. In the manner in which it is set up, so also shall it be taken down. Each one shall advance according to their places and ranks.	OT-04_Numbers
Num	2	18	On the west side, there shall be the camp of the sons of Ephraim, whose leader was Elishama the son of Ammihud.	OT-04_Numbers
Num	2	19	The entire army of his fighting men, who were numbered, were forty thousand five hundred.	OT-04_Numbers
Num	2	20	And with them was the tribe of the sons of Manasseh, whose leader was Gamaliel the son of Pedahzur.	OT-04_Numbers
Num	2	21	And the entire army of his fighting men, who were numbered, were thirty-two thousand two hundred.	OT-04_Numbers
Num	2	22	In the tribe of the sons of Benjamin, the leader was Abidan the son of Gideoni.	OT-04_Numbers
Num	2	23	And the entire army of his fighting men, who were counted, were thirty-five thousand four hundred.	OT-04_Numbers
Num	2	24	All who were numbered in the camp of Ephraim were one hundred eight thousand one hundred, by their companies. These shall advance third.	OT-04_Numbers
Num	2	25	Toward the north side, the sons of Dan were encamped, whose leader was Ahiezer the son of Ammishaddai.	OT-04_Numbers
Num	2	26	The entire army of his fighting men, who were numbered, were sixty-two thousand seven hundred.	OT-04_Numbers
Num	2	27	Beside him, those of the tribe of Asher fixed their tents, whose leader was Pagiel the son of Ochran.	OT-04_Numbers
Num	2	28	The entire army of his fighting men, who were numbered, were forty thousand and one thousand five hundred.	OT-04_Numbers
Num	2	29	From the tribe of the sons of Naphtali, the leader was Ahira the son of Enan.	OT-04_Numbers
Num	2	30	The entire army of his fighting men were fifty-three thousand four hundred.	OT-04_Numbers
Num	2	31	All who were numbered in the camp of Dan were one hundred fifty-seven thousand six hundred; and these shall advance at the very end.	OT-04_Numbers
Num	2	32	This is the number of the sons of Israel, of their army divided by the houses of their kinships and their companies: six hundred three thousand five hundred fifty.	OT-04_Numbers
Num	2	33	But the Levites were not numbered among the sons of Israel. For so the Lord had instructed Moses.	OT-04_Numbers
Num	2	34	And the sons of Israel acted according to all the things that the Lord had commanded. They were encamped by their companies, and they advanced by the families and houses of their fathers. [ Numbers 3 ]	OT-04_Numbers
Num	3	1	These are the generations of Aaron and Moses, in the day when the Lord spoke to Moses on mount Sinai.	OT-04_Numbers
Num	3	2	And these are the names of the sons of Aaron: his firstborn Nadab, then Abihu, and Eleazar, and Ithamar.	OT-04_Numbers
Num	3	3	These are the names of the sons of Aaron, the priests who were anointed and whose hands were filled and consecrated in order to exercise the priesthood.	OT-04_Numbers
Num	3	4	For Nadab and Abihu died without children, when they offered, in the sight of the Lord, a strange fire, in the desert of Sinai. And so, Eleazar and Ithamar exercised the priesthood in the sight of Aaron, their father.	OT-04_Numbers
Num	3	5	And the Lord spoke to Moses, saying:	OT-04_Numbers
Num	3	6	“Bring forward the tribe of Levi, and cause them to stand in the sight of Aaron the priest, in order to minister to him. And let them keep watch outside,	OT-04_Numbers
Num	3	7	and let them observe whatever pertains to the ritual for the multitude, in front of the tabernacle of the testimony,	OT-04_Numbers
Num	3	8	and let them take care of the vessels of the tabernacle, serving in its ministry.	OT-04_Numbers
Num	3	9	And you shall give the Levites as a gift to Aaron and his sons; for they have been delivered to them by the sons of Israel.	OT-04_Numbers
Num	3	10	But you shall appoint Aaron and his sons over the service of the priesthood. The outsider who approaches to minister shall be put to death.”	OT-04_Numbers
Num	3	11	And the Lord spoke to Moses, saying:	OT-04_Numbers
Num	3	12	“I have taken the Levites from the sons of Israel. For the Levites, and all the firstborn who open the womb among the sons of Israel, shall be mine.	OT-04_Numbers
Num	3	13	For every firstborn is mine. From the time that I struck the firstborn in the land of Egypt, I have sanctified for myself whatever is born first in Israel. From man, even to beast, they are mine. I am the Lord.”	OT-04_Numbers
Num	3	14	And the Lord spoke to Moses in the desert of Sinai, saying:	OT-04_Numbers
Num	3	15	“Number the sons of Levi by the houses of their fathers and their families, every male from one month and above.”	OT-04_Numbers
Num	3	16	Moses numbered them, just as the Lord had instructed,	OT-04_Numbers
Num	3	17	and there were found the sons of Levi by their names: Gershon and Kohath and Merari.	OT-04_Numbers
Num	3	18	The sons of Gershon: Libni and Shimei.	OT-04_Numbers
Num	3	19	The sons of Kohath: Amram, and Izhar, Hebron and Uzziel.	OT-04_Numbers
Num	3	20	The sons of Merari: Mahli and Mushi.	OT-04_Numbers
Num	3	21	From Gershon were two families: the Libnites, and the Shimeites.	OT-04_Numbers
Num	3	22	The people of these were numbered, of the male sex, from one month and above: seven thousand five hundred.	OT-04_Numbers
Num	3	23	These shall encamp behind the tabernacle, toward the west,	OT-04_Numbers
Num	3	24	under the leader Eliasaph the son of Lael.	OT-04_Numbers
Num	3	25	And they shall keep watch over the tabernacle of the covenant:	OT-04_Numbers
Num	3	26	the tabernacle itself, and its covering; the tent that is drawn before the doors of the covering of the covenant; and the curtains of the atrium; likewise, the tent that is suspended at the entrance of the atrium of the tabernacle; and whatever pertains to the ritual of the altar; the cords of the tabernacle and all its implements.	OT-04_Numbers
Num	3	27	The kinship of Kohath includes the peoples of the Amramites and Izharites and Hebronites and Uzzielites. These are the families of the Kohathites, having been counted by their names,	OT-04_Numbers
Num	3	28	all those of the male gender, from one month and above: eight thousand six hundred. They shall keep watch over the Sanctuary,	OT-04_Numbers
Num	3	29	and they shall encamp toward the south side.	OT-04_Numbers
Num	3	30	And their leader shall be Elisaphan the son of Uzziel.	OT-04_Numbers
Num	3	31	And they shall take care of the ark, and the table and the lampstand, the altars and the vessels of the Sanctuary, by which they minister, and the veil, and all the articles of this kind.	OT-04_Numbers
Num	3	32	But the leader of the leaders of the Levites, Eleazar the son of Aaron the priest, shall be over those who watch over the care of the Sanctuary.	OT-04_Numbers
Num	3	33	And truly, from Merari are the peoples of the Mahlites and Mushites, having been counted by their names,	OT-04_Numbers
Num	3	34	all those of the male gender, from one month and above: six thousand two hundred.	OT-04_Numbers
Num	3	35	Their leader is Suriel the son of Abihaiel. They shall make camp on the north side.	OT-04_Numbers
