book	chapter	verse	text	usfm
Esth	1	1	In the second year of the reign of Artaxerxes the great, on the first day of the month of Nisan, Mordecai the son of Jair, the son of Shimei, the son of Kish, of the tribe of Benjamin,	OT-19_Esther
Esth	1	2	a Jewish man who lived in the city of Susa, a great gentleman, and among the first ones of the king’s court, saw a dream.	OT-19_Esther
Esth	1	3	Now he was one of a number of captives, whom Nebuchadnezzar king of Babylon had carried away from Jerusalem with Jeconiah king of Judah.	OT-19_Esther
Esth	1	4	And this was his dream: voices appeared, and confusion, and thunders, and earthquakes, and a disturbance upon the earth.	OT-19_Esther
Esth	1	5	And behold, there were two great dragons making preparations against one another for battle.	OT-19_Esther
Esth	1	6	And at their cry all peoples rushed forth to fight against the nation of the just.	OT-19_Esther
Esth	1	7	And that was a day of darkness and division, of tribulation and anguish, and there was an unnatural dread over the earth.	OT-19_Esther
Esth	1	8	And the nation of the just was disturbed, fearing their own evils, and was prepared for death.	OT-19_Esther
Esth	1	9	And they cried out to God, and from their loud crying, a little fountain grew into a very great river and overflowed into many waters.	OT-19_Esther
Esth	1	10	The light and the sun rose up, and the humble were exalted, and they devoured the illustrious.	OT-19_Esther
Esth	1	11	When Mordecai had seen this, and he arose from bed, he was considering what God might want to do, and he kept it fixed in his soul, desiring to know what the dream might signify. [ Esther 2 ]	OT-19_Esther
Esth	2	1	Now he was staying at that time in the king’s court with Bagatha and Thara the king’s eunuchs, who were porters of the palace.	OT-19_Esther
Esth	2	2	And when he realized their thoughts, and had diligently paid close attention, he learned that they were attempting to cast their hand against king Artaxerxes, and he reported this to the king.	OT-19_Esther
Esth	2	3	Then the king had both of them questioned, and when they confessed, he ordered a sentence of death.	OT-19_Esther
Esth	2	4	But the king had what had happened written in the commentaries. And even Mordecai handed over the memory of these things into writing.	OT-19_Esther
Esth	2	5	And the king instructed him to remain in the court of the palace, having given him this position for the information.	OT-19_Esther
Esth	2	6	In truth, Haman the son of Hammedatha the Bougaean had great honor in the eyes of the king, and he wanted to harm Mordecai and his people because of the two eunuchs of the king who had been executed. [ Esther 3 ]	OT-19_Esther
Esth	3	1	In the days of Artaxerxes, who reigned from India to Ethiopia over one hundred twenty-seven provinces,	OT-19_Esther
Esth	3	2	when he sat on the throne of his kingdom, the city of Susa was the root of his kingdom.	OT-19_Esther
Esth	3	3	And so, in the third year of his reign, he made a great feast for all the leaders and his servants, for the most powerful among the Persians and the distinguished among the Medes, and for the rulers of the provinces before him,	OT-19_Esther
Esth	3	4	so that he might show the glorious riches of his kingdom, as well as its greatness, and so boast of his power, for a long time, namely, one hundred and eighty days.	OT-19_Esther
