book	chapter	verse	text	usfm
Job	1	1	There was a man in the land of Uz named Job, and he was a simple and honest man, fearing God and withdrawing from evil.	OT-20_Job
Job	1	2	And there had been born to him seven sons and three daughters.	OT-20_Job
Job	1	3	And his possession was seven thousand sheep, and three thousand camels, along with five hundred pairs of oxen and five hundred she-donkeys, and also a very large family. And this man was great among all the people of the east.	OT-20_Job
Job	1	4	And his sons went and made a feast by houses, each one on his day. And sending, they called their three sisters to eat and drink with them.	OT-20_Job
Job	1	5	And when the days of their feasting had been completed, Job sent to them and sanctified them, and, getting up at dawn, he offered holocausts for each one. For he said, “Perhaps my sons have sinned and have not praised God in their hearts.” So Job did all the days.	OT-20_Job
Job	1	6	But on a certain day, when the sons of God came to attend in the presence of the Lord, Satan also arrived among them.	OT-20_Job
Job	1	7	The Lord said to him, “Where do you come from?” Answering, he said, “I have circled the land, and walked around in it.”	OT-20_Job
Job	1	8	And the Lord said to him, “Have you not considered my servant, Job? For there is no one like him in the land, a simple and honest man, fearing God and withdrawing from evil.”	OT-20_Job
Job	1	9	Answering him, Satan said, “Does Job fear God to no purpose?	OT-20_Job
Job	1	10	Have you not fortified him, as well as his house and every one of his belongings around him, blessed the works of his hands, and his possession has increased in the land?	OT-20_Job
Job	1	11	But extend your hand a little, and touch all that he possesses, and see if he still praises you to your face.”	OT-20_Job
Job	1	12	Therefore, the Lord said to Satan, “Behold, everything that he has is in your hand, only do not extend your hand against him.” And Satan departed from the face of the Lord.	OT-20_Job
Job	1	13	So, on a certain day, when his sons and daughters were eating and drinking wine, in the house of their first-born brother,	OT-20_Job
Job	1	14	a messenger came to Job, who said, “The oxen were plowing, and the donkeys were grazing beside them,	OT-20_Job
Job	1	15	and the Sabeans rushed in and carried away everything, and they struck the servants with the sword; and I alone evaded them to tell you.”	OT-20_Job
Job	1	16	And while he was still speaking, another arrived, and he said, “The fire of God fell from heaven, and, having struck the sheep and the servants, it consumed them; and I alone escaped to tell you.”	OT-20_Job
Job	1	17	And while he also was still speaking, another arrived, and he said, “The Chaldeans organized three attacks, and advanced on the camels and took them; and not only that, but they have struck the servants with the sword; and I alone fled to tell you.”	OT-20_Job
Job	1	18	He was still speaking, and behold, another entered, and he said, “Your sons and daughters were feasting and drinking wine in the house of their first-born brother,	OT-20_Job
Job	1	19	when suddenly a severe wind rushed forth from a region of the desert and shook the four corners of the house, which collapsed and crushed your children, and they are dead; and I alone escaped to tell you.”	OT-20_Job
Job	1	20	Then Job got up and tore his garments, and, having shaved his head, he collapsed on the ground, and worshipped,	OT-20_Job
Job	1	21	and he said, “Naked I departed from my mother’s womb, and naked I shall return. The Lord gave, and the Lord has taken away. Just as it pleased the Lord, so has it been done. Blessed be the name of the Lord.”	OT-20_Job
Job	1	22	In all this, Job did not sin by his lips, nor did he speak any foolish thing against God. [ Job 2 ]	OT-20_Job
Job	2	1	But it happened that, on a certain day, when the sons of God had arrived and they stood before the Lord, Satan likewise arrived among them, and he stood in his sight.	OT-20_Job
Job	2	2	So the Lord said to Satan, “Where do you come from?” Answering, he said, “I have circled the land, and walked around in it.”	OT-20_Job
Job	2	3	And the Lord said to Satan, “Have you not considered my servant, Job, that there is no one like him in the land, a simple and honest man, fearing God and withdrawing from evil, and still retaining his innocence? Yet you have stirred me against him, so that I would afflict him to no purpose.”	OT-20_Job
Job	2	4	Answering him, Satan said, “Skin for skin; and everything that a man has, he will give for his life.	OT-20_Job
Job	2	5	Yet send your hand and touch his bone and his flesh, and then you will see whether or not he blesses you to your face.”	OT-20_Job
Job	2	6	Therefore, the Lord said to Satan, “Behold, he is in your hand, but even so, spare his life.”	OT-20_Job
Job	2	7	And so, Satan departed from the face of the Lord and he struck Job with a very serious ulcer from the sole of the foot all the way to the crown of his head.	OT-20_Job
Job	2	8	So he took a shard of earthenware and scraped the discharge, while sitting on a heap of refuse.	OT-20_Job
Job	2	9	But his wife said to him, “Do you still continue in your simplicity? Bless God and die.”	OT-20_Job
