book	chapter	verse	text	usfm
Ps	1	1	Blessed is the man who has not followed the counsel of the impious, and has not remained in the way of sinners, and has not sat in the chair of pestilence.	OT-21_Psalms
Ps	1	2	But his will is with the law of the Lord, and he will meditate on his law, day and night.	OT-21_Psalms
Ps	1	3	And he will be like a tree that has been planted beside running waters, which will provide its fruit in its time, and its leaf will not fall away, and all things whatsoever that he does will prosper.	OT-21_Psalms
Ps	1	4	Not so the impious, not so. For they are like the dust that the wind casts along the face of the earth.	OT-21_Psalms
Ps	1	5	Therefore, the impious will not prevail again in judgment, nor sinners in the council of the just.	OT-21_Psalms
Ps	1	6	For the Lord knows the way of the just. And the path of the impious will pass away. [ Psalm 2 ]	OT-21_Psalms
Ps	2	1	Why have the Gentiles been seething, and why have the people been pondering nonsense?	OT-21_Psalms
Ps	2	2	The kings of the earth have stood up, and the leaders have joined together as one, against the Lord and against his Christ:	OT-21_Psalms
Ps	2	3	“Let us shatter their chains and cast their yoke away from us.”	OT-21_Psalms
Ps	2	4	He who dwells in heaven will ridicule them, and the Lord will mock them.	OT-21_Psalms
Ps	2	5	Then will he speak to them in his anger and trouble them with his fury.	OT-21_Psalms
Ps	2	6	Yet I have been appointed king by him over Zion, his holy mountain, preaching his precepts.	OT-21_Psalms
Ps	2	7	The Lord has said to me: You are my son, this day have I begotten you.	OT-21_Psalms
Ps	2	8	Ask of me and I will give to you: the Gentiles for your inheritance, and the ends of the earth for your possession.	OT-21_Psalms
Ps	2	9	You will rule them with an iron rod, and you will shatter them like a potter’s vessel.	OT-21_Psalms
Ps	2	10	And now, O kings, understand. Receive instruction, you who judge the earth.	OT-21_Psalms
Ps	2	11	Serve the Lord in fear, and exult in him with trembling.	OT-21_Psalms
Ps	2	12	Embrace discipline, lest at any time the Lord might become angry, and you would perish from the way of the just.	OT-21_Psalms
Ps	2	13	Though his wrath can flare up in a short time, blessed are all those who trust in him. [ Psalm 3 ]	OT-21_Psalms
Ps	3	1	A Psalm of David. When he fled from the face of his son, Absalom.	OT-21_Psalms
Ps	3	2	Lord, why have those who trouble me been multiplied? Many rise up against me.	OT-21_Psalms
Ps	3	3	Many say to my soul, “There is no salvation for him in his God.”	OT-21_Psalms
Ps	3	4	But you, Lord, are my supporter, my glory, and the one who raises up my head.	OT-21_Psalms
Ps	3	5	I have cried out to the Lord with my voice, and he has heard me from his holy mountain.	OT-21_Psalms
Ps	3	6	I have slept, and I have been stupefied. But I awakened because the Lord has taken me up.	OT-21_Psalms
Ps	3	7	I will not fear the thousands of people surrounding me. Rise up, Lord. Save me, my God.	OT-21_Psalms
Ps	3	8	For you have struck all those who oppose me without cause. You have broken the teeth of sinners.	OT-21_Psalms
Ps	3	9	Salvation is of the Lord, and your blessing is upon your people. [ Psalm 4 ]	OT-21_Psalms
Ps	4	1	In parts according to verses. A Psalm of David.	OT-21_Psalms
Ps	4	2	When I called upon him, the God of my justice heeded me. In tribulation, you have enlarged me. Have mercy on me, and heed my prayer.	OT-21_Psalms
Ps	4	3	Sons of men, how long will you be dull in heart, so that whatever you love is in vain, and whatever you seek is false?	OT-21_Psalms
Ps	4	4	And know this: the Lord has made wondrous his holy one. The Lord will heed me when I cry out to him.	OT-21_Psalms
Ps	4	5	Be angry, and do not be willing to sin. The things that you say in your hearts: be sorry for them on your beds.	OT-21_Psalms
Ps	4	6	Offer the sacrifice of justice, and hope in the Lord. Many say, “Who reveals to us what is good?”	OT-21_Psalms
Ps	4	7	The light of your countenance, Lord, has been sealed upon us. You have given joy to my heart.	OT-21_Psalms
Ps	4	8	By the fruit of their grain, wine, and oil, they have been multiplied.	OT-21_Psalms
Ps	4	9	In peace itself, I will sleep and I will rest.	OT-21_Psalms
Ps	4	10	For you, O Lord, have established me singularly in hope. [ Psalm 5 ]	OT-21_Psalms
Ps	5	1	Unto the end. For her who pursues the inheritance. A Psalm of David.	OT-21_Psalms
Ps	5	2	O Lord, listen closely to my words. Understand my outcry.	OT-21_Psalms
Ps	5	3	Attend to the voice of my prayer, my King and my God.	OT-21_Psalms
Ps	5	4	For to you, I will pray. In the morning, Lord, you will hear my voice.	OT-21_Psalms
Ps	5	5	In the morning, I will stand before you, and I will see. For you are not a God who wills iniquity.	OT-21_Psalms
Ps	5	6	And the malicious will not dwell close to you, nor will the unjust endure before your eyes.	OT-21_Psalms
Ps	5	7	You hate all who work iniquity. You will destroy all who speak a lie. The bloody and deceitful man, the Lord will abominate.	OT-21_Psalms
Ps	5	8	But I am in the multitude of your mercy. I will enter your house. I will show adoration toward your holy temple, in your fear.	OT-21_Psalms
Ps	5	9	Lord, lead me in your justice. Because of my enemies, direct my way in your sight.	OT-21_Psalms
Ps	5	10	For there is no truth in their mouth: their heart is vain.	OT-21_Psalms
Ps	5	11	Their throat is an open sepulcher. They have acted deceitfully with their tongues. Judge them, O God. Let them fall by their own intentions: according to the multitude of their impiety, expel them. For they have provoked you, O Lord.	OT-21_Psalms
Ps	5	12	But let all those who hope in you rejoice. They will exult in eternity, and you will dwell in them. And all those who love your name will glory in you.	OT-21_Psalms
Ps	5	13	For you will bless the just. You have crowned us, O Lord, as if with a shield of your good will. [ Psalm 6 ]	OT-21_Psalms
Ps	6	1	In parts according to verses. A Psalm of David. For the octave.	OT-21_Psalms
Ps	6	2	O Lord, do not rebuke me in your fury, nor chastise me in your anger.	OT-21_Psalms
Ps	6	3	Have mercy on me, Lord, for I am weak. Heal me, Lord, for my bones have become disturbed,	OT-21_Psalms
Ps	6	4	and my soul has been very troubled. But as for you, Lord, when?	OT-21_Psalms
Ps	6	5	Turn to me, Lord, and rescue my soul. Save me because of your mercy.	OT-21_Psalms
Ps	6	6	For there is no one in death who would be mindful of you. And who will confess to you in Hell?	OT-21_Psalms
Ps	6	7	I have labored in my groaning. Every night, with my tears, I will wash my bed and drench my blanket.	OT-21_Psalms
Ps	6	8	My eye has been troubled by rage. I have grown old among all my enemies.	OT-21_Psalms
Ps	6	9	Scatter before me, all you who work iniquity, for the Lord has heard the voice of my weeping.	OT-21_Psalms
Ps	6	10	The Lord has heard my supplication. The Lord has accepted my prayer.	OT-21_Psalms
Ps	6	11	Let all my enemies be ashamed and together be greatly troubled. May they be converted and become ashamed very quickly. [ Psalm 7 ]	OT-21_Psalms
Ps	7	1	A Psalm of David, which he sang to the Lord because of the words of Cush, the son of Jemini.	OT-21_Psalms
Ps	7	2	O Lord, my God, in you I have hoped. Save me from all those who persecute me, and free me:	OT-21_Psalms
Ps	7	3	lest at any time, like a lion, he might seize my soul, while there is no one to redeem me, nor any who can save.	OT-21_Psalms
Ps	7	4	O Lord, my God, if there is iniquity in my hands, if I have done this:	OT-21_Psalms
Ps	7	5	if I have repaid those who rendered evils to me, may I deservedly fall away empty before my enemies:	OT-21_Psalms
Ps	7	6	let the enemy pursue my soul, and take hold of it, and trample my life into the earth, and drag down my glory into the dust.	OT-21_Psalms
Ps	7	7	Rise up, Lord, in your anger. And be exalted to the borders of my enemies. And rise up, O Lord my God, according to the precept that you commanded,	OT-21_Psalms
Ps	7	8	and a congregation of people will surround you. And, because of this, return on high.	OT-21_Psalms
Ps	7	9	The Lord judges the people. Judge me, O Lord, according to my justice and according to my innocence within me.	OT-21_Psalms
Ps	7	10	The wickedness of sinners will be consumed, and you will direct the just: the examiner of hearts and temperaments is God.	OT-21_Psalms
Ps	7	11	Just is my help from the Lord, who saves the upright of heart.	OT-21_Psalms
Ps	7	12	God is a just judge, strong and patient. How could he be angry throughout every day?	OT-21_Psalms
Ps	7	13	Unless you will be converted, he will brandish his sword. He has extended his bow and made it ready.	OT-21_Psalms
Ps	7	14	And with it, he has prepared instruments of death. He has produced his arrows for those on fire.	OT-21_Psalms
Ps	7	15	Behold him who has given birth to injustice: he has conceived sorrow and has begotten iniquity.	OT-21_Psalms
Ps	7	16	He has opened a pit and enlarged it. And he has fallen into the hole that he made.	OT-21_Psalms
Ps	7	17	His sorrow will be turned upon his own head, and his iniquity will descend upon his highest point.	OT-21_Psalms
Ps	7	18	I will confess to the Lord according to his justice, and I will sing a psalm to the name of the Lord Most High. [ Psalm 8 ]	OT-21_Psalms
Ps	8	1	Unto the end. For the oil and wine presses. A Psalm of David.	OT-21_Psalms
Ps	8	2	O Lord, our Lord, how admirable is your name throughout all the earth! For your magnificence is elevated above the heavens.	OT-21_Psalms
Ps	8	3	Out of the mouths of babes and infants, you have perfected praise, because of your enemies, so that you may destroy the enemy and the revenger.	OT-21_Psalms
Ps	8	4	For I will behold your heavens, the works of your fingers: the moon and the stars, which you have founded.	OT-21_Psalms
Ps	8	5	What is man, that you are mindful of him, or the son of man, that you visit him?	OT-21_Psalms
Ps	8	6	You reduced him to a little less than the Angels; you have crowned him with glory and honor,	OT-21_Psalms
Ps	8	7	and you have set him over the works of your hands.	OT-21_Psalms
Ps	8	8	You have subjected all things under his feet, all sheep and oxen, and in addition: the beasts of the field,	OT-21_Psalms
Ps	8	9	the birds of the air, and the fish of the sea, which pass through the paths of the sea.	OT-21_Psalms
Ps	8	10	O Lord, our Lord, how admirable is your name throughout all the earth! [ Psalm 9 ] (9 - 10)	OT-21_Psalms
Ps	9	1	Unto the end. For the secrets of the Son. A Psalm of David.	OT-21_Psalms
Ps	9	2	I will confess to you, Lord, with my whole heart. I will recount all your wonders.	OT-21_Psalms
Ps	9	3	I will rejoice and exult in you. I will sing a psalm to your name, O Most High.	OT-21_Psalms
Ps	9	4	For my enemy will be turned back. They will be weakened and perish before your face.	OT-21_Psalms
Ps	9	5	For you have accomplished my judgment and my cause. You have sat upon the throne that judges justice.	OT-21_Psalms
Ps	9	6	You have rebuked the Gentiles, and the impious one has perished. You have deleted their name in eternity and for all generations.	OT-21_Psalms
Ps	9	7	The spears of the enemy have failed in the end, and their cities, you have destroyed. Their memory has perished with a loud noise.	OT-21_Psalms
Ps	9	8	But the Lord remains in eternity. He has prepared his throne in judgment.	OT-21_Psalms
Ps	9	9	And he will judge the whole world in equity. He will judge the people in justice.	OT-21_Psalms
Ps	9	10	And the Lord has become a refuge for the poor, a helper in opportunity, in tribulation.	OT-21_Psalms
Ps	9	11	And may they hope in you, who know your name. For you have not abandoned those seeking you, Lord.	OT-21_Psalms
Ps	9	12	Sing a psalm to the Lord, who dwells in Zion. Announce his study among the Gentiles.	OT-21_Psalms
Ps	9	13	Because of those who yearned for their blood, he has remembered them. He has not forgotten the cry of the poor.	OT-21_Psalms
Ps	9	14	Have mercy on me, Lord. See my humiliation from my enemies.	OT-21_Psalms
Ps	9	15	You lift me up from the gates of death, so that I may announce all your praises at the gates of the daughter of Zion.	OT-21_Psalms
Ps	9	16	I will exult in your salvation. The Gentiles have become trapped in the ruin that they made. Their foot has been caught in the same snare that they themselves had hidden.	OT-21_Psalms
Ps	9	17	The Lord will be recognized when making judgments. The sinner has been caught in the works of his own hands.	OT-21_Psalms
Ps	9	18	The sinners will be turned into Hell: all the Gentiles who have forgotten God.	OT-21_Psalms
Ps	9	19	For the poor will not be forgotten in the end. The patience of the poor will not perish in the end.	OT-21_Psalms
Ps	9	20	Rise up, Lord: do not let man be strengthened. Let the Gentiles be judged in your sight.	OT-21_Psalms
Ps	9	21	O Lord, establish a lawgiver over them, so that the Gentiles may know that they are only men.	OT-21_Psalms
Ps	9	22	So then, why, O Lord, have you withdrawn far away? Why have you overlooked us in opportunity, in tribulation?	OT-21_Psalms
Ps	9	23	While the impious is arrogant, the poor is enflamed. They are held by the counsels that they devise.	OT-21_Psalms
Ps	9	24	For the sinner is praised by the desires of his soul, and the iniquitous is blessed.	OT-21_Psalms
Ps	9	25	The sinner has provoked the Lord; according to the multitude of his wrath, he will not seek him.	OT-21_Psalms
Ps	9	26	God is not before his sight. His ways are stained at all times. Your judgments are removed from his face. He will be master of all his enemies.	OT-21_Psalms
Ps	9	27	For he has said in his heart, “I will not be disturbed: from generation to generation without evil.”	OT-21_Psalms
Ps	9	28	His mouth is full of curses, and bitterness, and deceit. Under his tongue are hardship and sorrow.	OT-21_Psalms
Ps	9	29	He sits in ambush, with resources in hidden places, so that he may execute the innocent.	OT-21_Psalms
Ps	9	30	His eyes catch sight of the poor. He lies in ambush, in hiding like a lion in his den. He lies in ambush, so that he may seize the poor, to seize the poor as he draws him in.	OT-21_Psalms
Ps	9	31	With his snare, he will bring him down. He will crouch down and pounce, when he has power over the poor.	OT-21_Psalms
Ps	9	32	For he has said in his heart, “God has forgotten, he has turned away his face, lest he see to the end.”	OT-21_Psalms
Ps	9	33	O Lord God, rise up. Let your hand be exalted. Do not forget the poor.	OT-21_Psalms
Ps	9	34	How has the impious one provoked God? For he has said in his heart, “He will not inquire.”	OT-21_Psalms
Ps	9	35	You do see, for you examine hardship and sorrow, so that you may deliver them into your hands. The poor one has been abandoned to you. You will be a helper to the orphan.	OT-21_Psalms
Ps	9	36	Break the arm of the sinner and the malicious. His sin will be sought, and it will not be found.	OT-21_Psalms
Ps	9	37	The Lord shall reign in eternity, even forever and ever. You will perish the Gentiles from his land.	OT-21_Psalms
Ps	9	38	The Lord has heeded the desire of the poor. Your ear has listened to the preparation of their heart,	OT-21_Psalms
Ps	9	39	so as to judge for the orphan and the humble, so that man may no longer presume to magnify himself upon the earth. [ Psalm 10 ] (11)	OT-21_Psalms
Ps	10	1	Unto the end. A Psalm of David.	OT-21_Psalms
Ps	10	2	I trust in the Lord. How can you say to my soul, “Sojourn to the mountain, like a sparrow.”	OT-21_Psalms
Ps	10	3	For behold, the sinners have bent their bow. They have prepared their arrows in the quiver, so as to shoot arrows in the dark at the upright of heart.	OT-21_Psalms
Ps	10	4	For they have destroyed the things that you have completed. But what has the just one done?	OT-21_Psalms
Ps	10	5	The Lord is in his holy temple. The Lord’s throne is in heaven. His eyes look upon the poor. His eyelids question the sons of men.	OT-21_Psalms
Ps	10	6	The Lord questions the just and the impious. Yet he who loves iniquity, hates his own soul.	OT-21_Psalms
Ps	10	7	He will rain down snares upon sinners. Fire and brimstone and windstorms will be the portion of their cup.	OT-21_Psalms
Ps	10	8	For the Lord is just, and he has chosen justice. His countenance has beheld equity. [ Psalm 11 ] (12)	OT-21_Psalms
Ps	11	1	Unto the end. For the octave. A Psalm of David.	OT-21_Psalms
Ps	11	2	Save me, O Lord, because holiness has passed away, because truths have been diminished, before the sons of men.	OT-21_Psalms
Ps	11	3	They have been speaking emptiness, each one to his neighbor; they have been speaking with deceitful lips and a duplicitous heart.	OT-21_Psalms
Ps	11	4	May the Lord scatter all deceitful lips, along with the tongue that speaks malice.	OT-21_Psalms
Ps	11	5	They have said: “We will magnify our tongue; our lips belong to us. Who is our Lord?”	OT-21_Psalms
Ps	11	6	Because of the misery of the destitute and the groaning of the poor, now I will arise, says the Lord. I will place him in safety. I will act faithfully toward him.	OT-21_Psalms
Ps	11	7	The eloquence of the Lord is pure eloquence, silver tested by fire, purged from the earth, refined seven times.	OT-21_Psalms
Ps	11	8	You, O Lord, will preserve us, and you will guard us from this generation into eternity.	OT-21_Psalms
Ps	11	9	The impious wander aimlessly. According to your loftiness, you have multiplied the sons of men. [ Psalm 12 ] (13)	OT-21_Psalms
Ps	12	1	Unto the end. A Psalm of David. How long, O Lord? Will you forget me until the end? How long will you turn your face away from me?	OT-21_Psalms
Ps	12	2	How long can I take counsel in my soul, sorrowing in my heart throughout the day?	OT-21_Psalms
Ps	12	3	How long will my enemy be exalted over me?	OT-21_Psalms
Ps	12	4	Look upon me and listen to me, O Lord my God. Enlighten my eyes, lest I fall asleep forever in death,	OT-21_Psalms
Ps	12	5	lest at any time my enemy may say, “I have prevailed against him.” Those who trouble me will exult, if I have been disturbed.	OT-21_Psalms
Ps	12	6	But I have hoped in your mercy. My heart will exult in your salvation. I will sing to the Lord, who assigns good things to me. And I will sing psalms to the name of the Lord Most High. [ Psalm 13 ] (14)	OT-21_Psalms
Ps	13	1	Unto the end. A Psalm of David. The fool has said in his heart, “There is no God.” They were corrupted, and they have become abominable in their studies. There is no one who does good; there is not even one.	OT-21_Psalms
Ps	13	2	The Lord has looked down from heaven upon the sons of men, to see if there were any who were considering or seeking God.	OT-21_Psalms
Ps	13	3	They have all gone astray; together they have become useless. There is no one who does good; there is not even one.	OT-21_Psalms
Ps	13	4	Their throat is an open sepulcher. With their tongues, they have been acting deceitfully; the venom of asps is under their lips. Their mouth is full of curses and bitterness.	OT-21_Psalms
Ps	13	5	Their feet are swift to shed blood. Grief and unhappiness are in their ways; and the way of peace, they have not known.	OT-21_Psalms
Ps	13	6	There is no fear of God before their eyes.	OT-21_Psalms
Ps	13	7	Will they never learn: all those who work iniquity, who devour my people like a meal of bread?	OT-21_Psalms
Ps	13	8	They have not called upon the Lord. There, they have trembled in fear, where there was no fear.	OT-21_Psalms
Ps	13	9	For the Lord is with the just generation. You have confounded the counsel of the needy because the Lord is his hope.	OT-21_Psalms
Ps	13	10	Who will grant the salvation of Israel from Zion? When the Lord turns away the captivity of his people, Jacob will exult, and Israel will rejoice. [ Psalm 14 ] (15)	OT-21_Psalms
Ps	14	1	A Psalm of David. O Lord, who will dwell in your tabernacle? Or who will rest on your holy mountain?	OT-21_Psalms
Ps	14	2	He who walks without blemish and who works justice.	OT-21_Psalms
Ps	14	3	He who speaks the truth in his heart, who has not acted deceitfully with his tongue, and has not done evil to his neighbor, and has not taken up a reproach against his neighbors.	OT-21_Psalms
Ps	14	4	In his sight, the malicious one has been reduced to nothing, but he glorifies those who fear the Lord. He who swears to his neighbor and does not deceive.	OT-21_Psalms
Ps	14	5	He who has not given his money in usury, nor accepted bribes against the innocent. He who does these things will be undisturbed for eternity. [ Psalm 15 ] (16)	OT-21_Psalms
Ps	15	1	The inscription of a title: of David himself. Preserve me, O Lord, because I have hoped in you.	OT-21_Psalms
Ps	15	2	I have said to the Lord: “You are my God, so you have no need of my goodness.”	OT-21_Psalms
Ps	15	3	As for the saints, who are in his land: he has made all my desires wonderful in them.	OT-21_Psalms
Ps	15	4	Their infirmities have been multiplied; after this, they acted more quickly. I will not gather for their convocations of blood, nor will I remember their names with my lips.	OT-21_Psalms
Ps	15	5	The Lord is the portion of my inheritance and my cup. It is you who will restore my inheritance to me.	OT-21_Psalms
Ps	15	6	The lots have fallen upon me with clarity. And, indeed, my inheritance has been very clear to me.	OT-21_Psalms
Ps	15	7	I will bless the Lord, who has bestowed understanding upon me. Moreover, my temperament has also corrected me, even through the night.	OT-21_Psalms
Ps	15	8	I have made provision for the Lord always in my sight. For he is at my right hand, so that I may not be disturbed.	OT-21_Psalms
Ps	15	9	Because of this, my heart has been joyful, and my tongue has exulted. Moreover, even my body will rest in hope.	OT-21_Psalms
Ps	15	10	For you will not abandon my soul to Hell, nor will you allow your holy one to see corruption.	OT-21_Psalms
Ps	15	11	You have made known to me the ways of life; you will fill me with joy by your countenance. At your right hand are delights, even to the end. [ Psalm 16 ] (17)	OT-21_Psalms
Ps	16	1	A Prayer of David. Lord, listen to my justice, attend to my supplication. Pay attention to my prayer, which is not from deceitful lips.	OT-21_Psalms
Ps	16	2	Let my judgment proceed from your presence. Let your eyes behold fairness.	OT-21_Psalms
Ps	16	3	You have tested my heart and visited it by night. You have examined me by fire, and iniquity has not been found in me.	OT-21_Psalms
Ps	16	4	Therefore, may my mouth not speak the works of men. I have kept to difficult ways because of the words of your lips.	OT-21_Psalms
Ps	16	5	Perfect my steps in your paths, so that my footsteps may not be disturbed.	OT-21_Psalms
Ps	16	6	I have cried out because you, O God, have listened to me. Incline your ear to me and heed my words.	OT-21_Psalms
Ps	16	7	Make your mercies wonderful, for you save those who hope in you.	OT-21_Psalms
Ps	16	8	From those who resist your right hand, preserve me like the pupil of your eye. Protect me under the shadow of your wings,	OT-21_Psalms
Ps	16	9	from the face of the impious who have afflicted me. My enemies have surrounded my soul.	OT-21_Psalms
Ps	16	10	They have concealed their fatness; their mouth has been speaking arrogantly.	OT-21_Psalms
Ps	16	11	They have cast me out, and now they have surrounded me. They have cast their eyes down to the earth.	OT-21_Psalms
Ps	16	12	They have taken me, like a lion ready for the prey, and like a young lion dwelling in hiding.	OT-21_Psalms
Ps	16	13	Rise up, O Lord, arrive before him and displace him. Deliver my soul from the impious one: your spear from the enemies of your hand.	OT-21_Psalms
Ps	16	14	Lord, divide them from the few of the earth in their life. Their gut has been filled from your hidden stores. They have been filled with sons, and they have bequeathed to their little ones the remainder.	OT-21_Psalms
Ps	16	15	But as for me, I will appear before your sight in justice. I will be satisfied when your glory appears. [ Psalm 17 ] (18)	OT-21_Psalms
Ps	17	1	Unto the end. For David, the servant of the Lord, who spoke the words of this canticle to the Lord, in the day that the Lord delivered him from the hand of all his enemies and from the hand of Saul. And he said:	OT-21_Psalms
Ps	17	2	I will love you, O Lord my strength.	OT-21_Psalms
Ps	17	3	The Lord is my firmament, my refuge, and my liberator. My God is my helper, and I hope in him: my protector, and the horn of my salvation, and my support.	OT-21_Psalms
Ps	17	4	Praising, I will call upon the Lord. And I will be saved from my enemies.	OT-21_Psalms
Ps	17	5	The sorrows of death surrounded me, and the torrents of iniquity dismayed me.	OT-21_Psalms
Ps	17	6	The sorrows of Hell encompassed me, and the snares of death intercepted me.	OT-21_Psalms
Ps	17	7	In my tribulation, I called upon the Lord, and I cried out to my God. And he listened to my voice from his holy temple. And my cry in his presence entered into his ears.	OT-21_Psalms
Ps	17	8	The earth was shaken, and it trembled. The foundations of the mountains were disturbed, and they were shaken, because he was angry with them.	OT-21_Psalms
Ps	17	9	A smoke ascended by his wrath, and a fire flared up from his face: coals were kindled by it.	OT-21_Psalms
Ps	17	10	He bent the heavens, and they descended. And darkness was under his feet.	OT-21_Psalms
Ps	17	11	And he ascended upon the cherubim, and he flew: he flew upon the feathers of the winds.	OT-21_Psalms
Ps	17	12	And he set darkness as his hiding place, with his tabernacle all around him: dark waters in the clouds of the air.	OT-21_Psalms
Ps	17	13	At the brightness that was before his sight, the clouds crossed by, with hail and coals of fire.	OT-21_Psalms
