book	chapter	verse	text	usfm
Wis	1	1	Love justice, you who judge the land. Think of the Lord in goodness and seek him in simplicity of heart.	OT-25_Wisdom
Wis	1	2	For he is found by those who do not test him, yet he reveals himself to those who have faith in him.	OT-25_Wisdom
Wis	1	3	For perverse thoughts separate from God. But his virtue, when it is tested, corrects the foolish.	OT-25_Wisdom
Wis	1	4	For wisdom will not enter into a malicious soul, nor dwell in a body subdued by sin.	OT-25_Wisdom
Wis	1	5	For the holy spirit of instruction will flee from falsehood, and he will withdraw himself from thoughts that are without understanding, and he will not be reached when iniquity overcomes.	OT-25_Wisdom
Wis	1	6	For the spirit of wisdom is benevolent, and will not release the evil speaker from his talk, because God is a witness of his temperament, and a true examiner of his heart, and an auditor of his words.	OT-25_Wisdom
Wis	1	7	For the spirit of the Lord has filled the world, and he who contains all things, retains knowledge of every voice.	OT-25_Wisdom
Wis	1	8	Therefore, he who speaks unjust things cannot escape notice, nor will the chastising judgment pass him by.	OT-25_Wisdom
Wis	1	9	For inquiry will be made into the thoughts of the impious, his conversation also will reach the hearing of God, to the chastising of his iniquities.	OT-25_Wisdom
Wis	1	10	For the zealous ear hears all things, and the disturbance of complaining will not be hidden.	OT-25_Wisdom
Wis	1	11	Therefore, keep yourselves from complaining, which benefits nothing, and refrain your tongue from slander, because secret conversation will not pass into nothingness, and the mouth that lies kills the soul.	OT-25_Wisdom
Wis	1	12	Do not court death by the error of your life, nor procure your destruction by the works of your hands,	OT-25_Wisdom
Wis	1	13	because God did not make death, nor does he rejoice in the loss of the living.	OT-25_Wisdom
Wis	1	14	For he created all things that they might exist, and he made the nations of the world curable, and there is no medicine of extermination in them, nor a kingdom of hell upon the earth.	OT-25_Wisdom
Wis	1	15	For justice is perpetual and immortal.	OT-25_Wisdom
Wis	1	16	But the impious, with hands and words, have called death to them, and, esteeming it a friend, they have fallen away and have made a covenant with death, because they deserved to take part in it. [ Wisdom 2 ]	OT-25_Wisdom
Wis	2	1	For they have said, reasoning with themselves incorrectly: “Our lifetime is brief and tedious, and there is no relief within the limits of man, and no one is acknowledged to have returned from the dead.	OT-25_Wisdom
Wis	2	2	For we are born from nothing, and after this we will be as if we had not been, because the breath in our nostrils is like smoke, and conversation sends out sparks from the stirring of our heart;	OT-25_Wisdom
Wis	2	3	therefore, when it is extinguished, our body will be ashes, and our spirit will be diffused like a soft breeze, and our life will pass away like the wisp of a cloud, just as a mist is dissolved when it is driven away by the rays of the sun and overpowered by its heat.	OT-25_Wisdom
Wis	2	4	And in time our name will surrender to oblivion, and no one will have remembrance of our works.	OT-25_Wisdom
