book	chapter	verse	text	usfm
Dan	1	1	In the third year of the reign of Jehoiakim king of Judah, Nebuchadnezzar king of Babylon came to Jerusalem and besieged it.	OT-32_Daniel
Dan	1	2	And the Lord delivered into his hand Jehoiakim the king of Judah and a portion of the vessels of the house of God. And he carried them away into the land of Shinar, to the house of his god, and he brought the vessels into the treasure chamber of his god.	OT-32_Daniel
Dan	1	3	And the king told Ashpenaz, the chief of the eunuchs, that he should bring in some of the sons of Israel, and some of the offspring of the king and of the sovereigns:	OT-32_Daniel
Dan	1	4	young men, in whom there was no blemish, noble in appearance, and accomplished in all wisdom, cautious in knowledge, and well-educated, and who could stand in the palace of the king, so that he might teach them the letters and the language of the Chaldeans.	OT-32_Daniel
Dan	1	5	And the king appointed for them provisions for each day, from his own food and from the wine which he himself drank, so that, after being nourished for three years, they would stand in the sight of the king.	OT-32_Daniel
Dan	1	6	Now, among those of the sons of Judah, there were Daniel, Hananiah, Mishael, and Azariah.	OT-32_Daniel
Dan	1	7	And the chief of the eunuchs assigned names to them: to Daniel, Belteshazzar; to Hananiah, Shadrach; to Mishael, Meshach; and to Azariah, Abednego.	OT-32_Daniel
Dan	1	8	But Daniel resolved in his heart that he would not be polluted with the king’s meal, nor with the wine he drank, and he requested of the chief of the eunuchs that he might not be contaminated.	OT-32_Daniel
Dan	1	9	And so God gave Daniel grace and mercy in the sight of the leader of the eunuchs.	OT-32_Daniel
Dan	1	10	And the leader of the eunuchs said to Daniel, “I am afraid of my lord the king, who has appointed food and drink for you, who, if he should see that your faces are leaner than those of the other youths your age, you would condemn my head to the king.”	OT-32_Daniel
Dan	1	11	And Daniel said to Malasar, whom the leader of the eunuchs had appointed over Daniel, Hananiah, Mishael, and Azariah,	OT-32_Daniel
Dan	1	12	“I beg you to test us, your servants, for ten days, and let roots be given to us to eat and water to drink,	OT-32_Daniel
Dan	1	13	and then observe our faces, and the faces of the children who eat the king’s food, and then deal with your servants according to what you see.”	OT-32_Daniel
Dan	1	14	When he had heard these words, he tested them for ten days.	OT-32_Daniel
Dan	1	15	But, after ten days, their faces appeared better and fatter than all the children who had eaten from the king’s food.	OT-32_Daniel
Dan	1	16	Thereafter, Malasar took away their portions and their wine for drinking, and he gave them roots.	OT-32_Daniel
Dan	1	17	Yet, to these children, God gave knowledge and instruction in every book, and wisdom, but to Daniel, also the understanding of all visions and dreams.	OT-32_Daniel
Dan	1	18	And when the time was completed, after which the king had said that they would be brought in, the chief of the eunuchs brought them in before the sight of Nebuchadnezzar.	OT-32_Daniel
Dan	1	19	And, when the king conversed with them, there had not been found any so great in all the world as Daniel, Hananiah, Mishael, and Azariah; and so they stood in the sight of the king.	OT-32_Daniel
Dan	1	20	And in every concept of wisdom and understanding, about which the king consulted with them, he found them to be ten times better than all the seers and astrologers put together, who were in his entire kingdom.	OT-32_Daniel
Dan	1	21	And so Daniel remained, even until the first year of king Cyrus. [ Daniel 2 ]	OT-32_Daniel
Dan	2	1	In the second year of the reign of Nebuchadnezzar, Nebuchadnezzar saw a dream, and his spirit was terrified, and his dream fled from him.	OT-32_Daniel
Dan	2	2	Yet the king commanded that the seers, and the astrologers, and the sorcerers, and the Chaldeans be gathered together to reveal to the king his dreams. When they arrived, they stood in front of the king.	OT-32_Daniel
Dan	2	3	And the king said to them, “I saw a dream, and, being confused in mind, I do not know what I saw.”	OT-32_Daniel
Dan	2	4	And the Chaldeans answered the king in Syriac, “O king, live forever. Tell the dream to your servants, and we will reveal its interpretation.”	OT-32_Daniel
Dan	2	5	And in answer, the king said to the Chaldeans, “The memory of it has slipped away from me. Unless you reveal the dream to me, and its meaning, you will be put to death, and your houses will be confiscated.	OT-32_Daniel
Dan	2	6	But if you explain the dream and its meaning, you will receive from me rewards, and gifts, and great honor. Therefore, reveal to me the dream and its interpretation.”	OT-32_Daniel
Dan	2	7	They answered again and said, “Let the king tell the dream to his servants, and we will reveal its interpretation.”	OT-32_Daniel
Dan	2	8	The king answered and said, “I am certain that you are stalling for time because you know that the memory of it has slipped away from me.	OT-32_Daniel
Dan	2	9	Therefore, if you do not reveal to me the dream, there is only one conclusion to be reached about you, that the interpretation is likewise false, and packed full of deception, so as to speak before me until the time passes away. And so, tell me the dream, so that I will also know that the interpretation that you tell me is likewise true.”	OT-32_Daniel
Dan	2	10	Then the Chaldeans answered before the king, and they said, “There is no man on earth who can accomplish your word, O king. For neither has any king, however great and mighty, asked for an answer of this kind from every seer, and astrologer, and Chaldean.	OT-32_Daniel
Dan	2	11	For the answer that you seek, O king, is very difficult. Neither can anyone be found who can reveal it in the sight of the king, except the gods, whose conversation is not with men.”	OT-32_Daniel
Dan	2	12	When he heard this, the king commanded, in fury and in great wrath, that all the wise men of Babylon should be destroyed.	OT-32_Daniel
Dan	2	13	And when the decree had gone forth, the wise men were put to death; and Daniel and his companions were sought, to be destroyed.	OT-32_Daniel
Dan	2	14	Then Daniel inquired, about the law and the sentence, of Arioch, the general of the king’s army, who had gone forth to execute the wise men of Babylon.	OT-32_Daniel
Dan	2	15	And he asked him, who had received the orders of the king, for what reason such a cruel sentence had gone forth from the face of the king. And so, when Arioch had revealed the matter to Daniel,	OT-32_Daniel
Dan	2	16	Daniel went in and asked of the king that he would grant him time to reveal the solution to the king.	OT-32_Daniel
Dan	2	17	And he went into his house and explained the task to Hananiah, and Mishael, and Azariah, his companions,	OT-32_Daniel
Dan	2	18	so that they would seek mercy before the face of the God of heaven, about this mystery, and so that Daniel and his companions might not perish with the other wise men of Babylon.	OT-32_Daniel
Dan	2	19	Then the secret was revealed to Daniel by a vision in the night. And Daniel blessed the God of heaven,	OT-32_Daniel
Dan	2	20	and speaking aloud, he said, “May the name of the Lord be blessed by the present generation and forever; for wisdom and fortitude are his.	OT-32_Daniel
Dan	2	21	And he alters the times and the ages. He takes away kingdoms and he establishes them. He gives wisdom to those who are wise and teaching skills to those who understand.	OT-32_Daniel
Dan	2	22	He reveals deep and hidden things, and he knows what has been established in darkness. And the light is with him.	OT-32_Daniel
Dan	2	23	To you, God of our fathers, I confess, and you, I praise. For you have given wisdom and fortitude to me, and now you have revealed to me what we asked of you, for you have uncovered for us the king’s thoughts.”	OT-32_Daniel
Dan	2	24	After this, Daniel went in to Arioch, whom the king had appointed to destroy the wise men of Babylon, and he spoke to him in this way, “Do not destroy the wise men of Babylon. Bring me in before the king, and I will explain the solution to the king.”	OT-32_Daniel
Dan	2	25	Then Arioch quickly brought Daniel to the king, and he said to him, “I have found a man of the sons of the transmigration of Judah, who would announce the solution to the king.”	OT-32_Daniel
Dan	2	26	The king answered and said to Daniel, whose name was Belteshazzar, “Do you really think that you can reveal to me the dream that I saw and its interpretation?”	OT-32_Daniel
Dan	2	27	And Daniel, facing the king, answered and said, “The secret that the king seeks, the wise men, the seers, and the soothsayers are unable to reveal to the king.	OT-32_Daniel
Dan	2	28	But there is a God in heaven who reveals mysteries, who has revealed to you, king Nebuchadnezzar, what will happen in the latter times. Your dream and the visions of your head upon your bed, are such as these.	OT-32_Daniel
Dan	2	29	You, O king, began to think, while in your blanket, about what will be hereafter. And he who reveals secrets showed you what will happen.	OT-32_Daniel
