book	chapter	verse	text	usfm
Jon	1	1	And the word of the Lord came to Jonah the son of Amittai, saying:	OT-37_Jonah
Jon	1	2	Rise and go to Nineveh, the great city, and preach in it. For its malice has ascended before my eyes.	OT-37_Jonah
Jon	1	3	And Jonah rose in order to flee from the face of the Lord to Tarshish. And he went down to Joppa and found a ship bound for Tarshish. And he paid its fare, and he went down into it, in order to go with them to Tarshish from the face of the Lord.	OT-37_Jonah
Jon	1	4	But the Lord sent a great wind into the sea. And a great tempest took place in the sea, and the ship was in danger of being crushed.	OT-37_Jonah
Jon	1	5	And the mariners were afraid, and the men cried out to their god. And they threw the containers that were in the ship into the sea in order to lighten it of them. And Jonah went down into the interior of the ship, and he fell into a painful deep sleep.	OT-37_Jonah
Jon	1	6	And the helmsman approached him, and he said to him, “Why are you weighed down with sleep? Rise, call upon your God, so perhaps God will be mindful of us and we might not perish.”	OT-37_Jonah
Jon	1	7	And a man said to his shipmate, “Come, and let us cast lots, so that we may know why this disaster is upon us.” And they cast lots, and the lot fell upon Jonah.	OT-37_Jonah
Jon	1	8	And they said to him: “Explain to us what is the reason that this disaster is upon us. What is your work? Which is your country? And where are you going? Or which people are you from?”	OT-37_Jonah
Jon	1	9	And he said to them, “I am Hebrew, and I fear the Lord God of heaven, who made the sea and the dry land.”	OT-37_Jonah
Jon	1	10	And the men were greatly afraid, and they said to him, “Why have you done this?” (For the men knew that he was fleeing from the face of the Lord, because he had told them.)	OT-37_Jonah
Jon	1	11	And they said to him, “What are we to do with you, so that the sea will cease for us?” For the sea flowed and swelled.	OT-37_Jonah
Jon	1	12	And he said to them, “Take me, and cast me into the sea, and the sea will cease for you. For I know that it is because of me that this great tempest has come upon you.”	OT-37_Jonah
Jon	1	13	And the men were rowing, so as to return to dry land, but they did not succeed. For the sea flowed and swelled against them.	OT-37_Jonah
Jon	1	14	And they cried out to the Lord, and they said, “We beseech you, Lord, do not let us perish for this man’s life, and do not attribute to us innocent blood. For you, Lord, have done just as it pleased you.”	OT-37_Jonah
Jon	1	15	And they took Jonah and cast him into the sea. And the sea was stilled from its fury.	OT-37_Jonah
Jon	1	16	And the men feared the Lord greatly, and they sacrificed victims to the Lord, and they made vows. [ Jonah 2 ]	OT-37_Jonah
Jon	2	1	And the Lord prepared a great fish to swallow Jonah. And Jonah was in the belly of the fish for three days and three nights.	OT-37_Jonah
Jon	2	2	And Jonah prayed to the Lord, his God, from the belly of the fish.	OT-37_Jonah
Jon	2	3	And he said: “I cried out to the Lord from my tribulation, and he heeded me. From the belly of hell, I cried out, and you heeded my voice.	OT-37_Jonah
Jon	2	4	And you have thrown me into the deep, in the heart of the sea, and a flood has encircled me. All your whirlpools and your waves have passed over me.	OT-37_Jonah
Jon	2	5	And I said: I am expelled from the sight of your eyes. Yet, truly, I will see your holy temple again.	OT-37_Jonah
Jon	2	6	The waters surrounded me, even to the soul. The abyss has walled me in. The ocean has covered my head.	OT-37_Jonah
Jon	2	7	I descended to the base of the mountains. The bars of the earth have enclosed me forever. And you will raise up my life from corruption, Lord, my God.	OT-37_Jonah
Jon	2	8	When my soul was in anguish within me, I called to mind the Lord, so that my prayer might come to you, to your holy temple.	OT-37_Jonah
Jon	2	9	Those who in vain observe vanities, abandon their own mercy.	OT-37_Jonah
Jon	2	10	But I, with a voice of praise, will sacrifice to you. I will repay whatever I have vowed to the Lord, because of my salvation.”	OT-37_Jonah
Jon	2	11	And the Lord spoke to the fish, and it vomited Jonah onto dry land. [ Jonah 3 ]	OT-37_Jonah
Jon	3	1	And the word of the Lord came to Jonah a second time, saying:	OT-37_Jonah
Jon	3	2	Rise, and go to Nineveh, the great city. And preach in it the preaching that I say to you.	OT-37_Jonah
Jon	3	3	And Jonah rose, and he went to Nineveh in accordance with the word of the Lord. And Nineveh was a great city of three days’ journey.	OT-37_Jonah
