book	chapter	verse	text	usfm
Hab	1	1	The burden that Habakkuk the prophet saw.	OT-40_Habakkuk
Hab	1	2	How long, O Lord, shall I cry out, and you will not heed? Shall I shout to you while suffering violence, and you will not save?	OT-40_Habakkuk
Hab	1	3	Why have you revealed to me iniquity and hardship, to see plunder and injustice opposite me? And there has been judgment, but the opposition is more powerful.	OT-40_Habakkuk
Hab	1	4	Because of this, the law has been torn apart, and judgment does not persevere to its conclusion. For the impious prevail against the just. Because of this, a perverse judgment is issued.	OT-40_Habakkuk
Hab	1	5	Gaze among the nations, and see. Admire, and be astounded. For a work has been done in your days, which no one will believe when it is told.	OT-40_Habakkuk
Hab	1	6	For behold, I will raise up the Chaldeans, a bitter and swift people, marching across the width of the earth, to possess tabernacles not their own.	OT-40_Habakkuk
Hab	1	7	It is dreadful and terrible. From themselves, judgment and their burden will issue.	OT-40_Habakkuk
Hab	1	8	Their horses are more nimble than leopards and swifter than wolves in the evening; their horsemen will spread out. And then their horsemen will approach from far away; they will fly like the eagle, hurrying to devour.	OT-40_Habakkuk
Hab	1	9	They will all approach towards the prey; their face is like a burning wind. And they will gather captives together like sand.	OT-40_Habakkuk
Hab	1	10	And concerning kings, he will triumph, and sovereign rulers will be his laughingstock, and he will laugh over every fortress, and he will transport a rampart and seize it.	OT-40_Habakkuk
Hab	1	11	Then his spirit will be altered, and he will cross over and fall. Such is his strength from his god.	OT-40_Habakkuk
Hab	1	12	Have you not existed from the beginning, Lord my God, my holy one, and so we shall not die? Lord, you have stationed him for judgment, and you have established that his strength will be swept away.	OT-40_Habakkuk
Hab	1	13	Your eyes are pure, you do not behold evil, and you cannot look towards iniquity. Why do you look upon the agents of iniquity, and remain silent, while the impious is devouring one who is more just than himself?	OT-40_Habakkuk
Hab	1	14	And you will make men like the fish of the sea and like the creeping things that have no ruler.	OT-40_Habakkuk
Hab	1	15	He lifted up everything with his hook. He drew them in with his dragnet, and gathered them into his netting. Over this, he will rejoice and exult.	OT-40_Habakkuk
Hab	1	16	For this reason, he will offer victims to his dragnet, and he will sacrifice to his netting. For through them, his portion has been made fat, and his meals elite.	OT-40_Habakkuk
Hab	1	17	Because of this, therefore, he expands his dragnet and will not be lenient in continually putting to death the peoples. [ Habakkuk 2 ]	OT-40_Habakkuk
Hab	2	1	I will stand firm during my watch, and fix my position over the fortification. And I will observe carefully, to see what might be said to me and what I might respond to my opponent.	OT-40_Habakkuk
Hab	2	2	And the Lord responded to me and said: Write the vision and explain it on tablets, so that he who reads it may run through it.	OT-40_Habakkuk
Hab	2	3	For as yet the vision is far off, and it will appear in the end, and it will not lie. If it expresses any delay, wait for it. For it is arriving and it will arrive, and it will not be hindered.	OT-40_Habakkuk
Hab	2	4	Behold, he who is unbelieving, his soul will not be right within himself; but he who is just shall live in his faith.	OT-40_Habakkuk
