book	chapter	verse	text	usfm
1Cor	1	1	Paul, called as an Apostle of Jesus Christ by the will of God; and Sosthenes, a brother:	NT-07_1-Corinthians
1Cor	1	2	to the Church of God which is at Corinth, to those sanctified in Christ Jesus, called to be saints with all who are invoking the name of our Lord Jesus Christ in every place of theirs and of ours.	NT-07_1-Corinthians
1Cor	1	3	Grace and peace to you from God our Father and from the Lord Jesus Christ.	NT-07_1-Corinthians
1Cor	1	4	I give thanks to my God continuously for you because of the grace of God that has been given to you in Christ Jesus.	NT-07_1-Corinthians
1Cor	1	5	By that grace, in all things, you have become wealthy in him, in every word and in all knowledge.	NT-07_1-Corinthians
1Cor	1	6	And so, the testimony of Christ has been strengthened in you.	NT-07_1-Corinthians
1Cor	1	7	In this way, nothing is lacking to you in any grace, as you await the revelation of our Lord Jesus Christ.	NT-07_1-Corinthians
1Cor	1	8	And he, too, will strengthen you, even until the end, without guilt, until the day of the advent of our Lord Jesus Christ.	NT-07_1-Corinthians
1Cor	1	9	God is faithful. Through him, you have been called into the fellowship of his Son, Jesus Christ our Lord.	NT-07_1-Corinthians
1Cor	1	10	And so, I beg you, brothers, by the name of our Lord Jesus Christ, that every one of you speak in the same way, and that there be no schisms among you. So may you become perfect, with the same mind and with the same judgment.	NT-07_1-Corinthians
1Cor	1	11	For it has been indicated to me, about you, my brothers, by those who are with Chloes, that there are contentions among you.	NT-07_1-Corinthians
1Cor	1	12	Now I say this because each of you is saying: “Certainly, I am of Paul;” “But I am of Apollo;” “Truly, I am of Cephas;” as well as: “I am of Christ.”	NT-07_1-Corinthians
1Cor	1	13	Has Christ been divided? Was Paul crucified for you? Or were you baptized in the name of Paul?	NT-07_1-Corinthians
1Cor	1	14	I give thanks to God that I have baptized none of you, except Crispus and Gaius,	NT-07_1-Corinthians
1Cor	1	15	lest anyone say that you have been baptized in my name.	NT-07_1-Corinthians
1Cor	1	16	And I also baptized the household of Stephanus. Other than these, I do not recall if I baptized any others.	NT-07_1-Corinthians
1Cor	1	17	For Christ did not send me to baptize, but to evangelize: not through the wisdom of words, lest the cross of Christ become empty.	NT-07_1-Corinthians
1Cor	1	18	For the Word of the Cross is certainly foolishness to those who are perishing. But to those who have been saved, that is, to us, it is the power of God.	NT-07_1-Corinthians
1Cor	1	19	For it has been written: “I will perish the wisdom of the wise, and I will reject the discernment of the prudent.”	NT-07_1-Corinthians
1Cor	1	20	Where are the wise? Where are the scribes? Where are the truth-seekers of this age? Has not God made the wisdom of this world into foolishness?	NT-07_1-Corinthians
1Cor	1	21	For the world did not know God through wisdom, and so, in the wisdom of God, it pleased God to accomplish the salvation of believers, through the foolishness of our preaching.	NT-07_1-Corinthians
1Cor	1	22	For the Jews ask for signs, and the Greeks seek wisdom.	NT-07_1-Corinthians
1Cor	1	23	But we are preaching Christ crucified. Certainly, to the Jews, this is a scandal, and to the Gentiles, this is foolishness.	NT-07_1-Corinthians
1Cor	1	24	But to those who have been called, Jews as well as Greeks, the Christ is the virtue of God and the wisdom of God.	NT-07_1-Corinthians
1Cor	1	25	For what is foolishness to God is considered wise by men, and that which is weakness to God is considered strong by men.	NT-07_1-Corinthians
1Cor	1	26	So take care of your vocation, brothers. For not many are wise according to the flesh, not many are powerful, not many are noble.	NT-07_1-Corinthians
1Cor	1	27	But God has chosen the foolish of the world, so that he may confound the wise. And God has chosen the weak of the world, so that he may confound the strong.	NT-07_1-Corinthians
1Cor	1	28	And God has chosen the ignoble and contemptible of the world, those who are nothing, so that he may reduce to nothing those who are something.	NT-07_1-Corinthians
1Cor	1	29	So then, nothing that is of the flesh should glory in his sight.	NT-07_1-Corinthians
1Cor	1	30	But you are of him in Christ Jesus, who was made by God to be our wisdom and justice and sanctification and redemption.	NT-07_1-Corinthians
1Cor	1	31	And so, in the same way, it was written: “Whoever glories, should glory in the Lord.” [ 1 Corinthians 2 ]	NT-07_1-Corinthians
1Cor	2	1	And so, brothers, when I came to you, announcing to you the testimony of Christ, I did not bring exalted words or lofty wisdom.	NT-07_1-Corinthians
1Cor	2	2	For I did not judge myself to know anything among you, except Jesus Christ, and him crucified.	NT-07_1-Corinthians
1Cor	2	3	And I was with you in weakness, and in fear, and with much trembling.	NT-07_1-Corinthians
1Cor	2	4	And my words and preaching were not the persuasive words of human wisdom, but were a manifestation of the Spirit and of virtue,	NT-07_1-Corinthians
1Cor	2	5	so that your faith would not be based on the wisdom of men, but on the virtue of God.	NT-07_1-Corinthians
1Cor	2	6	Now, we do speak wisdom among the perfect, yet truly, this is not the wisdom of this age, nor that of the leaders of this age, which shall be reduced to nothing.	NT-07_1-Corinthians
1Cor	2	7	Instead, we speak of the wisdom of God in a mystery which has been hidden, which God predestined before this age for our glory,	NT-07_1-Corinthians
1Cor	2	8	something that none of the leaders of this world have known. For if they had known it, they would never have crucified the Lord of glory.	NT-07_1-Corinthians
1Cor	2	9	But this is just as it has been written: “The eye has not seen, and the ear has not heard, nor has it entered into the heart of man, what things God has prepared for those who love him.”	NT-07_1-Corinthians
1Cor	2	10	But God has revealed these things to us through his Spirit. For the Spirit searches all things, even the depths of God.	NT-07_1-Corinthians
