book	chapter	verse	text	usfm
1Tim	1	1	Paul, an Apostle of Jesus Christ by the authority of God our Savior and Christ Jesus our hope,	NT-15_1-Timothy
1Tim	1	2	to Timothy, beloved son in the faith. Grace, mercy, and peace, from God the Father and from Christ Jesus our Lord.	NT-15_1-Timothy
1Tim	1	3	Now I asked you to remain at Ephesus, while I went into Macedonia, so that you would speak strongly against certain ones who have been teaching a different way,	NT-15_1-Timothy
1Tim	1	4	against those who have been paying attention to fables and endless genealogies. These things present questions as if they were greater than the edification that is of God, which is in faith.	NT-15_1-Timothy
1Tim	1	5	Now the goal of instruction is charity from a pure heart, and a good conscience, and an unfeigned faith.	NT-15_1-Timothy
1Tim	1	6	Certain persons, wandering away from these things, have been turned aside to empty babbling,	NT-15_1-Timothy
1Tim	1	7	desiring to be teachers of the law, but understanding neither the things that they themselves are saying, nor what they are affirming about these things.	NT-15_1-Timothy
1Tim	1	8	But we know that the law is good, if one makes use of it properly.	NT-15_1-Timothy
1Tim	1	9	Knowing this, that the law was not set in place for the just, but for the unjust and the insubordinate, for the impious and sinners, for the wicked and the defiled, for those who commit patricide, matricide, or homicide,	NT-15_1-Timothy
1Tim	1	10	for fornicators, for males who sleep with males, for kidnappers, for liars, for perjurers, and whatever else is contrary to sound doctrine,	NT-15_1-Timothy
1Tim	1	11	which is in accord with the Gospel of the glory of the blessed God, the Gospel which has been entrusted to me.	NT-15_1-Timothy
1Tim	1	12	I give thanks to him who has strengthened me, Christ Jesus our Lord, because he has considered me faithful, placing me in the ministry,	NT-15_1-Timothy
1Tim	1	13	though previously I was a blasphemer, and a persecutor, and contemptuous. But then I obtained the mercy of God. For I had been acting ignorantly, in unbelief.	NT-15_1-Timothy
1Tim	1	14	And so the grace of our Lord has abounded greatly, with the faith and love that is in Christ Jesus.	NT-15_1-Timothy
1Tim	1	15	It is a faithful saying, and worthy of acceptance by everyone, that Christ Jesus came into this world to bring salvation to sinners, among whom I am first.	NT-15_1-Timothy
1Tim	1	16	But it was for this reason that I obtained mercy, so that in me as first, Christ Jesus would display all patience, for the instruction of those who would believe in him unto eternal life.	NT-15_1-Timothy
1Tim	1	17	So then, to the King of ages, to the immortal, invisible, solitary God, be honor and glory forever and ever. Amen.	NT-15_1-Timothy
1Tim	1	18	This precept I commend to you, my son Timothy, in accord with the prophets who preceded you: that you serve among them like a soldier in a good war,	NT-15_1-Timothy
1Tim	1	19	holding to faith and good conscience, against those who, by rejecting these things, have made a shipwreck of the faith.	NT-15_1-Timothy
1Tim	1	20	Among these are Hymenaeus and Alexander, whom I have handed over to Satan, so that they may learn not to blaspheme. [ 1 Timothy 2 ]	NT-15_1-Timothy
1Tim	2	1	And so I beg you, first of all, to make supplications, prayers, petitions, and thanksgivings for all men,	NT-15_1-Timothy
1Tim	2	2	for kings, and for all who are in high places, so that we may lead a quiet and tranquil life in all piety and chastity.	NT-15_1-Timothy
1Tim	2	3	For this is good and acceptable in the sight of God our Savior,	NT-15_1-Timothy
1Tim	2	4	who wants all men to be saved and to arrive at an acknowledgment of the truth.	NT-15_1-Timothy
1Tim	2	5	For there is one God, and one mediator of God and of men, the man Christ Jesus,	NT-15_1-Timothy
1Tim	2	6	who gave himself as a redemption for all, as a testimony in its proper time.	NT-15_1-Timothy
1Tim	2	7	Of this testimony, I have been appointed a preacher and an Apostle, (I speak the truth, I do not lie) as a teacher of the Gentiles, in faith and in truth.	NT-15_1-Timothy
1Tim	2	8	Therefore, I want men to pray in every place, lifting up pure hands, without anger or dissension.	NT-15_1-Timothy
1Tim	2	9	Similarly also, women should be dressed fittingly, adorning themselves with compunction and restraint, and not with plaited hair, nor gold, nor pearls, nor costly attire,	NT-15_1-Timothy
1Tim	2	10	but in a manner proper for women who are professing piety by means of good works.	NT-15_1-Timothy
1Tim	2	11	Let a woman learn in silence with all subjection.	NT-15_1-Timothy
1Tim	2	12	For I do not permit a woman to teach, nor to be in authority over a man, but to be in silence.	NT-15_1-Timothy
1Tim	2	13	For Adam was formed first, then Eve.	NT-15_1-Timothy
1Tim	2	14	And Adam was not seduced, but the woman, having been seduced, was in transgression.	NT-15_1-Timothy
1Tim	2	15	Yet she will be saved by bearing children, if she has continued in faith and love, and in sanctification accompanied by self-restraint. [ 1 Timothy 3 ]	NT-15_1-Timothy
1Tim	3	1	It is a faithful saying: if a man desires the episcopate, he desires a good work.	NT-15_1-Timothy
1Tim	3	2	Therefore, it is necessary for a bishop to be beyond reproach, the husband of one wife, sober, prudent, gracious, chaste, hospitable, a teacher,	NT-15_1-Timothy
1Tim	3	3	not a drunkard, not combative but restrained, not quarrelsome, not covetous;	NT-15_1-Timothy
1Tim	3	4	but a man who leads his own house well, having children who are subordinate with all chastity.	NT-15_1-Timothy
1Tim	3	5	For if a man does not know how to lead his own house, how will he take care of the Church of God?	NT-15_1-Timothy
1Tim	3	6	He must not be a new convert, lest, being elated by pride, he may fall under the sentence of the devil.	NT-15_1-Timothy
1Tim	3	7	And it is necessary for him also to have good testimony from those who are outside, so that he may not fall into disrepute and the snare of the devil.	NT-15_1-Timothy
1Tim	3	8	Similarly, deacons must be chaste, not double-tongued, not given to much wine, not pursuing tainted profit,	NT-15_1-Timothy
1Tim	3	9	holding to the mystery of the faith with a pure conscience.	NT-15_1-Timothy
1Tim	3	10	And these things should be proven first, and then they may minister, being without offense.	NT-15_1-Timothy
1Tim	3	11	Similarly, the women must be chaste, not slanderers, sober, faithful in all things.	NT-15_1-Timothy
1Tim	3	12	Deacons should be the husband of one wife, men who lead their own children and their own houses well.	NT-15_1-Timothy
1Tim	3	13	For those who have ministered well will acquire for themselves a good position, and much confidence in the faith which is in Christ Jesus.	NT-15_1-Timothy
1Tim	3	14	I am writing these things to you, with the hope that I will come to you soon.	NT-15_1-Timothy
1Tim	3	15	But, if I am delayed, you should know the manner in which it is necessary to conduct yourself in the house of God, which is the Church of the living God, the pillar and the foundation of truth.	NT-15_1-Timothy
1Tim	3	16	And it is clearly great, this mystery of piety, which was manifested in the flesh, which was justified in the Spirit, which has appeared to Angels, which has been preached to the Gentiles, which is believed in the world, which has been taken up in glory. [ 1 Timothy 4 ]	NT-15_1-Timothy
1Tim	4	1	Now the Spirit has clearly said that, in the end times, some persons will depart from the faith, paying attention to spirits of error and the doctrines of devils,	NT-15_1-Timothy
1Tim	4	2	speaking lies in hypocrisy, and having their consciences seared,	NT-15_1-Timothy
1Tim	4	3	prohibiting marriage, abstaining from foods, which God has created to be accepted with thanksgiving by the faithful and by those who have understood the truth.	NT-15_1-Timothy
1Tim	4	4	For every creature of God is good, and nothing is to be rejected which is received with thanksgiving;	NT-15_1-Timothy
1Tim	4	5	for it has been sanctified by the Word of God and by prayer.	NT-15_1-Timothy
1Tim	4	6	By proposing these things to the brothers, you will be a good minister of Christ Jesus, nourished by words of faith, and by the good doctrine that you have secured.	NT-15_1-Timothy
1Tim	4	7	But avoid the silly fables of old women. And exercise yourself so as to advance in piety.	NT-15_1-Timothy
1Tim	4	8	For the exercise of the body is somewhat useful. But piety is useful in all things, holding the promise of life, in the present and in the future.	NT-15_1-Timothy
1Tim	4	9	This is a faithful saying and worthy of full acceptance.	NT-15_1-Timothy
1Tim	4	10	For this reason we labor and are maligned: because we hope in the living God, who is the Savior of all men, most especially of the faithful.	NT-15_1-Timothy
1Tim	4	11	Instruct and teach these things.	NT-15_1-Timothy
1Tim	4	12	Let no one despise your youth, but be an example among the faithful in word, in behavior, in charity, in faith, in chastity.	NT-15_1-Timothy
1Tim	4	13	Until I arrive, attend to reading, to exhortation, and to doctrine.	NT-15_1-Timothy
