book	chapter	verse	text	usfm
2Tim	1	1	Paul, an Apostle of Jesus Christ through the will of God, in accord with the promise of the life which is in Christ Jesus,	NT-16_2-Timothy
2Tim	1	2	to Timothy, most beloved son. Grace, mercy, peace, from God the Father and from Christ Jesus our Lord.	NT-16_2-Timothy
2Tim	1	3	I give thanks to God, whom I serve, as my forefathers did, with a pure conscience. For without ceasing I hold the remembrance of you in my prayers, night and day,	NT-16_2-Timothy
2Tim	1	4	desiring to see you, recalling your tears so as to be filled with joy,	NT-16_2-Timothy
2Tim	1	5	calling to mind the same faith, which is in you unfeigned, which also first dwelt in your grandmother, Lois, and in your mother, Eunice, and also, I am certain, in you.	NT-16_2-Timothy
2Tim	1	6	Because of this, I admonish you to revive the grace of God, which is in you by the imposition of my hands.	NT-16_2-Timothy
2Tim	1	7	For God has not given us a spirit of fear, but of virtue, and of love, and of self-restraint.	NT-16_2-Timothy
2Tim	1	8	And so, do not be ashamed of the testimony of our Lord, nor of me, his prisoner. Instead, collaborate with the Gospel in accord with the virtue of God,	NT-16_2-Timothy
2Tim	1	9	who has freed us and has called us to his holy vocation, not according to our works, but according to his own purpose and grace, which was given to us in Christ Jesus, before the ages of time.	NT-16_2-Timothy
2Tim	1	10	And this has now been made manifest by the illumination of our Savior Jesus Christ, who certainly has destroyed death, and who has also illuminated life and incorruption through the Gospel.	NT-16_2-Timothy
2Tim	1	11	Of this Gospel, I have been appointed a preacher, and an Apostle, and a teacher of the Gentiles.	NT-16_2-Timothy
2Tim	1	12	For this reason, I also suffer these things. But I am not confounded. For I know in whom I have believed, and I am certain that he has the power to preserve what was entrusted to me, unto that day.	NT-16_2-Timothy
2Tim	1	13	Hold to the kind of sound words that you have heard from me in the faith and love which is in Christ Jesus.	NT-16_2-Timothy
2Tim	1	14	Guard the good entrusted to you through the Holy Spirit, who lives within us.	NT-16_2-Timothy
2Tim	1	15	Know this: that all those who are in Asia have turned away from me, among whom are Phigellus and Hermogenes.	NT-16_2-Timothy
2Tim	1	16	May the Lord have mercy on the house of Onesiphorus, because he has often refreshed me, and he has not been ashamed of my chains.	NT-16_2-Timothy
2Tim	1	17	Instead, when he had arrived in Rome, he anxiously sought me and found me.	NT-16_2-Timothy
2Tim	1	18	May the Lord grant to him to obtain mercy from the Lord in that day. And you know well in how many ways he has ministered to me at Ephesus. [ 2 Timothy 2 ]	NT-16_2-Timothy
