book	chapter	verse	text	usfm
3John	1	1	The Elder, to Gaius, most beloved, whom I love in the truth.	NT-25_3-John
3John	1	2	Most beloved, concerning everything, I make it my prayer that you may benefit by advancing and succeeding in whatever may be to the benefit of your soul.	NT-25_3-John
3John	1	3	I was very glad when the brothers arrived, and when they offered testimony to the truth in you, that you are walking in the truth.	NT-25_3-John
3John	1	4	I have no greater grace than this, when I hear that my sons are walking in the truth.	NT-25_3-John
3John	1	5	Most beloved, you should act faithfully in whatever you do for the brothers, and those who are sojourners;	NT-25_3-John
3John	1	6	they have given testimony to your charity in the sight of the Church. You would do well to lead these ones worthily to God.	NT-25_3-John
3John	1	7	For they set out, on behalf of his name, accepting nothing from the unbelievers.	NT-25_3-John
3John	1	8	Therefore, we must accept such as these, in order that we may cooperate with the truth.	NT-25_3-John
3John	1	9	As it happens, I had written to the church. But Diotrephes, who loves to bear the highest rank among them, would not accept us.	NT-25_3-John
3John	1	10	Because of this, when I come, I will admonish his works which he does, babbling against us with malicious words. And as if this were not sufficient for him, he himself does not receive the brothers. And those who do receive them, he hinders, and he ejects them from the church.	NT-25_3-John
3John	1	11	Most beloved, do not be willing to imitate what is evil; instead imitate what is good. Whoever does good is of God. Whoever does evil has not seen God.	NT-25_3-John
3John	1	12	Testimony is being given for Demetrius by everyone, and by the truth itself. And we also offer testimony. And you know that our testimony is true.	NT-25_3-John
3John	1	13	I had many things to write to you, but I am not willing, through ink and pen, to write to you.	NT-25_3-John
3John	1	14	Yet I hope to see you soon, and then we will speak face to face. Peace to you. The friends greet you. Greet the friends by name.	NT-25_3-John
